SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
670,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
670,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
670,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
2510,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
2510,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
2510,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
2510,Digi FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Digi FM,https://www.lyngsat.com/radiochannels/ro/Digi-FM.html,,,False,,Rum
2530,Pro FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Pro FM,https://www.lyngsat.com/radiochannels/ro/Pro-FM.html,,,False,,Rum
2530,Pro FM,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Pro FM,https://www.lyngsat.com/radiochannels/ro/Pro-FM.html,,,False,,Rum
3330,Virgin Radio Romania,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Virgin Radio Romania,https://www.lyngsat.com/radiochannels/uk/Virgin-Radio-Romania.html,,,False,,Rum
3330,Virgin Radio Romania,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Virgin Radio Romania,https://www.lyngsat.com/radiochannels/uk/Virgin-Radio-Romania.html,,,False,,Rum
3610,Europa FM Moldova,,,DVB-S,28000,5/6,11900 H,tp 10,0,,,Europa FM Moldova,https://www.lyngsat.com/radiochannels/ro/Europa-FM-Moldova.html,,,False,,Rum
