SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
2621.0,Riyadh Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Riyadh Radio,https://www.lyngsat.com/radiochannels/sa/Riyadh-Radio.html,False,Saudi Broadcasting Authority,Ara
2622.0,Jeddah Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Jeddah Radio,https://www.lyngsat.com/radiochannels/sa/Jeddah-Radio.html,False,Saudi Broadcasting Authority,Ara
2622.0,Jeddah Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Jeddah Radio,https://www.lyngsat.com/radiochannels/sa/Jeddah-Radio.html,False,Saudi Broadcasting Authority,Ara
2623.0,Saudia Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Saudia Radio,https://www.lyngsat.com/radiochannels/sa/Saudia-Radio.html,False,Saudi Broadcasting Authority,
2623.0,Saudia Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Saudia Radio,https://www.lyngsat.com/radiochannels/sa/Saudia-Radio.html,False,Saudi Broadcasting Authority,
2625.0,Neda Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Neda Radio,https://www.lyngsat.com/radiochannels/sa/Neda-Radio.html,False,Saudi Broadcasting Authority,Ara
2625.0,Neda Radio,,,DVB-S,27500.0,3/4,11230 H,,,,,Neda Radio,https://www.lyngsat.com/radiochannels/sa/Neda-Radio.html,False,Saudi Broadcasting Authority,Ara
,MBC,702-7104,,DVB-S,27500.0,5/6,11270 V,,50.0,,https://www.lyngsat.com/providers/sa/MBC.html,,,True,MBC,
1.0,MBC (Saudi Arabia),MPEG-2/SD,402.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC.html,False,MBC,Ara
1.0,MBC (Saudi Arabia),MPEG-2/SD,402.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC.html,False,MBC,Ara
2.0,MBC 4,MPEG-2/SD,405.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC 4,https://www.lyngsat.com/tvchannels/sa/MBC-4.html,False,MBC,Eng
3.0,MBC Drama (Saudi Arabia),MPEG-2/SD,428.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC Drama (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC-Drama.html,False,MBC,Ara
3.0,MBC Drama (Saudi Arabia),MPEG-2/SD,428.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC Drama (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC-Drama.html,False,MBC,Ara
4.0,Citruss TV,MPEG-2/SD,416.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,Citruss TV,https://www.lyngsat.com/tvchannels/sa/Citruss-TV.html,False,MBC,Ara
5.0,MBC Bollywood,MPEG-2/SD,401.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC Bollywood,https://www.lyngsat.com/tvchannels/sa/MBC-Bollywood.html,False,MBC,Ara
6.0,MBC 2 (Saudi Arabia),MPEG-2/SD,403.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC 2 (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC-2.html,False,MBC,Ara
7.0,MBC Action,MPEG-2/SD,406.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC Action,https://www.lyngsat.com/tvchannels/sa/MBC-Action.html,False,MBC,Eng
8.0,MBC Max,MPEG-2/SD,408.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC Max,https://www.lyngsat.com/tvchannels/sa/MBC-Max.html,False,MBC,Ara
9.0,MBC 3 (Saudi Arabia),MPEG-2/SD,404.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC 3 (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC-3.html,False,MBC,Ara
9.0,MBC 3 (Saudi Arabia),MPEG-2/SD,404.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,MBC 3 (Saudi Arabia),https://www.lyngsat.com/tvchannels/sa/MBC-3.html,False,MBC,Ara
11.0,Wanasah,MPEG-2/SD,414.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,Wanasah,https://www.lyngsat.com/tvchannels/sa/Wanasah.html,False,MBC,Ara
11.0,Wanasah,MPEG-2/SD,414.0,DVB-S,27500.0,5/6,11270 V,,50.0,,,Wanasah,https://www.lyngsat.com/tvchannels/sa/Wanasah.html,False,MBC,Ara
57.0,MBC Maser,MPEG-2/SD,430.0,DVB-S,27500.0,5/6,11270 V,,50.0,BISS 1,,MBC Maser,https://www.lyngsat.com/tvchannels/sa/MBC-Maser.html,False,MBC,Ara
57.0,MBC Maser,MPEG-2/SD,430.0,DVB-S,27500.0,5/6,11270 V,,50.0,BISS 1,,MBC Maser,https://www.lyngsat.com/tvchannels/sa/MBC-Maser.html,False,MBC,Ara
58.0,MBC Maser 2,MPEG-2/SD,431.0,DVB-S,27500.0,5/6,11270 V,,50.0,BISS 1,,MBC Maser 2,https://www.lyngsat.com/tvchannels/sa/MBC-Maser-2.html,False,MBC,Ara
58.0,MBC Maser 2,MPEG-2/SD,431.0,DVB-S,27500.0,5/6,11270 V,,50.0,BISS 1,,MBC Maser 2,https://www.lyngsat.com/tvchannels/sa/MBC-Maser-2.html,False,MBC,Ara
