SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1060.0,Rossiya K (+4h),MPEG-4/SD,1061.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Rossiya K (+4h),https://www.lyngsat.com/tvchannels/ru/Rossiya-K.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,3786 R,tp 5,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1080.0,Karusel (+4h),MPEG-4/SD,1081.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,Karusel (+4h),https://www.lyngsat.com/tvchannels/ru/Karusel.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,1000,3/4,3640 R,tp 3,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,3705 L,tp 4A,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1100.0,TV Centr Dal'nii Vostok,MPEG-4/SD,1101.0,DVB-S2,17500,3/4,4064 R,tp 8,0,,,TV Centr Dal'nii Vostok,https://www.lyngsat.com/tvchannels/ru/TV-Centr-Dalnii-Vostok.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
1110.0,Vesti FM,,,DVB-S2,1000,3/4,3640 R,tp 3,0,,,Vesti FM,https://www.lyngsat.com/radiochannels/ru/Vesti-FM.html,False,RTRS 1,Rus
