Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
11715 Rtp 1North America Ku0,DVB-S200003/4,,Dish USA,,4097-701,,5.5,Nagravision,F Dibba231220,DVB-S,20000,3/4,11715 R,tp 1,0,Nagravision,,,,Dish USA,https://www.lyngsat.com/packages/Dish-USA-119W.html
