Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL
12066 VArgentina,DVB-S23000,,(feeds),,,,,,C de Berazategui211107,DVB-S2,4400,5/6,12066 V,,,,,,,,
12067 HArgentina,DVB-S2500,,(feeds),,,,,,C de Berazategui230814,DVB-S,4400,5/6,12067 H,,,,,,,,
12077 HArgentina,DVB-S23300,,(feeds),,,,,,C de Berazategui230626,DVB-S2,4400,5/6,12077 H,,,,,,,,
12080 HArgentina,DVB-S23600,,(feeds),,,,,,C de Berazategui210919,DVB-S2,4400,5/6,12080 H,,,,,,,,
12104 VArgentina,DVB-S23500,,(feeds),,,,,,C de Berazategui211110,DVB-S2,2700,3/4,12104 V,,,,,,,,
12112 HArgentina,DVB-S23700,,(feeds),,,,,,C de Berazategui230814,DVB-S2,2700,3/4,12112 H,,,,,,,,
12115 HArgentina,DVB-S23330,,(feeds),,,,,,C de Berazategui210921,DVB-S2,4800,3/4,12115 H,,,,,,,,
12118 HArgentina,DVB-S23330,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12118 H,,,,,,,,
12130 HArgentina,DVB-S22800,,(feeds),,,,,,C de Berazategui211217,DVB-S2,4800,3/4,12130 H,,,,,,,,
12143 VArgentina,DVB-S23600,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12143 V,,,,,,,,
12148 VArgentina,DVB-S23500,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12148 V,,,,,,,,
12151 VArgentina,DVB-S22500,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12151 V,,,,,,,,
12157 VArgentina,DVB-S26660,,(feeds),,,,,,C de Berazategui220914,DVB-S2,4800,3/4,12157 V,,,,,,,,
12166 VArgentina,DVB-S23200,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12166 V,,,,,,,,
12169 VArgentina,DVB-S23200,,(feeds),,,,,,C de Berazategui211115,DVB-S2,4800,3/4,12169 V,,,,,,,,
12175 VArgentina,DVB-S22800,,(feeds),,,,,,C de Berazategui221019,DVB-S2,4800,3/4,12175 V,,,,,,,,
12181 VArgentina,DVB-S24800,,(feeds),,,,,,C de Berazategui221017,DVB-S2,4800,3/4,12181 V,,,,,,,,
11590 VArgentina0,DVB-S28PSK300005/6,,Arsat,,1-20,,9.4,,C de Berazategui240104,DVB-S2,30000,5/6,11590 V,,0,,https://www.lyngsat.com/providers/ar/Arsat.html,,,,
11590 VArgentina0,DVB-S28PSK300005/6,53,[Presidencia Argentina info card],,MPEG-4/HD,37,35 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,,,,
11590 VArgentina0,DVB-S28PSK300005/6,54,Cine.ar,,MPEG-4/HD,33,32 Spa  41 Qaa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,54,Cine.ar,,MPEG-4/HD,33,32 Spa  41 Qaa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,54,Cine.ar,,MPEG-4/HD,33,32 Spa  41 Qaa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,133,Cine.ar,,MPEG-4/HD,2091,2092 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,133,Cine.ar,,MPEG-4/HD,2091,2092 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,133,Cine.ar,,MPEG-4/HD,2091,2092 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11670 VArgentina0,DVB-S28PSK300005/6,9,Cine.ar,,MPEG-4/HD,400,58 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11670 VArgentina0,DVB-S28PSK300005/6,9,Cine.ar,,MPEG-4/HD,400,58 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11670 VArgentina0,DVB-S28PSK300005/6,9,Cine.ar,,MPEG-4/HD,400,58 Spa,,,DVB-S2,30000,5/6,11670 V,,0,,,Cine.ar,https://www.lyngsat.com/tvchannels/ar/Cinear.html,,
11590 VArgentina0,DVB-S28PSK300005/6,121,Lapacho Canal 11,,MPEG-4/SD,2001,2002 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Lapacho Canal 11,https://www.lyngsat.com/tvchannels/ar/Lapacho-Canal-11.html,,
11590 VArgentina0,DVB-S28PSK300005/6,121,Lapacho Canal 11,,MPEG-4/SD,2001,2002 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Lapacho Canal 11,https://www.lyngsat.com/tvchannels/ar/Lapacho-Canal-11.html,,
12112 VArgentina0,DVB-S28PSK48003/4,1,Lapacho Canal 11,,1-1MPEG-4/HD,512,7.94112 Spa,,C de Berazategui240131,DVB-S2,4800,3/4,12112 V,,0,,,Lapacho Canal 11,https://www.lyngsat.com/tvchannels/ar/Lapacho-Canal-11.html,,
12112 VArgentina0,DVB-S28PSK48003/4,1,Lapacho Canal 11,,1-1MPEG-4/HD,512,7.94112 Spa,,C de Berazategui240131,DVB-S2,4800,3/4,12112 V,,0,,,Lapacho Canal 11,https://www.lyngsat.com/tvchannels/ar/Lapacho-Canal-11.html,,
11590 VArgentina0,DVB-S28PSK300005/6,122,Canal 7 Chubut,,MPEG-4/SD,2011,2012 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Canal 7 Chubut,https://www.lyngsat.com/tvchannels/ar/Canal-7-Chubut.html,,
12062 VArgentina0,DVB-S24170,2,Canal 7 Chubut,,?-?,33,36 Spa,,C de Berazategui211217,DVB-S2,4400,5/6,12062 V,,0,,,Canal 7 Chubut,https://www.lyngsat.com/tvchannels/ar/Canal-7-Chubut.html,,
11590 VArgentina0,DVB-S28PSK300005/6,123,Doce TV,,MPEG-4/SD,2021,2022 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Doce TV,https://www.lyngsat.com/tvchannels/ar/Doce-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,123,Doce TV,,MPEG-4/SD,2021,2022 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Doce TV,https://www.lyngsat.com/tvchannels/ar/Doce-TV.html,,
12086 VArgentina0,DVB-S41702/3,1,Doce TV,,?-?MPEG-2/SD,1160,4.41120 Spa,,C de Berazategui230723,DVB-S,4170,2/3,12086 V,,0,,,Doce TV,https://www.lyngsat.com/tvchannels/ar/Doce-TV.html,,
12086 VArgentina0,DVB-S41702/3,1,Doce TV,,?-?MPEG-2/SD,1160,4.41120 Spa,,C de Berazategui230723,DVB-S,4170,2/3,12086 V,,0,,,Doce TV,https://www.lyngsat.com/tvchannels/ar/Doce-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,124,Canal 2,,MPEG-4/SD,2031,2032 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Canal 2,https://www.lyngsat.com/tvchannels/ar/Canal-2.html,,
11590 VArgentina0,DVB-S28PSK300005/6,124,Canal 2,,MPEG-4/SD,2031,2032 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Canal 2,https://www.lyngsat.com/tvchannels/ar/Canal-2.html,,
11590 VArgentina0,DVB-S28PSK300005/6,125,Diputados TV,,MPEG-4/HD,2041,2042 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Diputados TV,https://www.lyngsat.com/tvchannels/ar/Diputados-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,125,Diputados TV,,MPEG-4/HD,2041,2042 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Diputados TV,https://www.lyngsat.com/tvchannels/ar/Diputados-TV.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,Canal Nueve Santa Cruz,,MPEG-4/SD,2051,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
11590 VArgentina0,DVB-S28PSK300005/6,126,Canal Nueve Santa Cruz,,MPEG-4/SD,2051,2052 Spa,,,DVB-S2,30000,5/6,11590 V,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
12055 HArgentina0,DVB-S22963,1,Canal Nueve Santa Cruz,,?-?MPEG-4/HD,66,67 Spa,,C de Berazategui240201,DVB-S2,4400,5/6,12055 H,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
12055 HArgentina0,DVB-S22963,1,Canal Nueve Santa Cruz,,?-?MPEG-4/HD,66,67 Spa,,C de Berazategui240201,DVB-S2,4400,5/6,12055 H,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
12058 HArgentina0,DVB-S4170,1,Canal Nueve Santa Cruz,,MPEG-2/SD,66,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
12058 HArgentina0,DVB-S4170,1,Canal Nueve Santa Cruz,,MPEG-2/SD,66,67 Spa,,,DVB-S,4400,5/6,12058 H,,0,,,Canal Nueve Santa Cruz,https://www.lyngsat.com/tvchannels/ar/Canal-Nueve-Santa-Cruz.html,,
