Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11140 VMyanmar,DVB-S2QPSK300003/4,53,MRTV Parliament,,MPEG-4/SD,102,202 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Parliament,https://www.lyngsat.com/tvchannels/mm/MRTV-Parliament.html
4049 LMyanmar,DVB-S28PSK150003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
4049 LMyanmar,DVB-S28PSK150003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
4049 LMyanmar,DVB-S28PSK150003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
4049 LMyanmar,DVB-S28PSK150003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
11140 VMyanmar,DVB-S2QPSK300003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
11140 VMyanmar,DVB-S2QPSK300003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
11140 VMyanmar,DVB-S2QPSK300003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
11140 VMyanmar,DVB-S2QPSK300003/4,54,MRTV NRC,,MPEG-4/HD,103,203,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV NRC,https://www.lyngsat.com/tvchannels/mm/MRTV-NRC.html
4049 LMyanmar,DVB-S28PSK150003/4,55,MRTV Farmers,,MPEG-4/SD,104,204 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Farmers,https://www.lyngsat.com/tvchannels/mm/MRTV-Farmers.html
4049 LMyanmar,DVB-S28PSK150003/4,55,MRTV Farmers,,MPEG-4/SD,104,204 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Farmers,https://www.lyngsat.com/tvchannels/mm/MRTV-Farmers.html
11140 VMyanmar,DVB-S2QPSK300003/4,55,MRTV Farmers,,MPEG-4/SD,104,204 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Farmers,https://www.lyngsat.com/tvchannels/mm/MRTV-Farmers.html
11140 VMyanmar,DVB-S2QPSK300003/4,55,MRTV Farmers,,MPEG-4/SD,104,204 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Farmers,https://www.lyngsat.com/tvchannels/mm/MRTV-Farmers.html
4049 LMyanmar,DVB-S28PSK150003/4,56,MRTV Sports,,MPEG-4/SD,105,205 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Sports,https://www.lyngsat.com/tvchannels/mm/MRTV-Sports.html
4049 LMyanmar,DVB-S28PSK150003/4,56,MRTV Sports,,MPEG-4/SD,105,205 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,MRTV Sports,https://www.lyngsat.com/tvchannels/mm/MRTV-Sports.html
11140 VMyanmar,DVB-S2QPSK300003/4,56,MRTV Sports,,MPEG-4/HD,105,205 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Sports,https://www.lyngsat.com/tvchannels/mm/MRTV-Sports.html
11140 VMyanmar,DVB-S2QPSK300003/4,56,MRTV Sports,,MPEG-4/HD,105,205 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,MRTV Sports,https://www.lyngsat.com/tvchannels/mm/MRTV-Sports.html
4049 LMyanmar,DVB-S28PSK150003/4,57,Myanmar International TV,,MPEG-4/SD,106,206 Eng,,,DVB-S2,15000,3/4,4049 L,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
4049 LMyanmar,DVB-S28PSK150003/4,57,Myanmar International TV,,MPEG-4/SD,106,206 Eng,,,DVB-S2,15000,3/4,4049 L,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
4049 LMyanmar,DVB-S28PSK150003/4,57,Myanmar International TV,,MPEG-4/SD,106,206 Eng,,,DVB-S2,15000,3/4,4049 L,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
4049 LMyanmar,DVB-S28PSK150003/4,57,Myanmar International TV,,MPEG-4/SD,106,206 Eng,,,DVB-S2,15000,3/4,4049 L,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
11140 VMyanmar,DVB-S2QPSK300003/4,57,Myanmar International TV,,MPEG-4/HD,106,206 Eng,,,DVB-S2,30000,3/4,11140 V,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
11140 VMyanmar,DVB-S2QPSK300003/4,57,Myanmar International TV,,MPEG-4/HD,106,206 Eng,,,DVB-S2,30000,3/4,11140 V,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
11140 VMyanmar,DVB-S2QPSK300003/4,57,Myanmar International TV,,MPEG-4/HD,106,206 Eng,,,DVB-S2,30000,3/4,11140 V,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
11140 VMyanmar,DVB-S2QPSK300003/4,57,Myanmar International TV,,MPEG-4/HD,106,206 Eng,,,DVB-S2,30000,3/4,11140 V,,,,,Myanmar International TV,https://www.lyngsat.com/tvchannels/mm/Myanmar-International-TV.html
4049 LMyanmar,DVB-S28PSK150003/4,58,Education Channel,,MPEG-4/SD,107,207 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Education Channel,https://www.lyngsat.com/tvchannels/mm/Education-Channel.html
4049 LMyanmar,DVB-S28PSK150003/4,58,Education Channel,,MPEG-4/SD,107,207 Bur,,,DVB-S2,15000,3/4,4049 L,,,,,Education Channel,https://www.lyngsat.com/tvchannels/mm/Education-Channel.html
11140 VMyanmar,DVB-S2QPSK300003/4,58,Education Channel,,MPEG-4/SD,107,207 Bur,,,DVB-S2,30000,3/4,11140 V,,,,,Education Channel,https://www.lyngsat.com/tvchannels/mm/Education-Channel.html
