Sattelite,Provider,Country
NSS-12,Teleradiokom,Tajikistan
NSS-12,RRTM,Uzbekistan
Express-AT1,STV,Russia
Express-AT1,RSCC,Russia
G-Sat-8,T-Sat,India
Yamal-402,TPA,Angola
Yamal-402,Telemedia,South Africa
Yamal-402,Gazprom Space Systems,Russia
Express-AM6,RSCC,Russia
Express-AM6,RTRS 1,Russia
Express-AM6,RTRS,Russia
Express-AM6,RTRS 2,Russia
Express-AM6,RTRS Smolensk,Russia
Express-AM6,RTRS Bryansk,Russia
Express-AM6,RTRS Yaroslavl,Russia
Express-AM6,RTRS Belgorod,Russia
Express-AM6,RTRS Rostov,Russia
Express-AM6,RTRS Krasnodar,Russia
Express-AM6,RTRS Sochi,Russia
Express-AM6,Wide Network Solutions,United Kingdom
Al-Yah-1,Saudi Broadcasting Authority,Saudi Arabia
Al-Yah-1,North Telecom,Germany
Al-Yah-1,Twofour54,United Arab Emirates
Al-Yah-1,GEM Group,Canada
Al-Yah-1,Arqiva,United Kingdom
Al-Yah-1,Du,United Arab Emirates
TurkmenAlem-MonacoSat,Wide Network Solutions,United Kingdom
TurkmenAlem-MonacoSat,Persiana Media Group,France
TurkmenAlem-MonacoSat,TMT,Turkmenistan
TurkmenAlem-MonacoSat,Du,United Arab Emirates
Belintersat-1,EBC,Ethiopia
Belintersat-1,Panbetting,Germany
Yamal-601,RTRS Yamal,Russia
Yamal-601,RTRS Saratov,Russia
Yamal-601,RTRS Yugoria,Russia
Yamal-601,RTRS 1,Russia
Yamal-601,RTRS,Russia
Yamal-601,RTRS Tyumen,Russia
Yamal-601,RTRS 2,Russia
Yamal-601,RTRS Chelyabinsk,Russia
Yamal-601,RTRS Ufa,Russia
Yamal-601,RTRS Sankt Peterburg,Russia
Yamal-601,RTRS Samara,Russia
Yamal-601,RTRS Ekaterinburg,Russia
Yamal-601,RTRS Udmurtia,Russia
Yamal-601,RTRS Kurgan,Russia
Yamal-601,RTRS Perm,Russia
Yamal-601,RTRS Astrakhan,Russia
Yamal-601,RTRS Ulyanovsk,Russia
Yamal-601,Gazprom Space Systems,Russia
Azerspace-1,Silverbird TV,Nigeria
Azerspace-1,ARB Media Qrup,Azerbaijan
Azerspace-1,Azercosmos,Azerbaijan
Azerspace-1,Teleradio,Azerbaijan
Azerspace-2-Intelsat-38,Azercosmos,Azerbaijan
Azerspace-2-Intelsat-38,Cosmonova Broadcast,Ukraine
Cosmos-2520,RTRS 1,Russia
Cosmos-2520,RTRS,Russia
Cosmos-2520,RTRS 2,Russia
NigComSat-1R,Sairtek,Nigeria
NigComSat-1R,TFMediaCast,Nigeria
NigComSat-1R,Nixsat,South Africa
NigComSat-1R,TSTV Africa,Nigeria
Turksat-3A,TRT,Turkey
Turksat-3A,Türksat,Turkey
Turksat-3A,Ciner,Turkey
Turksat-3A,TRT Antalya,Turkey
Turksat-3A,TRT Erzurum,Turkey
Turksat-3A,TRT Trabzon,Turkey
Turksat-3A,TRT GAP Diyarbakir,Turkey
Turksat-4A,TRT,Turkey
Turksat-4A,Türksat,Turkey
Turksat-4A,Turkuvaz,Turkey
Turksat-4A,Dogus Yayin Grubu,Turkey
Turksat-4A,Kanal 7,Turkey
Turksat-4A,The Walt Disney Company Turkey,United StatesTurkey
Turksat-4A,Ciner,Turkey
Turksat-4A,TGRT,Turkey
Turksat-4A,Güç Telekom Medya ve Iletisim Ticaret,Turkey
Turksat-4A,TürkMedya,Turkey
Turksat-4A,Acunmedya,Turkey
Turksat-4A,Mega-Choice,Ghana
Turksat-4A,Satview Network,Nigeria
Express-AM7,RTRS Stavropol,Russia
Express-AM7,RTRS Tula,Russia
Express-AM7,RTRS Kaluga,Russia
Express-AM7,RTRS Karelija,Russia
Express-AM7,RTRS Murmansk,Russia
Express-AM7,RTRS Voronezh,Russia
Express-AM7,RTRS 1,Russia
Express-AM7,RTRS,Russia
Express-AM7,RTRS 2,Russia
Express-AM7,RTRS Mari El,Russia
Express-AM7,RTRS Makhachkala,Russia
Express-AM7,RTRS Ryazan,Russia
Express-AM7,RTRS Penza,Russia
Express-AM7,RTRS Arkhangelsk,Russia
Express-AM7,RTRS Lipetsk,Russia
Express-AM7,RTRS Tambov,Russia
Express-AM7,RTRS Elista,Russia
Express-AM7,RTRS Mordovia,Russia
Express-AM7,RTRS Cheboksary,Russia
Express-AM7,RTRS Velikiy Novgorod,Russia
Express-AM7,RTRS Kabardino Balkarija,Russia
Express-AM7,RTRS Syktyvkar,Russia
Express-AM7,RTRS Nazran,Russia
Express-AM7,RTRS Vologda,Russia
Express-AM7,RTRS Maykop,Russia
Express-AM7,RTRS Vladimir,Russia
Express-AM7,RTRS Orel,Russia
Express-AM7,RTRS Cherkessk,Russia
Express-AM7,RTRS Bryansk,Russia
Express-AM7,RTRS Belgorod,Russia
Express-AM7,RTRS Ivanovo,Russia
Express-AM7,RTRS Kirov,Russia
Express-AM7,RTRS Vladikavkaz,Russia
Express-AM7,RTRS Kostroma,Russia
Express-AM7,RTRS Naryan-Mar,Russia
Express-AM7,RTRS Tatarstan,Russia
Express-AM7,RTRS Nizhny Novgorod,Russia
Express-AM7,RTRS Chechnya,Russia
Express-AM7,RTRS Volgograd,Russia
Express-AM7,RTRS Rostov,Russia
Express-AM7,RTRS Pskov,Russia
Express-AM7,RTRS Tver,Russia
Hellas-Sat-3,ERT,Greece
Hellas-Sat-3,Digea,Greece
Hellas-Sat-3,Intact Media Group,Romania
Paksat-1R,Dunya Media Group,Pakistan
Paksat-1R,VU TV Network,Pakistan
Paksat-1R,Suno FM,Pakistan
Paksat-1R,TeleNest,Pakistan
Paksat-1R,Geo TV Network,Pakistan
Paksat-1R,Express,Pakistan
Paksat-1R,SS Creative Solutions,United Arab Emirates
Paksat-1R,Radio Pakistan,Pakistan
Paksat-1R,PTV Network,Pakistan
Paksat-1R,AVT Channels,Pakistan
Paksat-1R,KTN Network,Pakistan
Paksat-1R,Hum Network,Pakistan
Eutelsat-36B,GeoSat,Georgia
Eutelsat-36B,Stereo Plus,Georgia
Eutelsat-36B,Vivacom MCPC,Bulgaria
Eutelsat-36B,Global Link,Georgia
Eutelsat-33F,Vidi TV,Bosnia and Herzegovina
Eutelsat-33F,Vivacom DTT,Bulgaria
Intelsat-28,UAU!TV,Angola
Turksat-5A,Türksat,Turkey
Arabsat-5A,Saudi Broadcasting Authority,Saudi Arabia
Arabsat-5A,ORTAS,Syria
Arabsat-6A,Sharjah Broadcasting Authority,United Arab Emirates
Astra-2E,Freesat,United Kingdom
Astra-2F,WAP,
Astra-2F,SES,Luxembourg
Astra-2F,Multi TV,Ghana
Astra-2G,Freesat,United Kingdom
Astra-2G,SES,Luxembourg
Badr-5,IRIB,Iran
Badr-7,MFM Radio,Morocco
Badr-7,RCS,Ghana
Badr-7,Saudi Broadcasting Authority,Saudi Arabia
Badr-7,MBC,Saudi Arabia
Badr-8,TNT Niger,Niger
Badr-8,Jordan Media City,Jordan
Badr-8,Arabsat,Saudi Arabia
Badr-8,Du,United Arab Emirates
Badr-8,Asharq,Saudi Arabia
Badr-8,Palsat,Palestine
Badr-8,Twofour54,United Arab Emirates
Badr-8,Profen,Turkey
Badr-8,Dubai Media,United Arab Emirates
Badr-8,Saudi Broadcasting Authority,Saudi Arabia
Badr-8,Qatar TV,Qatar
Badr-8,Bahrain TV,Bahrain
Badr-8,Al Kass,Qatar
Badr-8,MBC,Saudi Arabia
Badr-8,IEN Doros,Saudi Arabia
Badr-8,Oman TV,Oman
Badr-8,Al-Majd Network,Saudi Arabia
Badr-8,Kuwait TV,Kuwait
Badr-8,Sudan TV,Sudan
Badr-8,TDM,Mauritania
Badr-8,SNRT,Morocco
Eshail-2,Al Rayyan,Qatar
Eshail-2,Al Kass,Qatar
Eshail-2,Rotana,Saudi Arabia
Eshail-1,Aljazeera,Qatar
Astra-3B,Grupa ZPR Media,Poland
Astra-3B,Grupa Radiowa Agory,Poland
Astra-3B,Grupa RMF,Poland
Astra-3B,M7 Group,Luxembourg
Astra-3B,A1 Telekom Austria,Austria
Astra-3C,SES,Luxembourg
Astra-3C,M7 Group,Luxembourg
Astra-3C,SES Ukraine,LuxembourgUkraine
Astra-3C,RRT,Ukraine
Astra-3C,Towercom,Slovakia
Eutelsat-21B,Warner Bros. Discovery,United States
Eutelsat-21B,Arryadia,Morocco
Eutelsat-21B,MBC Maser,Saudi ArabiaEgypt
Eutelsat-21B,Medi 1 Radio,Morocco
Eutelsat-21B,Oman TV,
Arabsat-5C,DalSat Global,Somalia
Arabsat-5C,Hit Radio,Morocco
Arabsat-5C,Arabsat,Saudi Arabia
Arabsat-5C,ASBU Bouquet,Tunisia
Astra-1KR,SES,Luxembourg
Astra-1KR,ZDF Vision,Germany
Astra-1L,Beta Digital,Ireland
Astra-1L,SES,Luxembourg
Astra-1L,ARD Digital,Germany
Astra-1L,Telefónica Servicios Audiovisuales,Spain
Astra-1L,TrendSports,Germany
Astra-1L,ORF Digital,Austria
Astra-1L,Globecast,France
Astra-1L,RTL Group,Germany
Astra-1L,M7 Group,Luxembourg
Astra-1L,ProSiebenSat. 1 Media,Germany
Astra-1L,High View,Germany
Astra-1M,ARD Digital,Germany
Astra-1M,SES,Luxembourg
Astra-1M,Paramount International Networks,United States
Astra-1N,HD+,Germany
Astra-1N,ARD Digital,Germany
Astra-1N,ZDF Vision,Germany
Astra-1N,ProSiebenSat. 1 Media,Germany
Astra-1N,SES,Luxembourg
Astra-1N,Globecast,France
Astra-1N,Media Broadcast Satellite,Germany
Amos-17,Signet,Kenya
Amos-17,ViewMedia,United Kingdom
Amos-17,Panbetting,Germany
Eutelsat-16A,EClutch,eclutch.tv
Eutelsat-16A,Canal 2 International,Cameroon
Eutelsat-16A,Castor Networks,Netherlands
Eutelsat-16A,Broadcast Partners,Netherlands
Eutelsat-16A,Team:Media,Bosnia and Herzegovina
Eutelsat-16A,A1 Telekom Austria,Austria
Eutelsat-16A,A1 Croatia,Croatia
Eutelsat-16A,TV Româna,Romania
Eutelsat-16A,France TV,France
Eutelsat-16A,OIV,Croatia
Eutelsat-16A,Pro TV,Romania
Eutelsat-16A,AlbanicaSat,
Eutelsat-16A,Red Media,Turkey
Eutelsat-16A,RTSH,Albania
Eutelsat-16A,Premium Free,South Africa
Eutelsat-16A,SNAI,Italy
Eutelsat-16A,Centrul National Media,Romania
Eutelsat-16A,Ippica,Italy
Hotbird-13F,SNRT,Morocco
Hotbird-13F,Warner Bros. Discovery,United States
Hotbird-13F,STN,Slovenia
Hotbird-13F,Mediaset,Italy
Hotbird-13F,M-Three satcom,Italy
Hotbird-13F,RAI,Italy
Hotbird-13F,Telespazio,Italy
Hotbird-13F,Saudi Broadcasting Authority,Saudi Arabia
Hotbird-13F,Mediawan Thematics,France
Hotbird-13G,Platforma Canal +,Poland
Hotbird-13G,Eutelsat,France
Hotbird-13G,Svoboda Satellite Bouquet,France
Hotbird-13G,RAI,Italy
Hotbird-13G,Globecast,France
Hotbird-13G,Media Broadcast Satellite,Germany
Hotbird-13G,Arqiva,United Kingdom
Hotbird-13G,Telespazio,Italy
Hotbird-13G,Canal + Polska,Poland
Hotbird-13G,CCTV,China
Hotbird-13G,Du,United Arab Emirates
Hotbird-13G,M-Three satcom,Italy
Hotbird-13G,VoA,United States
Hotbird-13G,Telefónica Servicios Audiovisuales,Spain
Hotbird-13G,Etisalat,United Arab Emirates
Eutelsat-10B,Rwanda TV,Rwanda
Eutelsat-10B,StarTimes TV Kenya,Kenya
Eutelsat-10B,New World TV,Togo
Eutelsat-10B,TVT,Togo
Eutelsat-10B,BFBS,United Kingdom
Eutelsat-Ka-Sat-9A,2RN,Ireland
Eutelsat-9B,A1 Telekom Austria,Austria
Eutelsat-9B,Televisa Networks,Mexico
Eutelsat-9B,Skylogic,Italy
Eutelsat-9B,Warner Bros. Discovery,United States
Eutelsat-9B,MTVA,Hungary
Eutelsat-9B,Globecast,France
Eutelsat-9B,Arqiva,United Kingdom
Eutelsat-9B,Cairo Communication,Italy
Eutelsat-9B,Mediaset,Italy
Eutelsat-9B,ZeonBud,Ukraine
Eutelsat-9B,RL Piemonte 1,Italy
Eutelsat-9B,Persidera,Italy
Eutelsat-9B,RL Liguria 1,Italy
Eutelsat-9B,RL Valle d'Aosta,Italy
Eutelsat-7B,IVG,Turkey
Eutelsat-7B,Eutelsat,France
Eutelsat-7B,Premium Free,South Africa
Eutelsat-7B,Vivacom,Bulgaria
Eutelsat-7B,Zim Digital,Zimbabwe
Eutelsat-7B,MBC,Mauritius
Eutelsat-7C,Moreplex TV,Nigeria
SES-5,TV Continental,Nigeria
SES-5,BBC World Service,United Kingdom
SES-5,Voice of America,United States
SES-5,SES,Luxembourg
SES-5,Globecast,France
Astra-4A,NEP Connect,United Kingdom
Astra-4A,SES Ukraine,LuxembourgUkraine
Astra-4A,RRT,Ukraine
Astra-4A,Anuvu,United States
Astra-4A,SES,Luxembourg
Astra-4A,Inter Media Grup,Ukraine
Astra-4A,MBC (Malawi),Malawi
Eutelsat-3B,StarTimes TV Tanzania,Tanzania
Eutelsat-3B,StarTimes TV Uganda,Uganda
Eutelsat-3B,2M,Morocco
Eutelsat-3B,Channel 8,Iraq
Rascom-QAF-1R,Vicus Luxlink,Germany
Rascom-QAF-1R,Dash Media,Cameroon
Thor-7,Slovak Telekom,Slovakia
Thor-7,Telenor,Norway
Thor-5,Slovak Telekom,Slovakia
Thor-5,Telenor,Norway
Thor-6,Slovak Telekom,Slovakia
Thor-6,SES,Luxembourg
Thor-6,Paramount International Networks,United States
Intelsat-10-02,NBC,Namibia
Intelsat-10-02,Slovak Telekom,Slovakia
Intelsat-10-02,TV5Monde,France
Intelsat-10-02,TV 2 (Hungary),Hungary
ABS-3A,IMPD TV,Brazil
ABS-3A,IMPD TV Worldwide,Brazil
ABS-3A,IMPD TV Rondônia,Brazil
ABS-3A,CruiseSat,United States
ABS-3A,WiTV Africa,United States
ABS-3A,BT Media Group,Cameroon
ABS-3A,PSTV,Congo-Brazzaville
ABS-3A,Dream TV Satellite,Guyana
ABS-3A,SkyVision,United Kingdom
Amos-3,Antenna Hungária,Hungary
Amos-3,Tippmix,Hungary
Eutelsat-5-West-B,Rai Way Sicilia 1,
Eutelsat-5-West-B,TowerCast,France
Eutelsat-5-West-B,Alouette,France
Eutelsat-5-West-B,TDF,France
Eutelsat-5-West-B,RAI,Italy
Eutelsat-5-West-B,Cairo Communication,Italy
Eutelsat-5-West-B,Sardegna Locale 1,Italy
Nilesat-201,ERTU,Egypt
Nilesat-201,Nilesat,Egypt
Nilesat-201,On TV,Egypt
Nilesat-201,Al Kass,Qatar
Nilesat-201,Jordan Media City,Jordan
Nilesat-201,DMC,Egypt
Nilesat-201,Oman TV,Oman
Nilesat-201,Saudi Broadcasting Authority,Saudi Arabia
Nilesat-201,Rotana,Saudi Arabia
Nilesat-301,Nilesat,Egypt
Eutelsat-7-West-A,Gulfsat,Kuwait
Eutelsat-7-West-A,Viewsat,United Kingdom
Eutelsat-7-West-A,Qatar TV,Qatar
Eutelsat-7-West-A,Eutelsat MENA,France
Eutelsat-7-West-A,TDA,Algeria
Eutelsat-7-West-A,SNRT,Morocco
Eutelsat-7-West-A,Saba World,Lebanon
Eutelsat-7-West-A,STN,Slovenia
Eutelsat-7-West-A,Abu Dhabi Media Network,United Arab Emirates
Eutelsat-7-West-A,Eutelsat,France
Eutelsat-7-West-A,MBC,Saudi Arabia
Eutelsat-7-West-A,BHS Telecom,United Arab Emirates
Eutelsat-7-West-A,ONT,Tunisia
Eutelsat-7-West-A,Du,United Arab Emirates
Eutelsat-7-West-A,Asharq,Saudi Arabia
Eutelsat-7-West-A,Jordan Media City,Jordan
Eutelsat-7-West-A,Dubai Media,United Arab Emirates
Eutelsat-8-West-B,CRTV,Cameroon
Eutelsat-8-West-B,TopStar,Zambia
Eutelsat-8-West-B,Vivacom MCPC,Bulgaria
Eutelsat-8-West-B,RFI,France
Eutelsat-8-West-B,My TV,
Eutelsat-8-West-B,Aljazeera,Qatar
Eutelsat-8-West-B,Sharjah Broadcasting Authority,United Arab Emirates
Eutelsat-8-West-B,Kuwait TV,Kuwait
Eutelsat-8-West-B,ViewMedia,United Kingdom
Eutelsat-8-West-B,Dubai Media,United Arab Emirates
Eutelsat-8-West-B,MBC,Saudi Arabia
Eutelsat-8-West-B,Gulfsat,Kuwait
Eutelsat-8-West-B,STN,Slovenia
Eutelsat-8-West-B,Eutelsat MENA,France
