Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
11996 Ltp ER15Russia0,DVB-S28PSK275003/4,,Trikolor,,253-15,,7.9,ExsetDRECryptDREGuard,N Stanislav240301,
12034 Ltp ER17Russia0,DVB-S28PSK275003/4,,Trikolor,,253-17,,7.9,ExsetDRECryptDREGuard,N Stanislav230831,
12054 Rtp ER18Russia0,DVB-S28PSK275003/4,,Trikolor,,253-18,,7.9,ExsetDRECryptDREGuard,S Günes231121,
12149 Ltp ER23Russia0,DVB-S28PSK275003/4,,Trikolor,,253-23,,7.9,ExsetDRECryptDREGuard,N Stanislav240119,
11785 Rtp ER4Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-13,,7.9,CompunicateViaccess,N Stanislav240308,
11823 Rtp ER6Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-14,,7.9,CompunicateViaccess,N Stanislav230703,
11862 Rtp ER8Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-2,,7.9,CompunicateViaccess,N Stanislav240101,
11900 Rtp ER10Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-19,,7.9,CompunicateViaccess,N Stanislav240111,
11938 Rtp ER12Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-17,,7.9,CompunicateViaccess,N Stanislav230703,
11977 Rtp ER14Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-18,,7.9,CompunicateViaccess,N Stanislav240221,
12015 Rtp ER16Russia0,DVB-S28PSK275003/4,,NTV Plus,,112-22,,7.9,CompunicateViaccess,N Stanislav230703,
11785 Rtp ER4Russia0,DVB-S28PSK275003/4,1311,TNT 4,,MPEG-4/SD,211,311 Rus,,,
11785 Rtp ER4Russia0,DVB-S28PSK275003/4,1319,Telekanal 2x2,,MPEG-4/SD,219,319 Rus,,,
11785 Rtp ER4Russia0,DVB-S28PSK275003/4,1321,Subbota!,,MPEG-4/SD,221,321 Rus,,,
11785 Rtp ER4Russia0,DVB-S28PSK275003/4,1323,Shop & Show,,MPEG-4/SD,223,323 Rus,,,
11843 Vtp EA7Sub-Sahara Africa0,DVB-S275003/4,1803,DSTV Africa Dish on TV Guide,,MPEG-2/SD,305,306 Eng,,,
11843 Ltp ER7Russia0,DVB-S28PSK275003/4,26900,[Telepoisk info card],,MPEG-4/SD,41,Rus,,,
