Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One Wales,,MPEG-2/SD,3101,3102 Eng,BISS,,11043 V,,,BISS,,BBC One Wales,https://www.lyngsat.com/tvchannels/uk/BBC-One-Wales.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One Scotland,,MPEG-2/SD,4101,4102 Eng,BISS,,11043 V,,,BISS,,BBC One Scotland,https://www.lyngsat.com/tvchannels/uk/BBC-One-Scotland.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC One Northern Ireland,,MPEG-2/SD,5101,5102 Eng,BISS,,11043 V,,,BISS,,BBC One Northern Ireland,https://www.lyngsat.com/tvchannels/uk/BBC-One-Northern-Ireland.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,ITV 1 Granada,,MPEG-4/HD,6201,6202 Eng,BISS,,11043 V,,,BISS,,ITV 1 Granada,https://www.lyngsat.com/tvchannels/uk/ITV-1-Granada.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,Channel 4 London,,MPEG-4/HD,6301,6302 Eng,BISS,,11043 V,,,BISS,,Channel 4 London,https://www.lyngsat.com/tvchannels/uk/Channel-4-London.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,Channel 5 (UK),,MPEG-4/HD,6401,6402 Eng,BISS,,11043 V,,,BISS,,Channel 5 (UK),https://www.lyngsat.com/tvchannels/uk/Channel-5.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,5 Select,,MPEG-4/SD,7501,7502 Eng,BISS,,11043 V,,,BISS,,5 Select,https://www.lyngsat.com/tvchannels/uk/5-Select.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,TBN UK,,MPEG-4/SD,7901,7902 Eng,BISS,,11043 V,,,BISS,,TBN UK,https://www.lyngsat.com/tvchannels/us/TBN-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 1,,,,1002 Eng,BISS,,11043 V,,,BISS,,BBC Radio 1,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 1,,,,1002 Eng,BISS,,11043 V,,,BISS,,BBC Radio 1,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 2,,,,1102 Eng,BISS,,11043 V,,,BISS,,BBC Radio 2,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-2.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 2,,,,1102 Eng,BISS,,11043 V,,,BISS,,BBC Radio 2,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-2.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 3,,,,1202 Eng,BISS,,11043 V,,,BISS,,BBC Radio 3,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-3.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 3,,,,1202 Eng,BISS,,11043 V,,,BISS,,BBC Radio 3,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-3.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 4 FM,,,,1302 Eng,BISS,,11043 V,,,BISS,,BBC Radio 4 FM,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-FM.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 4 FM,,,,1302 Eng,BISS,,11043 V,,,BISS,,BBC Radio 4 FM,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-FM.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 5 Live,,,,1402 Eng,BISS,,11043 V,,,BISS,,BBC Radio 5 Live,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-5-Live.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 5 Live,,,,1402 Eng,BISS,,11043 V,,,BISS,,BBC Radio 5 Live,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-5-Live.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 5 Live Sports Extra,,,,1502 Eng,BISS,,11043 V,,,BISS,,BBC Radio 5 Live Sports Extra,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-5-Live-Sports-Extra.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 6 Music,,,,1602 Eng,BISS,,11043 V,,,BISS,,BBC Radio 6 Music,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-6-Music.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 6 Music,,,,1602 Eng,BISS,,11043 V,,,BISS,,BBC Radio 6 Music,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-6-Music.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 4 Extra,,,,1702 Eng,BISS,,11043 V,,,BISS,,BBC Radio 4 Extra,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-Extra.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 4 Extra,,,,1702 Eng,BISS,,11043 V,,,BISS,,BBC Radio 4 Extra,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-4-Extra.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 1Xtra,,,,1802 Eng,BISS,,11043 V,,,BISS,,BBC Radio 1Xtra,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1Xtra.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio 1Xtra,,,,1802 Eng,BISS,,11043 V,,,BISS,,BBC Radio 1Xtra,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-1Xtra.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio Asian Network,,,,1902,BISS,,11043 V,,,BISS,,BBC Radio Asian Network,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-Asian-Network.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC Radio Asian Network,,,,1902,BISS,,11043 V,,,BISS,,BBC Radio Asian Network,https://www.lyngsat.com/radiochannels/uk/BBC-Radio-Asian-Network.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC World Service UK,,,,2002 Eng,BISS,,11043 V,,,BISS,,BBC World Service UK,https://www.lyngsat.com/radiochannels/uk/BBC-World-Service-UK.html
11043 VNorth Sea,DVB-S2QPSK441009/10,0,BBC World Service UK,,,,2002 Eng,BISS,,11043 V,,,BISS,,BBC World Service UK,https://www.lyngsat.com/radiochannels/uk/BBC-World-Service-UK.html
11506 Vtp 51Europe & Middle East,DVB-S28943/4,,EXRN Radio Network,,1-1,,5.5,,V Kopertehov160122,11506 V,tp 51,,,https://www.lyngsat.com/providers/us/EXRN-Radio-Network.html,,
11506 Vtp 51Europe & Middle East,DVB-S28943/4,50,EXRN Radio Network 1,,,,4156 Eng,,,11506 V,tp 51,,,,EXRN Radio Network 1,https://www.lyngsat.com/radiochannels/us/EXRN-Radio-Network-1.html
11506 Vtp 51Europe & Middle East,DVB-S28943/4,51,EXRN Radio Network 2,,,,4157 Eng,,,11506 V,tp 51,,,,EXRN Radio Network 2,https://www.lyngsat.com/radiochannels/us/EXRN-Radio-Network-2.html
11530 Htp 48Europe & Middle East,,,,,,,,,N Stanislav240223,11530 H,tp 48,,,,,
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,730,EWTN España - Latinoamérica,,MPEG-4/SD,3200,3201 Spa,,,11795 H,tp 13,0,,,EWTN España - Latinoamérica,https://www.lyngsat.com/tvchannels/us/EWTN-Espana---Latinoamerica.html
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,730,EWTN España - Latinoamérica,,MPEG-4/SD,3200,3201 Spa,,,11795 H,tp 13,0,,,EWTN España - Latinoamérica,https://www.lyngsat.com/tvchannels/us/EWTN-Espana---Latinoamerica.html
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,732,Bethel TV (Peru),,MPEG-4/SD,1616,1617 Spa,,,11795 H,tp 13,0,,,Bethel TV (Peru),https://www.lyngsat.com/tvchannels/pe/Bethel-TV.html
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,732,Bethel TV (Peru),,MPEG-4/SD,1616,1617 Spa,,,11795 H,tp 13,0,,,Bethel TV (Peru),https://www.lyngsat.com/tvchannels/pe/Bethel-TV.html
11795 Htp 13Pan America0,DVB-S2QPSK450004/5,9999,ESPN Dos México,,MPEG-4/SD,38,33 Spa,,,11795 H,tp 13,0,,,ESPN Dos México,https://www.lyngsat.com/tvchannels/us/ESPN-Dos-Mexico.html
