Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
4168 Htp 23North America C0,DVB-S28PSK163031/2,92,EWTN España - Latinoamérica,,MPEG-4/HD,8110,8111 Spa8112 Spa,,,4168 H,tp 23,0,,,EWTN España - Latinoamérica,https://www.lyngsat.com/tvchannels/us/EWTN-Espana---Latinoamerica.html
4168 Htp 23North America C0,DVB-S28PSK163031/2,34,EWTN Africa - Asia,,MPEG-4/SD,3400,3401 Eng3402 Fre,,,4168 H,tp 23,0,,,EWTN Africa - Asia,https://www.lyngsat.com/tvchannels/us/EWTN-Africa---Asia.html
4168 Htp 23North America C0,DVB-S28PSK163031/2,34,EWTN Africa - Asia,,MPEG-4/SD,3400,3401 Eng3402 Fre,,,4168 H,tp 23,0,,,EWTN Africa - Asia,https://www.lyngsat.com/tvchannels/us/EWTN-Africa---Asia.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,,Big Ten Network,,,,9.4,Irdeto,NOS482221210,4180 V,tp 24,0,Irdeto,https://www.lyngsat.com/providers/us/Big-Ten-Network.html,Big Ten Network,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,571,Big Ten Network,,HEVC/HD,101,102 Eng 103 Spa,Irdeto,,4180 V,tp 24,0,Irdeto,https://www.lyngsat.com/providers/us/Big-Ten-Network.html,Big Ten Network,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,572,Big Ten Network Alternate,,HEVC/HD,201,202,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,572,Big Ten Network Alternate,,HEVC/HD,201,202,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,572,Big Ten Network Alternate,,HEVC/HD,201,202,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,573,Big Ten Network Alternate,,HEVC/HD,301,302,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,573,Big Ten Network Alternate,,HEVC/HD,301,302,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,573,Big Ten Network Alternate,,HEVC/HD,301,302,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,574,Big Ten Network Alternate,,HEVC/HD,401,402,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,574,Big Ten Network Alternate,,HEVC/HD,401,402,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
4180 Vtp 24North America C0,DVB-S28PSK312455/6,574,Big Ten Network Alternate,,HEVC/HD,401,402,Irdeto,,4180 V,tp 24,0,Irdeto,,Big Ten Network Alternate,https://www.lyngsat.com/tvchannels/us/Big-Ten-Network-Alternate.html
11980 H,DVB-S2122603/4,,Intelsat promo,,HEVC/UHD,1453,1285 Eng,,Montana Satelite221211,11980 H,,,,,,
