Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL
10845 Htp K7Africa0,DVB-S28PSK300002/3,2801,True African,,MPEG-4/SD,101,102 Eng,,,10845 H,tp K7,0,,,True African,https://www.lyngsat.com/tvchannels/za/True-African.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2801,True African,,MPEG-4/SD,101,102 Eng,,,10845 H,tp K7,0,,,True African,https://www.lyngsat.com/tvchannels/za/True-African.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2802,Afriwood Series,,MPEG-4/SD,111,112 Eng,,,10845 H,tp K7,0,,,Afriwood Series,https://www.lyngsat.com/tvchannels/za/Afriwood-Series.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2802,Afriwood Series,,MPEG-4/SD,111,112 Eng,,,10845 H,tp K7,0,,,Afriwood Series,https://www.lyngsat.com/tvchannels/za/Afriwood-Series.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2803,Pulse,,MPEG-4/SD,121,122,,,10845 H,tp K7,0,,,Pulse,https://www.lyngsat.com/tvchannels/--/Pulse.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2804,Kingdom Citizens TV,,MPEG-4/SD,131,132 Eng,,,10845 H,tp K7,0,,,Kingdom Citizens TV,https://www.lyngsat.com/tvchannels/--/Kingdom-Citizens-TV.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2805,Life TV,,MPEG-4/SD,141,142 Eng,,,10845 H,tp K7,0,,,Life TV,https://www.lyngsat.com/tvchannels/--/Life-TV.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2806,Fresh,,MPEG-4/SD,151,152 Eng,,,10845 H,tp K7,0,,,Fresh,https://www.lyngsat.com/tvchannels/za/Fresh.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2807,LOL Africa,,MPEG-4/SD,161,162 Eng,,,10845 H,tp K7,0,,,LOL Africa,https://www.lyngsat.com/tvchannels/za/LOL-Africa.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2807,LOL Africa,,MPEG-4/SD,161,162 Eng,,,10845 H,tp K7,0,,,LOL Africa,https://www.lyngsat.com/tvchannels/za/LOL-Africa.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2808,Kiddiwinks,,MPEG-4/SD,171,172 Eng,,,10845 H,tp K7,0,,,Kiddiwinks,https://www.lyngsat.com/tvchannels/za/Kiddiwinks.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2808,Kiddiwinks,,MPEG-4/SD,171,172 Eng,,,10845 H,tp K7,0,,,Kiddiwinks,https://www.lyngsat.com/tvchannels/za/Kiddiwinks.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2809,Sports Connect,,MPEG-4/SD,181,182 Eng,,,10845 H,tp K7,0,,,Sports Connect,https://www.lyngsat.com/tvchannels/za/Sports-Connect.html
10845 Htp K7Africa0,DVB-S28PSK300002/3,2809,Sports Connect,,MPEG-4/SD,181,182 Eng,,,10845 H,tp K7,0,,,Sports Connect,https://www.lyngsat.com/tvchannels/za/Sports-Connect.html
