Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
10924 Htp 7East MENA,DVB-S170003/4,2622.0,Jeddah Radio,,,,813 Ara,,,,False,Saudi Broadcasting Authority
12700 Htp 13East MENA,DVB-S20001/2,1.0,Jeddah Radio,,,,256 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2625.0,Neda Radio,,,,413 Ara,,,,False,Saudi Broadcasting Authority
12700 Htp 13East MENA,DVB-S20001/2,1.0,Neda Radio,,,,256 Ara,,,,False,Saudi Broadcasting Authority
10924 Htp 7East MENA,DVB-S170003/4,2626.0,Saudia Radio,,,,416,,,,False,Saudi Broadcasting Authority
12700 Htp 13East MENA,DVB-S20001/2,2.0,Saudia Radio,,,,257,,,,False,Saudi Broadcasting Authority
12507 Vtp 10MENA49,DVB-S2QPSK25003/4,1.0,Sudan TV,,?-?MPEG-4/SD,33.0,4.0  34 Ara,,N Stanislav230610,,False,Saudi Broadcasting Authority
12527 Vtp 10MENA49,DVB-S28PSK28003/4,1.0,LBC International,,?-?MPEG-4/HD,122.0,7.9 222 Ara,,N Stanislav230815,,False,Saudi Broadcasting Authority
12545 Vtp 10MENA49,DVB-S28PSK13005/6,501.0,LBC International,,?-?MPEG-4/SD,802.0,9.4 902 Ara,,DX Bozóth220423,,False,Saudi Broadcasting Authority
12533 Htp 9West Africa,DVB-S29607/8,1.0,2M National,,?-?MPEG-2/SD,333.0,7.2 800 Ara,,DX Bozóth230903,,False,Saudi Broadcasting Authority
12533 Htp 9West Africa,DVB-S29607/8,2.0,Radio 2M,,,,801,,,,False,Saudi Broadcasting Authority
12541 Vtp 10MENA49,DVB-S28PSK16605/6,100.0,Télé Liban,,?-?MPEG-2/SD,100.0,9.43019 Ara,,DX Bozóth230929,,False,Saudi Broadcasting Authority
12543 Vtp 10MENA49,DVB-S28PSK16005/6,1.0,Diwan TV,,?-?MPEG-4/HD,101.0,9.4 256 Ara,,DX Bozóth240217,,False,Saudi Broadcasting Authority
12672 Htp 13East MENA,DVB-S28PSK58205/6,,ORTAS,,,,9.4,,N Stanislav220417,https://www.lyngsat.com/providers/sy/ORTAS.html,True,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,1.0,Syria Drama,,MPEG-2/SD,33.0,34 Ara,,,,False,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,2.0,Souryana TV,,MPEG-2/SD,256.0,110 Ara,,,,False,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,3.0,Nour El-Sham,,MPEG-2/SD,308.0,44 Ara,,,,False,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,4.0,Syrian Satellite Channel,,MPEG-2/SD,770.0,771 Ara,,,,False,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,5.0,Syrian Educational TV,,MPEG-2/SD,240.0,242 Ara,,,,False,ORTAS
12672 Htp 13East MENA,DVB-S28PSK58205/6,1.0,Radio Damascus,,,,35,,,,False,ORTAS
12726 Vtp 16MENA49,DVB-S20003/4,1.0,ERI TV 2,,?-?MPEG-2/SD,308.0,5.5 256 Ara,,DX Bozóth221129,,False,ORTAS
12734 Vtp 16MENA49,DVB-S28PSK16663/4,27.0,NBN,,?-?MPEG-4/HD,127.0,7.9 227 Ara,,N Stanislav230610,,False,ORTAS
