Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
4073 VC,DVB-S28PSK96003/4,7.0,Tarang TV,,HEVC/HD,702.0,703 Ori,Irdeto,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,2.0,Tarang Music,,MPEG-4/SD,202.0,203 Ori,Irdeto,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,3.0,Odisha TV,,MPEG-4/SD,502.0,503 Ori,,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,4.0,Prarthana TV,,MPEG-4/SD,402.0,403 Ori,Irdeto,,,False,Doordarshan
4073 VC,DVB-S28PSK96003/4,5.0,Alankar TV,,MPEG-4/SD,602.0,603 Ori,Irdeto,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,1.0,News Live,,MPEG-4/SD,257.0,258 Asm,,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,2.0,Rang,,MPEG-4/SD,357.0,358 Asm,,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,12.0,Ramdhenu,,MPEG-4/SD,457.0,458 Asm,,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,15.0,Northeast Live,,MPEG-4/SD,557.0,558 Eng,,,,False,Doordarshan
4096 VC,DVB-S28PSK94253/4,16.0,Indradhanu TV,,MPEG-4/SD,667.0,668 Asm,,,,False,Doordarshan
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4108 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4113 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila211128,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4116 VC,DVB-S2QPSK10003/4,,AIR,,8192-4096,,4.0,,N Stanislav210717,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4127 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,Onacila210317,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4130 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav220521,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4130 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav220521,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
4130 VC,DVB-S2QPSK10003/4,,AIR,,1-1,,4.0,,N Stanislav220521,https://www.lyngsat.com/providers/in/AIR.html,True,AIR
