Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,is_Provider,Provider
12536 HNE Asia0,DVB-S216APSK81815/6,166.0,SkyGuide,,?-?HEVC/HD,481.0,482 Kor,,T Kameda200828,,False,American Forces Network
12554 HNE Asia0,DVB-S37207/8,2.0,NHTV (Mon-Fri 08:45-17:15),,0-1HEVC/HD,1000.0,7.21001 Kor,,T Kameda210201,,False,American Forces Network
12577 HNE Asia0,DVB-S28PSK88005/6,,MediaCan,,,,9.4,,T Kameda230217,https://www.lyngsat.com/providers/kr/MediaCan.html,True,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,,MediaCan,,,,9.4,,T Kameda230217,https://www.lyngsat.com/providers/kr/MediaCan.html,True,MediaCan
12602 HNE Asia0,DVB-S175005/6,,MediaCan,,2-1,,6.5,,N Kawano200901,https://www.lyngsat.com/providers/kr/MediaCan.html,True,MediaCan
12602 HNE Asia0,DVB-S175005/6,,MediaCan,,2-1,,6.5,,N Kawano200901,https://www.lyngsat.com/providers/kr/MediaCan.html,True,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,5.0,OUN,,MPEG-2/SD,185.0,186 Kor 187 Kor,,,,False,MediaCan
12602 HNE Asia0,DVB-S175005/6,5.0,OUN,,MPEG-2/SD,185.0,186 Kor 187 Kor,,,,False,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,6.0,National Assembly TV,,MPEG-2/SD,195.0,196 Kor,,,,False,MediaCan
12602 HNE Asia0,DVB-S175005/6,6.0,National Assembly TV,,MPEG-2/SD,195.0,196 Kor,,,,False,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,8.0,EBS Plus 1,,MPEG-2/SD,225.0,226 Kor 227 Kor,,,,False,MediaCan
12602 HNE Asia0,DVB-S175005/6,8.0,EBS Plus 1,,MPEG-2/SD,225.0,226 Kor 227 Kor,,,,False,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,9.0,EBS Plus 2,,MPEG-2/SD,230.0,231 Kor 232 Kor,,,,False,MediaCan
12602 HNE Asia0,DVB-S175005/6,9.0,EBS Plus 2,,MPEG-2/SD,230.0,231 Kor 232 Kor,,,,False,MediaCan
12577 HNE Asia0,DVB-S28PSK88005/6,10.0,EBS English,,MPEG-2/SD,235.0,236 Kor 237 Kor,,,,False,MediaCan
12602 HNE Asia0,DVB-S175005/6,10.0,EBS English,,MPEG-2/SD,235.0,236 Kor 237 Kor,,,,False,MediaCan
12624 VNE Asia,DVB-S28PSK50003/4,,(Korea Telecom feeds),,,,,,T Kameda180421,,False,MediaCan
12639 VNE Asia,DVB-S28PSK72003/4,,(Korea Telecom feeds),,,,,,T Kameda171227,,False,MediaCan
12644 HNE Asia,DVB-S28PSK32003/4,,(Korea Telecom feeds),,,,,,T Kameda180201,,False,MediaCan
12655 HNE Asia,DVB-S216APSK34744/5,,(MBC feeds),,,,,,T Kameda180101,,False,MediaCan
12660 HNE Asia,DVB-S216APSK34744/5,,(MBC feeds),,,,,,T Kameda200811,,False,MediaCan
12665 HNE Asia0,DVB-S28PSK38183/4,1.0,MBC (South Korea),,?-?MPEG-4/HD,513.0,7.9.112 Kor,,T Kameda180116,,False,MediaCan
12665 HNE Asia0,DVB-S28PSK38183/4,1.0,MBC Standard FM,,,,4114 Kor,,,,False,MediaCan
12665 HNE Asia0,DVB-S28PSK38183/4,1.0,MBC FM4U,,,,4115 Kor,,,,False,MediaCan
12710 VMaritime,DVB-S2QPSK116662/3,,,,,,3.1,,N Stanislav220510,,False,MediaCan
12710 VMaritime,DVB-S2QPSK116662/3,1.0,KBS Korea,,MPEG-4/HD,2051.0,2052 Kor,,,,False,MediaCan
12710 VMaritime,DVB-S2QPSK116662/3,2.0,YTN,,MPEG-4/HD,33.0,34 Kor,,,,False,MediaCan
12710 VMaritime,DVB-S2QPSK116662/3,3.0,KBS World,,MPEG-4/HD,81.0,82 Kor,,,,False,MediaCan
