Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3780 V,DVB-S28PSK323003/4,3490,CHC Action Movies,,AVS+/HD,257.0,258 Chi,Tongfang,,3780 V,,,Tongfang,,CHC Action Movies,https://www.lyngsat.com/tvchannels/cn/CHC-Action-Movies.html,False,CGTN
3780 V,DVB-S28PSK323003/4,18017,Flash TV (China),,MPEG-2/SD,1057.0,1058 Chi,Tongfang,,3780 V,,,Tongfang,,Flash TV (China),https://www.lyngsat.com/tvchannels/cn/Flash-TV.html,False,CGTN
3780 V,DVB-S28PSK323003/4,36320,Martial Arts World,,AVS+/HD,1313.0,1314 Chi,Tongfang,,3780 V,,,Tongfang,,Martial Arts World,https://www.lyngsat.com/tvchannels/cn/Martial-Arts-World.html,False,CGTN
3780 V,DVB-S28PSK323003/4,36385,Liyuan TV,,AVS+/HD,1297.0,1298 Chi,Tongfang,,3780 V,,,Tongfang,,Liyuan TV,https://www.lyngsat.com/tvchannels/cn/Liyuan-TV.html,False,CGTN
3780 V,DVB-S28PSK323003/4,36416,Cultural Treasure Channel,,AVS+/HD,1329.0,1330 Chi,Tongfang,,3780 V,,,Tongfang,,Cultural Treasure Channel,https://www.lyngsat.com/tvchannels/cn/Cultural-Treasure-Channel.html,False,CGTN
3780 V,DVB-S28PSK323003/4,40416,Vanguard 2 Badminton Channel,,MPEG-2/SD,1121.0,1122 Chi,Tongfang,,3780 V,,,Tongfang,,Vanguard 2 Badminton Channel,https://www.lyngsat.com/tvchannels/cn/Vanguard-2-Badminton-Channel.html,False,CGTN
3787 H,DVB-S28PSK75003/4,100,Qinghai TV,,1-36AVS+/HD,101.0,7.9 102 Chi,Irdeto,Caribbean kelp210403,3787 H,,,Irdeto,,Qinghai TV,https://www.lyngsat.com/tvchannels/cn/Qinghai-TV.html,False,CGTN
4158 H,DVB-S86803/4,1010,Qinghai TV,,MPEG-2/SD,4113.0,4114 Chi,,,4158 H,,,,,Qinghai TV,https://www.lyngsat.com/tvchannels/cn/Qinghai-TV.html,False,CGTN
3796 H,DVB-S69301/2,1-1,Guizhou TV,,1-1MPEG-2/SD,38.0,2.7  39 Chi,,T Kameda121013,3796 H,,,,,,,False,CGTN
3796 H,DVB-S69301/2,2,Guizhou News Radio,,,,257 Chi,,,3796 H,,,,,Guizhou News Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-News-Radio.html,False,CGTN
3796 H,DVB-S69301/2,2,Guizhou News Radio,,,,257 Chi,,,3796 H,,,,,Guizhou News Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-News-Radio.html,False,CGTN
3796 H,DVB-S69301/2,7,Guizhou News Radio,,,,49 Chi,,,3796 H,,,,,Guizhou News Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-News-Radio.html,False,CGTN
3796 H,DVB-S69301/2,7,Guizhou News Radio,,,,49 Chi,,,3796 H,,,,,Guizhou News Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-News-Radio.html,False,CGTN
3796 H,DVB-S69301/2,3,Guizhou Economic Radio,,,,258 Chi,,,3796 H,,,,,Guizhou Economic Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-Economic-Radio.html,False,CGTN
3796 H,DVB-S69301/2,3,Guizhou Metropolis Radio,,,,258 Chi,,,3796 H,,,,,Guizhou Metropolis Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-Metropolis-Radio.html,False,CGTN
3796 H,DVB-S69301/2,4,Guizhou Music Radio,,,,259 Chi,,,3796 H,,,,,Guizhou Music Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-Music-Radio.html,False,CGTN
3796 H,DVB-S69301/2,5,Guizhou Traffic Radio,,,,260 Chi,,,3796 H,,,,,Guizhou Traffic Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-Traffic-Radio.html,False,CGTN
3796 H,DVB-S69301/2,6,Guizhou Story Radio,,,,261 Chi,,,3796 H,,,,,Guizhou Story Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-Story-Radio.html,False,CGTN
3796 H,DVB-S69301/2,6,Guizhou City Radio,,,,261 Chi,,,3796 H,,,,,Guizhou City Radio,https://www.lyngsat.com/radiochannels/cn/Guizhou-City-Radio.html,False,CGTN
3807 V,DVB-S60003/4,1,Chongqing TV,,1-101MPEG-2/SD,1800.0,5.51801 Yue,,T Kameda200922,3807 V,,,,,,,False,CGTN
