Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
11665 Vtp D8Fixed 10,DVB-S384005/6,738.0,Juvelirochka,,MPEG-2/SD,838.0,938 Rus,,,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,738.0,Juvelirochka,,MPEG-2/SD,838.0,938 Rus,,,11665 V,tp D8,0,,,Juvelirochka,https://www.lyngsat.com/tvchannels/ru/Juvelirochka.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,809.0,STS Love (+7h),,MPEG-4/SD,209.0,309 Rus,,,11530 H,tp D3,0,,,STS Love (+7h),https://www.lyngsat.com/tvchannels/ru/STS-Love.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,817.0,Leomax 24,,MPEG-4/SD,217.0,317 Rus,,,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,817.0,Leomax 24,,MPEG-4/SD,217.0,317 Rus,,,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,817.0,Leomax 24,,MPEG-4/SD,217.0,317 Rus,,,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11530 Htp D3Fixed 10,DVB-S28PSK222502/3,817.0,Leomax 24,,MPEG-4/SD,217.0,317 Rus,,,11530 H,tp D3,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,728.0,Leomax 24,,MPEG-2/SD,828.0,928 Rus,,,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,728.0,Leomax 24,,MPEG-2/SD,828.0,928 Rus,,,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,728.0,Leomax 24,,MPEG-2/SD,828.0,928 Rus,,,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,728.0,Leomax 24,,MPEG-2/SD,828.0,928 Rus,,,11665 V,tp D8,0,,,Leomax 24,https://www.lyngsat.com/tvchannels/ru/Leomax-24.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,769.0,[test card],,MPEG-2/SD,869.0,969,,,11665 V,tp D8,0,,,,,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,793.0,Europa Plus (+5h),,,,993 Rus,,,11665 V,tp D8,0,,,Europa Plus (+5h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,793.0,Europa Plus (+5h),,,,993 Rus,,,11665 V,tp D8,0,,,Europa Plus (+5h),https://www.lyngsat.com/radiochannels/ru/Europa-Plus.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,794.0,Retro FM Rossiya (+5h),,,,994 Rus,,,11665 V,tp D8,0,,,Retro FM Rossiya (+5h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,False,Arktik Telekom
11665 Vtp D8Fixed 10,DVB-S384005/6,794.0,Retro FM Rossiya (+5h),,,,994 Rus,,,11665 V,tp D8,0,,,Retro FM Rossiya (+5h),https://www.lyngsat.com/radiochannels/ru/Retro-FM-Rossiya.html,False,Arktik Telekom
