Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,LCP Assemblée Nationale,,MPEG-4/SD,1146,1246 Fre,,,
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,Public Sénat,,MPEG-4/SD,1146,1246 Fre,,,
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,Radio Maria no te Hau,,,,1603 Fre,,,
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,Radio Te Reo O Tefana,,,,1604 Fre,,,
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,Radio 1 (Tahiti),,,,1605 Fre,,,
4095 Rtp G19CGlobal,11075 Vtp FP3KFrench Polynesia & US0,,Tiare FM,,,,1606 Fre,,,
4095 Rtp G19CGlobal,11102 Htp SP4KSouth Pacific H,DVB-S2QPSK150003/4,,Canal + Calédonie,,,,4.0,MediaguardNagravision,C Sutton230425
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,DVB-S28PSK285883/4,,Vini,,,,7.9,Viaccess,D Lita200824
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,8470,Tahiti Nui TV,,MPEG-4/SD,49,51 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,8548,Franceinfo:,,MPEG-4/SD,341,441 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,114,France Inter,,,,510 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,156,Mouv',,,,506 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,157,Radio France Internationale,,,,507 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,158,Franceinfo:,,,,508 Fre,,,
4095 Rtp G19CGlobal,11155 Vtp FP5KFrench Polynesia & US0,159,France Culture,,,,509 Fre,,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,,France TV,,,,9.4,MediaguardViaccess,C Sutton230425,https://www.lyngsat.com/providers/fr/France-TV.html
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8453,Polynésie 1ère,,MPEG-4/SD,302,402 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8454,Nouvelle Calédonie 1ère,,MPEG-4/SD,303,403 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8455,Wallis & Futuna 1ère,,MPEG-4/SD,304,404 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8529,France 2,,MPEG-4/SD,370,470 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8532,France 3,,MPEG-4/SD,371,471 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8535,France 4,,MPEG-4/SD,372,472 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8538,France 5,,MPEG-4/SD,373,473 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8545,ARTE Français,,MPEG-4/SD,374,2474 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8546,France 4,,MPEG-4/SD,376,476 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8548,Franceinfo:,,MPEG-4/SD,341,441 Fre,,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8551,France 24 Français,,MPEG-4/SD,342,442 Fre,,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8629,France 2,,MPEG-4/SD,380,480 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8632,France 3,,MPEG-4/SD,381,481 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8635,France 4,,MPEG-4/SD,382,482 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8638,France 5,,MPEG-4/SD,383,483 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8645,ARTE Français,,MPEG-4/SD,384,484 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,8648,Franceinfo:,,MPEG-4/SD,351,451 Fre,,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,112,Polynésie 1ère Radio,,,,502 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,113,Nouvelle Calédonie 1ère Radio,,,,503 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,114,France Inter,,,,510 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,124,Wallis et Futuna 1ère Radio,,,,524 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,DVB-S28PSK300005/6,190,Outre-mer 1ère,,,,490 Fre,MediaguardViaccess,,
11155 Htp SP6KSouth Pacific H,11513 Htp SP8KSouth Pacific H,DVB-S2QPSK37503/5,8487,Caledonia,,42842-1MPEG-4/SD,625,2.2 628 Fre,,C Sutton230425
