SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country,Provider_Country
8.0,News X,MPEG-4/SD,1211.0,4074 V,,,,,News X,https://www.lyngsat.com/tvchannels/in/News-X.html,False,ITV Network,8/9,12500.0,DVB-S2,Eng,in,
8.0,News X,MPEG-4/SD,1211.0,4074 V,,,,,News X,https://www.lyngsat.com/tvchannels/in/News-X.html,False,ITV Network,8/9,12500.0,DVB-S2,Eng,in,
10.0,Power TV (India),MPEG-4/SD,3021.0,4074 V,,,,,Power TV (India),https://www.lyngsat.com/tvchannels/in/Power-TV.html,False,ITV Network,8/9,12500.0,DVB-S2,Kan,in,
10.0,Power TV (India),MPEG-4/SD,3021.0,4074 V,,,,,Power TV (India),https://www.lyngsat.com/tvchannels/in/Power-TV.html,False,ITV Network,8/9,12500.0,DVB-S2,Kan,in,
14.0,India News Business,MPEG-4/SD,1423.0,4074 V,,,,,India News Business,https://www.lyngsat.com/tvchannels/in/India-News-Business.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
15.0,Gulistan News,MPEG-4/SD,1523.0,4074 V,,,,,Gulistan News,https://www.lyngsat.com/tvchannels/in/Gulistan-News.html,False,ITV Network,8/9,12500.0,DVB-S2,Pan,in,
18.0,India News Punjab,MPEG-4/SD,1823.0,4074 V,,,,,India News Punjab,https://www.lyngsat.com/tvchannels/in/India-News-Punjab.html,False,ITV Network,8/9,12500.0,DVB-S2,Pan,in,
19.0,India News Gujarati,MPEG-4/SD,1922.0,4074 V,,,,,India News Gujarati,https://www.lyngsat.com/tvchannels/in/India-News-Gujarati.html,False,ITV Network,8/9,12500.0,DVB-S2,Guj,in,
20.0,News Capital Gujarat,MPEG-4/SD,2011.0,4074 V,,,,,News Capital Gujarat,https://www.lyngsat.com/tvchannels/in/News-Capital-Gujarat.html,False,ITV Network,8/9,12500.0,DVB-S2,Guj,in,
20.0,News Capital Gujarat,MPEG-4/SD,2011.0,4074 V,,,,,News Capital Gujarat,https://www.lyngsat.com/tvchannels/in/News-Capital-Gujarat.html,False,ITV Network,8/9,12500.0,DVB-S2,Guj,in,
22.0,News X World,MPEG-4/SD,2223.0,4074 V,,,,,News X World,https://www.lyngsat.com/tvchannels/in/News-X-World.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
24.0,Janta TV,MPEG-4/SD,2423.0,4074 V,,,,,Janta TV,https://www.lyngsat.com/tvchannels/in/Janta-TV.html,False,ITV Network,8/9,12500.0,DVB-S2,Hin,in,
26.0,News World,MPEG-4/SD,2623.0,4074 V,,,,,News World,https://www.lyngsat.com/tvchannels/in/News-World.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
29.0,Asian News,MPEG-4/SD,2941.0,4074 V,,,,,Asian News,https://www.lyngsat.com/tvchannels/in/Asian-News.html,False,ITV Network,8/9,12500.0,DVB-S2,,in,
30.0,India News Bangla,MPEG-4/SD,3012.0,4074 V,,,,,India News Bangla,https://www.lyngsat.com/tvchannels/in/India-News-Bangla.html,False,ITV Network,8/9,12500.0,DVB-S2,Ben,in,
,DD Rajasthan,200-100,,4080 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Rajasthan.html,DD Rajasthan,https://www.lyngsat.com/tvchannels/in/DD-Rajasthan.html,True,DD Rajasthan,3/4,6250.0,DVB-S6,,in,in
14.0,DD Rajasthan,MPEG-2/SD,4550.0,4080 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Rajasthan.html,DD Rajasthan,https://www.lyngsat.com/tvchannels/in/DD-Rajasthan.html,True,DD Rajasthan,3/4,6250.0,DVB-S6,Hin,in,in
19.0,(DD Rajasthan feeds),,4540.0,4080 H,tp 10,,,,,,False,DD Rajasthan,3/4,6250.0,DVB-S6,,,
,DD Madhya Pradesh,1-0,,4090 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Madhya-Pradesh.html,DD Madhya Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Madhya-Pradesh.html,True,DD Madhya Pradesh,3/4,6250.0,DVB-S6,,in,in
17.0,DD Madhya Pradesh,MPEG-2/SD,4530.0,4090 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Madhya-Pradesh.html,DD Madhya Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Madhya-Pradesh.html,True,DD Madhya Pradesh,3/4,6250.0,DVB-S6,Hin,in,in
171.0,(DD Madhya Pradesh feeds),,4531.0,4090 H,tp 10,,,,,,False,DD Madhya Pradesh,3/4,6250.0,DVB-S6,,,
,DD Uttar Pradesh,1-0,,4098 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Uttar-Pradesh.html,DD Uttar Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Uttar-Pradesh.html,True,DD Uttar Pradesh,3/4,6250.0,DVB-S6,,in,in
1.0,DD Uttar Pradesh,MPEG-2/SD,4540.0,4098 H,tp 10,,,https://www.lyngsat.com/providers/in/DD-Uttar-Pradesh.html,DD Uttar Pradesh,https://www.lyngsat.com/tvchannels/in/DD-Uttar-Pradesh.html,True,DD Uttar Pradesh,3/4,6250.0,DVB-S6,Hin,in,in
2.0,(DD Uttar Pradesh feeds),,4541.0,4098 H,tp 10,,,,,,False,DD Uttar Pradesh,3/4,6250.0,DVB-S6,,,
1.0,DD Manipur,?-?MPEG-2/SD,308.0,4116 H,tp 11,,,,,,False,DD Uttar Pradesh,3/4,4250.0,DVB-S4,,,
1.0,DD Sikkim,?-?MPEG-2/SD,308.0,4122 H,tp 11,,,,,,False,DD Uttar Pradesh,3/4,4250.0,DVB-S4,,,
1.0,DD Jammu,?-?MPEG-2/SD,512.0,4128 H,tp 11,,,,,,False,DD Uttar Pradesh,3/4,4250.0,DVB-S4,Hin,,
1.0,RTA,?-?MPEG-2/SD,308.0,4149 H,tp 12,,,,,,False,DD Uttar Pradesh,3/4,4000.0,DVB-S4,Per,,
2.0,Afghanistan National Radio,,,4149 H,tp 12,,,,Afghanistan National Radio,https://www.lyngsat.com/radiochannels/af/Afghanistan-National-Radio.html,False,DD Uttar Pradesh,3/4,4000.0,DVB-S4,Per,af,
,,,,4160 H,tp 12,,,,,,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,,,
,,,,4176 H,tp 12,,,,,,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,,
1.0,Popcorn Movies,MPEG-4/SD,101.0,4160 H,tp 12,,,,Popcorn Movies,https://www.lyngsat.com/tvchannels/in/Popcorn-Movies.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,Pan,in,
2.0,Swara Sagar,MPEG-4/SD,201.0,4160 H,tp 12,,,,Swara Sagar,https://www.lyngsat.com/tvchannels/in/Swara-Sagar.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,Tel,in,
8.0,Grace TV (India),MPEG-4/SD,801.0,4160 H,tp 12,,,,Grace TV (India),https://www.lyngsat.com/tvchannels/in/Grace-TV.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,Eng,in,
8.0,Grace TV (India),MPEG-4/SD,801.0,4160 H,tp 12,,,,Grace TV (India),https://www.lyngsat.com/tvchannels/in/Grace-TV.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,Eng,in,
9.0,Studio N News,MPEG-4/SD,901.0,4160 H,tp 12,,,,Studio N News,https://www.lyngsat.com/tvchannels/in/Studio-N-News.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,Tel,in,
10.0,Vistaar News,MPEG-4/SD,1001.0,4160 H,tp 12,,,,Vistaar News,https://www.lyngsat.com/tvchannels/in/Vistaar-News.html,False,DD Uttar Pradesh,3/4,8444.0,DVB-S2,,in,
1.0,Sanskriti 24x7,MPEG-4/SD,1001.0,4176 H,tp 12,,,,Sanskriti 24x7,https://www.lyngsat.com/tvchannels/in/Sanskriti-24x7.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
2.0,Sadhna News Madhya Pradesh/Chhattisgarh,MPEG-4/SD,2001.0,4176 H,tp 12,,,,Sadhna News Madhya Pradesh/Chhattisgarh,https://www.lyngsat.com/tvchannels/in/Sadhna-News-Madhya-Pradesh-Chhattisgarh.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Hin,in,
3.0,Living India News,MPEG-4/SD,3001.0,4176 H,tp 12,,,,Living India News,https://www.lyngsat.com/tvchannels/in/Living-India-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Pan,in,
3.0,Living India News,MPEG-4/SD,3001.0,4176 H,tp 12,,,,Living India News,https://www.lyngsat.com/tvchannels/in/Living-India-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Pan,in,
4.0,Vip News,MPEG-4/SD,4001.0,4176 H,tp 12,,,,Vip News,https://www.lyngsat.com/tvchannels/in/Vip-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Hin,in,
5.0,World Punjabi,MPEG-4/SD,5001.0,4176 H,tp 12,,,,World Punjabi,https://www.lyngsat.com/tvchannels/in/World-Punjabi.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Pan,in,
6.0,AMV Network,MPEG-4/SD,6001.0,4176 H,tp 12,,,,AMV Network,https://www.lyngsat.com/tvchannels/in/AMV-Network.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
7.0,FM News,MPEG-4/SD,7001.0,4176 H,tp 12,,,,FM News,https://www.lyngsat.com/tvchannels/in/FM-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
8.0,Har Khabar,MPEG-4/SD,8001.0,4176 H,tp 12,,,,Har Khabar,https://www.lyngsat.com/tvchannels/in/Har-Khabar.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Hin,in,
9.0,Sadhna Plus News,MPEG-4/SD,8004.0,4176 H,tp 12,,,,Sadhna Plus News,https://www.lyngsat.com/tvchannels/in/Sadhna-Plus-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
9.0,Sadhna Plus News,MPEG-4/SD,8004.0,4176 H,tp 12,,,,Sadhna Plus News,https://www.lyngsat.com/tvchannels/in/Sadhna-Plus-News.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
10.0,Bhakti Sagar,MPEG-4/SD,8007.0,4176 H,tp 12,,,,Bhakti Sagar,https://www.lyngsat.com/tvchannels/in/Bhakti-Sagar.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
11.0,BVG,MPEG-4/SD,8010.0,4176 H,tp 12,,,,BVG,https://www.lyngsat.com/tvchannels/in/BVG.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
13.0,Soham TV,MPEG-4/SD,8016.0,4176 H,tp 12,,,,Soham TV,https://www.lyngsat.com/tvchannels/in/Soham-TV.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Hin,in,
14.0,Onkar Only Truth TV,MPEG-4/SD,8019.0,4176 H,tp 12,,,,Onkar Only Truth TV,https://www.lyngsat.com/tvchannels/in/Onkar-Only-Truth-TV.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Ben,in,
15.0,News Hour,MPEG-4/SD,8022.0,4176 H,tp 12,,,,News Hour,https://www.lyngsat.com/tvchannels/in/News-Hour.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Ben,in,
16.0,Enrich TV,MPEG-4/SD,8025.0,4176 H,tp 12,,,,Enrich TV,https://www.lyngsat.com/tvchannels/in/Enrich-TV.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
16.0,Enrich TV,MPEG-4/SD,8025.0,4176 H,tp 12,,,,Enrich TV,https://www.lyngsat.com/tvchannels/in/Enrich-TV.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
17.0,TV 24 (India),MPEG-4/SD,8028.0,4176 H,tp 12,,,,TV 24 (India),https://www.lyngsat.com/tvchannels/in/TV-24.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Hin,in,
18.0,Daily Post,MPEG-4/SD,8031.0,4176 H,tp 12,,,,Daily Post,https://www.lyngsat.com/tvchannels/in/Daily-Post.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
19.0,Lokshahi Marathi,MPEG-4/SD,8034.0,4176 H,tp 12,,,,Lokshahi Marathi,https://www.lyngsat.com/tvchannels/in/Lokshahi-Marathi.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Mar,in,
19.0,Lokshahi Marathi,MPEG-4/SD,8034.0,4176 H,tp 12,,,,Lokshahi Marathi,https://www.lyngsat.com/tvchannels/in/Lokshahi-Marathi.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,Mar,in,
20.0,Sadhna Gold,MPEG-4/SD,8037.0,4176 H,tp 12,,,,Sadhna Gold,https://www.lyngsat.com/tvchannels/in/Sadhna-Gold.html,False,DD Uttar Pradesh,5/6,13600.0,DVB-S2,,in,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S42503/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S33303/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S33303/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S33303/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S33303/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S33303/4,,False,DD Uttar Pradesh,,,,,,
,,,,,,,,,DVB-S40003/4,,False,DD Uttar Pradesh,,,,,,
