SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
4.0,Naxatra News Hindi,MPEG-4/SD,67.0,3861 V,,,,,Naxatra News Hindi,https://www.lyngsat.com/tvchannels/in/Naxatra-News-Hindi.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,Hin,in
4.0,Naxatra News Hindi,MPEG-4/SD,67.0,3861 V,,,,,Naxatra News Hindi,https://www.lyngsat.com/tvchannels/in/Naxatra-News-Hindi.html,False,Kanak Teleport,3/5,3974.0,DVB-S2,Hin,in
,Doordarshan,65535-0,,3885 V,,,,https://www.lyngsat.com/providers/in/Doordarshan.html,,,True,Doordarshan,3/4,30000.0,DVB-S2,,
1.0,DD National,MPEG-4/SD,512.0,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
1.0,DD National,MPEG-4/SD,512.0,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
9.0,DD National,MPEG-4/HD,520.0,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
9.0,DD National,MPEG-4/HD,520.0,3885 V,,,,,DD National,https://www.lyngsat.com/tvchannels/in/DD-National.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
2.0,DD News,MPEG-4/SD,513.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
2.0,DD News,MPEG-4/SD,513.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
2.0,DD News,MPEG-4/SD,513.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
2.0,DD News,MPEG-4/SD,513.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
10.0,DD News,MPEG-4/HD,521.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
10.0,DD News,MPEG-4/HD,521.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
10.0,DD News,MPEG-4/HD,521.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
10.0,DD News,MPEG-4/HD,521.0,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin Hin,in
3.0,DD Bharati,MPEG-4/SD,514.0,3885 V,,,,,DD Bharati,https://www.lyngsat.com/tvchannels/in/DD-Bharati.html,False,Doordarshan,3/4,30000.0,DVB-S2,Hin,in
