SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,(feeds),,,12599 H,tp 17,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12601 V,tp 18,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12608 H,tp 17,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12608 V,tp 18,,,,False,,3/4,6900,DVB-S2,
,(feeds),,,12613 V,tp 18,,,,False,,5/6,5000,DVB-S2,
,(feeds),,,12615 H,tp 17,,,,False,,3/4,3650,DVB-S2,
,(feeds),,,12619 V,tp 18,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12631 H,tp 19,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12648 H,tp 19,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12650 V,tp 20,,,,False,,3/4,3750,DVB-S2,
,(feeds),,,12656 V,tp 20,,,,False,,5/6,4600,DVB-S2,
,(feeds),,,12657 H,tp 19,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12668 H,tp 21,,,,False,,5/6,1666,DVB-S2,
,(feeds),,,12670 V,tp 22,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12678 V,tp 22,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12681 H,tp 21,,,,False,,3/4,10000,DVB-S2,
,(feeds),,,12684 V,tp 22,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12692 V,tp 22,,,,False,,3/4,9600,DVB-S2,
,(feeds),,,12693 H,tp 21,,,,False,,8/9,5000,DVB-S2,
,(feeds),,,12700 H,tp 21,,,,False,,3/4,4937,DVB-S2,
,(feeds),,,12710 V,tp 24,,,,False,,3/4,4800,DVB-S2,
,(feeds),,,12711 H,tp 23,,,,False,,3/4,7500,DVB-S2,
,(feeds),,,12718 V,tp 24,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12724 H,tp 23,,,,False,,3/4,9874,DVB-S2,
,(feeds),,,12728 V,tp 24,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12737 V,tp 24,,,,False,,3/4,7200,DVB-S2,
,(feeds),,,12737 H,tp 23,,,,False,,3/4,7200,DVB-S2,
,Grupa ZPR Media,1-0,,11643 H,tp 9,0,,https://www.lyngsat.com/providers/pl/Grupa-ZPR-Media.html,True,Grupa ZPR Media,3/4,7583,DVB-S2,
1050,Eska 2 Kielce,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1070,Eska 2 Kraków,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1100,Eska 2 Lódz,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1120,Eska 2 Opole,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1150,Eska 2 Torun,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1170,Eska 2 Trójmiasto,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1180,Eska 2 Wroclaw,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1240,Eska 2 Rzeszów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1260,Eska 2 Szczecin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1290,Eska 2 Nowy Sacz,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1370,Eska 2 Stalowa Wola,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1380,Eska 2 Warszawa,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1390,Eska 2 Biala-Podlaska,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1480,Eska 2 Jelenia Góra,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1510,Eska 2 Trzebnica,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
1530,Eska 2 Paprotnia,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2000,Radio Eska,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2010,Radio Eska Belchatów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2020,Radio Eska Bialystok,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2030,Radio Eska Bydgoszcz,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2040,Radio Eska Gorzów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2050,Radio Eska Kielce,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2060,Radio Eska Siedlce,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2070,Radio Eska Kraków,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2080,Radio Eska Leszno,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2090,Radio Eska Pila,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2100,Radio Eska Lódz,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2110,Radio Eska Olsztyn,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2120,Radio Eska Opole,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2130,Radio Eska Lublin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2140,Radio Eska Poznan,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2150,Radio Eska Torun,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2160,Radio Eska Tarnów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2170,Radio Eska Trójmiasto,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2180,Radio Eska Wroclaw,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2190,Radio Eska Zielona Góra,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2200,Radio Eska Ostrów Wielkopolski,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2210,Radio Eska Radom,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2220,Radio Eska Slask,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2230,Radio Eska Zamosc,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2240,Radio Eska Rzeszów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2250,Radio Eska Plock,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2260,Radio Eska Szczecin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2270,Radio Eska Koszalin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2300,Radio Eska Beskidy,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2310,Radio Eska Szczecinek,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2320,Radio Eska Przemysl,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2330,Radio Eska Malopolska/Zakopane,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2360,Radio Eska Krasnik,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2400,Radio Eska Starachowice,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2420,Radio Eska Zary,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2430,Radio Eska Elblag,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2440,Radio Eska Ilawa,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2450,Radio Eska Grudziadz,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2460,Radio Eska Lomza,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2480,Radio Eska Wroclaw JG,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2500,Radio Eska Ostrzeszów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
2520,Radio Eska Braniewo,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
3040,Radio Vox Gorzów,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
3140,Radio Vox Poznan,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
3210,Radio Vox Radom,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
3990,Radio Vox FM,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
4000,Radio Plus FM (Poland),,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
4110,Radio Plus Olsztyn,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
4130,Radio Plus Lublin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
4270,Radio Plus Koszalin,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
4340,Radio Plus Podhale,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
5000,Muzo FM,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
7990,Z Wami FM,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Ukr
8010,Radio Rodzina,,,11643 H,tp 9,0,,,False,Grupa ZPR Media,3/4,7583,DVB-S2,Pol
,Grupa Radiowa Agory,.-.,,11648 H,tp 9,0,,https://www.lyngsat.com/providers/pl/Grupa-Radiowa-Agory.html,True,Grupa Radiowa Agory,3/4,1000,DVB-S2,
1000,Radio Zlote Przeboje,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
2000,Radio Pogoda,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
6000,Radio Pogoda,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
3000,Rock Radio (Poland),,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
4000,Tok FM,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
5000,Radio Zlote Przeboje Jedrzejow,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
7000,Radio Zlote Przeboje Bieszczady,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
8000,Radio Zlote Przeboje Katowice,,,11648 H,tp 9,0,,,False,Grupa Radiowa Agory,3/4,1000,DVB-S2,Pol
,Grupa RMF,3-11,,11651 H,tp 9,0,,https://www.lyngsat.com/providers/pl/Grupa-RMF.html,True,Grupa RMF,4/5,3780,DVB-S2,
1103,RMF FM,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
1203,RMF Classic,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
0,RMF Classic,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
1303,RMF Maxx,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
1503,RMF Maxx,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
1403,RMF Maxx Trójmiasto,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
1603,RMF Maxx Opole,,,11651 H,tp 9,0,,,False,Grupa RMF,4/5,3780,DVB-S2,Pol
