Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Lumière des Nations TV,,MPEG-4/SD,823.0,1079 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Renaissance TV,,MPEG-4/SD,866.0,1122 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,,Aya TV,,MPEG-4/SD,881.0,1137 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,1.0,Schekina Miracles TV,,MPEG-4/SD,769.0,1025 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,2.0,Medegbe TV,,MPEG-4/SD,770.0,1026 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,3.0,Dynamic Gospel TV,,MPEG-4/SD,771.0,1027 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,5.0,Tele Fontaine Vie TV,,MPEG-4/SD,773.0,1029 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,6.0,Exploits TV,,MPEG-4/SD,774.0,1030 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,7.0,Africa Man TV,,MPEG-4/SD,775.0,1031 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,8.0,SCBC TV,,MPEG-4/SD,776.0,10.2 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,9.0,Messiah TV,,MPEG-4/SD,777.0,1033 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,10.0,Songhoy TV,,MPEG-4/SD,784.0,1040,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,11.0,King of Kings TV,,MPEG-4/SD,785.0,1041,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,12.0,Chosen TV French,,MPEG-4/SD,786.0,1042 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,13.0,URHC TV,,MPEG-4/SD,787.0,1043 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,14.0,ABC Amba TV,,MPEG-4/SD,788.0,1044 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,15.0,CAC TV,,MPEG-4/SD,789.0,1045 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,16.0,Wadedji TV,,MPEG-4/SD,790.0,1046 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,17.0,Heros TV,,MPEG-4/SD,791.0,1047 Fre,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,18.0,Amenuveve TV,,MPEG-4/SD,792.0,1048 Eng,,,11717 V,,0.0,,,False,ViewMedia
11717 VWest & Central Africa0,DVB-S2QPSK300003/4,19.0,Top Média Bénin TV,,MPEG-4/SD,793.0,1049 Fre,,,11717 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Benin,,MPEG-4/SD,1011.0,1012 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Cinema,,MPEG-4/SD,1021.0,1022 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Mboa,,MPEG-4/SD,1031.0,1032,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,TV5Monde Afrique,,MPEG-4/SD,1081.0,1082 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Niger,,MPEG-4/SD,1141.0,1142 Fre,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV Togo,,MPEG-4/SD,1151.0,1152 Fre,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Waama,,MPEG-4/SD,1161.0,1162,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Dounia TV,,MPEG-4/SD,1171.0,1172 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,RTS 1,,MPEG-4/SD,1181.0,1182 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Albaniy TV,,MPEG-4/SD,1191.0,1192,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Manara TV,,MPEG-4/SD,1201.0,1202 Hau,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV,,MPEG-4/SD,1211.0,1212,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV 2,,MPEG-4/SD,1221.0,1222,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV Kano,,MPEG-4/SD,1231.0,1232,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV IKS Niger,,MPEG-4/SD,1241.0,1242,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Tauraruwa TV,,MPEG-4/SD,1261.0,1262,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Sunna TV Savana,,MPEG-4/SD,1271.0,1272 Hau,,,11754 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Alminhaj TV,,MPEG-4/SD,1281.0,1282 Eng,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Evangelique TV,,MPEG-4/SD,1301.0,1302 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Alléluia World TV,,MPEG-4/SD,1311.0,1312 Fre,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Alléluia World TV,,MPEG-4/SD,787.0,1043 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Alléluia World TV,,MPEG-4/SD,787.0,1043 Fre,,,11918 V,,0.0,,,False,ViewMedia
11754 VWest & Central Africa0,DVB-S2QPSK281904/5,,Canal 3 Cedeao,,MPEG-4/SD,1321.0,1322,Videoguard,,11754 V,,0.0,Videoguard,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,ViewMedia promo,,MPEG-4/SD,769.0,1025 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,ViewMedia promo,,MPEG-4/SD,769.0,1025 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Universal Harvest TV,,MPEG-4/SD,770.0,1026 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Universal Harvest TV,,MPEG-4/SD,770.0,1026 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,MTA Gambia,,MPEG-4/SD,771.0,1027 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,MTA Gambia,,MPEG-4/SD,771.0,1027 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,DMCI TV,,MPEG-4/SD,772.0,1028 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,DMCI TV,,MPEG-4/SD,772.0,1028 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,SAM TV,,MPEG-4/SD,773.0,1029 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,SAM TV,,MPEG-4/SD,773.0,1029 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,MITG TV,,MPEG-4/SD,774.0,1030 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,MITG TV,,MPEG-4/SD,774.0,1030 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Espoir du Monde TV,,MPEG-4/SD,785.0,1041 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Espoir du Monde TV,,MPEG-4/SD,785.0,1041 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Champion TV (Ivory Coast),,MPEG-4/SD,786.0,1042 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Champion TV (Ivory Coast),,MPEG-4/SD,786.0,1042 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Islamic Library Channel,,MPEG-4/SD,788.0,1044 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Islamic Library Channel,,MPEG-4/SD,788.0,1044 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,LoveWorld Sat,,MPEG-4/SD,789.0,1045 Eng,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,LoveWorld Sat,,MPEG-4/SD,789.0,1045 Eng,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Juridico-Chrétienne TV,,MPEG-4/SD,793.0,1049 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Juridico-Chrétienne TV,,MPEG-4/SD,793.0,10.9 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Soleil Levant TV,,MPEG-4/SD,803.0,1059 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Soleil Levant TV,,MPEG-4/SD,803.0,1059 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Terminus TV,,MPEG-4/SD,873.0,1129 Fre,,,11881 V,,0.0,,,False,ViewMedia
11918 VWest & Central Africa0,DVB-S2QPSK30000,,Terminus TV,,MPEG-4/SD,873.0,1129 Fre,,,11918 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,Jesus Savior TV Plus,,MPEG-4/SD,4181.0,4182 Fre,,,11881 V,,0.0,,,False,ViewMedia
12050 VWest & Central Africa0,DVB-S28PSK30000,,Jesus Savior TV Plus,,MPEG-4/SD,4181.0,4182,,,12050 V,,0.0,,,False,ViewMedia
11881 VWest & Central Africa0,DVB-S2QPSK300002/3,,RTVC,,MPEG-4/HD,4221.0,4222 Fre,,,11881 V,,0.0,,,False,ViewMedia
12050 VWest & Central Africa0,DVB-S28PSK30000,,RTVC,,MPEG-4/HD,4221.0,4222 Fre,,,12050 V,,0.0,,,False,ViewMedia
11990 VWest & Central Africa0,DVB-S2QPSK22692/3,1.0,Bethel TV (Peru),,?-?MPEG-4/HD,260.0,3.1 250 Spa,,L Sevillano231228,11990 V,,0.0,,,False,ViewMedia
12035 HWest & Central Africa0,DVB-S2QPSK3432,,Tele Congo,,MPEG-4/SD,138.0,139 Fre,,P Laschan220319,12035 H,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,Afrika Poulaar TV,,MPEG-4/SD,6091.0,6092 Fre,,,12086 V,,0.0,,,False,ViewMedia
12297 VWest & Central Africa0,DVB-S2QPSK300002/3,,Afrika Poulaar TV,,MPEG-4/SD,6091.0,6092 Fre,,,12297 V,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,Nek 4 Culture,,MPEG-4/SD,6111.0,6112 Fre,,,12086 V,,0.0,,,False,ViewMedia
12297 VWest & Central Africa0,DVB-S2QPSK300002/3,,Nek 4 Culture,,MPEG-4/SD,6111.0,6112 Fre,,,12297 V,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,Avenor TV,,MPEG-4/SD,6121.0,6122 Eng,,,12086 V,,0.0,,,False,ViewMedia
12297 VWest & Central Africa0,DVB-S2QPSK300002/3,,Avenor TV,,MPEG-4/SD,6121.0,6122 Eng,,,12297 V,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,HMD 4,,MPEG-4/SD,6141.0,6142 Fre,,,12086 V,,0.0,,,False,ViewMedia
12297 VWest & Central Africa0,DVB-S2QPSK300002/3,,HMD 4,,MPEG-4/SD,6141.0,6142 Fre,,,12297 V,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,My Righteous TV,,MPEG-4/SD,8071.0,8072 Eng,,,12086 V,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,My Righteous TV,,MPEG-4/SD,797.0,798 Eng,,,12169 H,,0.0,,,False,ViewMedia
12252 VWest & Central Africa0,DVB-S2QPSK30000,,My Righteous TV,,MPEG-4/SD,226.0,252 Eng,,,12252 V,,0.0,,,False,ViewMedia
12086 VWest & Central Africa0,DVB-S28PSK30000,,SOS Docteur TV,,MPEG-4/SD,8081.0,8082 Fre,,,12086 V,,0.0,,,False,ViewMedia
12297 VWest & Central Africa0,DVB-S2QPSK300002/3,40808.0,SOS Docteur TV,,MPEG-4/SD,8081.0,8082 Fre,,,12297 V,,0.0,,,False,ViewMedia
12144 VWest & Central Africa0,DVB-S2QPSK15000,154.0,Chrétiens TV,,?-?MPEG-4/SD,80.0,90 Fre,,A Evina231207,12144 V,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,C-Gospel,,MPEG-4/HD,86.0,93 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,African Style,,MPEG-4/SD,94.0,102,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Guinée TV 1,,MPEG-4/SD,111.0,117 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Grace TV (Benin),,MPEG-4/SD,113.0,114 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,TV Al Houda,,MPEG-4/SD,118.0,124 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Fasso TV Kankan,,MPEG-4/SD,125.0,131 Fre,,,12169 H,,0.0,,,False,ViewMedia
12252 VWest & Central Africa0,DVB-S2QPSK30000,,Fasso TV Kankan,,MPEG-4/SD,117.0,140 Fre,,,12252 V,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Happy (Guinea),,MPEG-4/SD,133.0,159,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Meimir TV,,MPEG-4/SD,138.0,145 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Hautentik Visuel TV,,MPEG-4/SD,146.0,152 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Marisa TV,,MPEG-4/SD,160.0,166 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Evasion TV,,MPEG-4/SD,175.0,64 Fre,,,12169 H,,0.0,,,False,ViewMedia
12252 VWest & Central Africa0,DVB-S2QPSK30000,,Evasion TV,,MPEG-4/SD,293.0,280 Fre,,,12252 V,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,D3 TV,,MPEG-4/SD,184.0,190,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Tata TV,,MPEG-4/SD,191.0,197,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Rapha TV+,,MPEG-4/SD,198.0,204,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Afrobit,,MPEG-4/HD,256.0,80 Fre,,,12169 H,,0.0,,,False,ViewMedia
12169 HWest & Central Africa0,DVB-S2QPSK30000,,Liberty TV (Cameroon),,MPEG-4/SD,257.0,258 Fre,,,12169 H,,0.0,,,False,ViewMedia
