Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7190.0,[Radio Radio info card],,MPEG-4/SD,1070.0,1071 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7192.0,Padre Pio TV,,MPEG-4/SD,650.0,651 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7194.0,Pianeta TV,,MPEG-4/SD,1110.0,1111 Ita,,new,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7201.0,Sky Sport Uno,,HEVC/HD,2100.0,2101 Ita,NagravisionVideoguard,,12111 V,tp IT1,0,"Nagravision,Videoguard",,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7203.0,Zona DAZN 2,,HEVC/SD,2300.0,2301 Ita,NagravisionVideoguard,,12111 V,tp IT1,0,"Nagravision,Videoguard",,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 3,7190.0,Radio Radio (Italy),,,,1071 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2124.0,Boing Italia,,MPEG-4/HD,1009.0,1109 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2125.0,Cartoonito Italia,,MPEG-4/HD,1011.0,1111 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2126.0,Boing Plus,,MPEG-4/SD,1007.0,1107 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2149.0,QVC Italia,,MPEG-4/HD,1043.0,1143 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2150.0,Top Crime (Italy),,MPEG-4/HD,1050.0,1150 Ita125. Qaa,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2151.0,Focus,,MPEG-4/HD,1018.0,1118 Ita1218 Qaa,,,12111 V,tp IT1,0,,,False,Cairo Communication
12111 Vtp IT1Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 4,2152.0,Cine 34,,MPEG-4/HD,1006.0,1106 Ita,,,12111 V,tp IT1,0,,,False,Cairo Communication
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,,Mediaset,,272-930,,,,P Grandicelli230405,12149 V,tp IT2,0,,https://www.lyngsat.com/providers/it/Mediaset.html,True,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,,Mediaset,,272-930,,,,P Grandicelli230405,12149 V,tp IT2,0,,https://www.lyngsat.com/providers/it/Mediaset.html,True,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 2,,Mediaset,,272-901,,,,P Grandicelli230405,12149 V,tp IT2,0,,https://www.lyngsat.com/providers/it/Mediaset.html,True,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 2,,Mediaset,,272-901,,,,P Grandicelli230405,12149 V,tp IT2,0,,https://www.lyngsat.com/providers/it/Mediaset.html,True,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3004.0,Rete 4,,MPEG-4/HD,1055.0,1155 Ita1255 Qaa,,,12149 V,tp IT2,0,,,False,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3005.0,Canale 5,,MPEG-4/HD,1057.0,1157 Ita1257 Qaa,,,12149 V,tp IT2,0,,,False,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3006.0,Italia 1,,MPEG-4/HD,1059.0,1159 Ita1259 Qaa,,,12149 V,tp IT2,0,,,False,Mediaset
12149 Vtp IT2Italy0,DVB-S216APSK314002/3PLSGold 262140MultistreamStream 1,3020.0,20 Mediaset,,MPEG-4/HD,1041.0,1141 Ita1241 Qaa,,,12149 V,tp IT2,0,,,False,Mediaset
