Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider
4132 Vtp 11CAfrica & Europe,DVB-S2QPSK18435/6,2.0,Clouds FM,,,,4113 Eng,,,4132 V,tp 11C,,,,False,
4132 Vtp 11CAfrica & Europe,DVB-S2QPSK18435/6,3.0,Choice FM,,,,4114 Swa,,,4132 V,tp 11C,,,,False,
4132 Vtp 11CAfrica & Europe,DVB-S2QPSK18435/6,4.0,Radio Safina,,,,4115,,,4132 V,tp 11C,,,,False,
4132 Vtp 11CAfrica & Europe,DVB-S2QPSK18435/6,5.0,Jambo FM,,,,4116 Swa,,,4132 V,tp 11C,,,,False,
4135 Vtp 11CAfrica & Europe,DVB-S12825/6,1.0,Salvation TV (Nigeria),,?-?MPEG-4/SD,512.0,6.54112 Eng,,N Stanislav230604,4135 V,tp 11C,,,,False,
4137 Vtp 11CAfrica & Europe,DVB-S2QPSK16038/9,257.0,Upendo TV,,?-?MPEG-4/HD,257.0,6.2 258,,DX Bozóth201008,4137 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,1.0,Milele FM,,,,257,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,2.0,Kameme FM,,,,273,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,3.0,Meru FM,,,,289,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,4.0,Mayian FM,,,,305,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,5.0,Emoo FM,,,,321,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,6.0,Msenangu FM,,,,33.,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,7.0,Osiepe FM,,,,353,,,4138 V,tp 11C,,,,False,
4138 Vtp 11CAfrica & Europe,DVB-S2QPSK13045/6,8.0,Anguo FM,,,,369,,,4138 V,tp 11C,,,,False,
4140 Vtp 11CAfrica & Europe,DVB-S28PSK23283/4,,Silverbird TV,,,,7.9,,DX Bozóth230108,4140 V,tp 11C,,,https://www.lyngsat.com/providers/ng/Silverbird-TV.html,True,Silverbird TV
4140 Vtp 11CAfrica & Europe,DVB-S28PSK23283/4,2.0,Silverbird TV,,MPEG-4/SD,529.0,530 Eng,,,4140 V,tp 11C,,,https://www.lyngsat.com/providers/ng/Silverbird-TV.html,True,Silverbird TV
4140 Vtp 11CAfrica & Europe,DVB-S28PSK23283/4,10.0,Silverbird TV,,MPEG-4/SD,1041.0,1042 Eng,,,4140 V,tp 11C,,,https://www.lyngsat.com/providers/ng/Silverbird-TV.html,True,Silverbird TV
4140 Vtp 11CAfrica & Europe,DVB-S28PSK23283/4,32.0,Silverbird News 24,,MPEG-4/SD,34.0,35 Eng,,,4140 V,tp 11C,,,,False,Silverbird TV
4144 Vtp 11CAfrica & Europe,DVB-S28PSK23003/4,1001.0,Arise & Shine TV,,?-?MPEG-4/HD,34.0,7.9  35 Eng,,N Stanislav240205,4144 V,tp 11C,,,,False,Silverbird TV
4160 Vtp 12CAfrica & Europe,DVB-S28PSK163253/4,,Azam TV,,,,7.9,Nagravision,Anonymous240317,4160 V,tp 12C,,Nagravision,,False,Silverbird TV
4180 Vtp 12CAfrica & Europe,DVB-S28PSK163253/4,,Azam TV,,,,7.9,Nagravision,DX Bozóth221210,4180 V,tp 12C,,Nagravision,,False,Silverbird TV
11002 Htp 3KEurope,DVB-S28PSK20308/9,1.0,Imam Ali TV,,65535-1MPEG-4/HD,1001.0,10.71002 Ara,,N Stanislav240316,11002 H,tp 3K,,,,False,Silverbird TV
