Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11082 Htp 65Europe Ku0,DVB-S220005/6,50350,Blaze UK,,MPEG-2/SD,2310,2311 Eng,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50356,Ideal World,,MPEG-2/SD,2332,2333 Eng,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50365,ARY QTV UK,,MPEG-2/SD,2312,2313 Pan,,,11082 H,tp 65,0,,
11082 Htp 65Europe Ku0,DVB-S220005/6,50390,Inspiration TV,,MPEG-2/SD,2315,2316 Eng,,,11082 H,tp 65,0,,
11095 Vtp 708West Africa0,DVB-S2QPSK300005/6,,SES,,2-2708,,5.2,,Anonymous240323,11095 V,tp 708,0,,https://www.lyngsat.com/providers/lu/SES.html
11095 Vtp 708West Africa0,DVB-S2QPSK300005/6,55320,France 24 English,,MPEG-4/SD,606,626 Eng,,,11095 V,tp 708,0,,
11095 Vtp 708West Africa0,DVB-S2QPSK300005/6,55325,I24 News Français,,MPEG-4/SD,481,482 Fre,,new,11095 V,tp 708,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21010,ITV 1 Meridian Thames Valley,,MPEG-4/HD,2331,2332 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21015,ITV 1 Meridian South Coast,,MPEG-4/HD,2305,2306 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21040,ITV 1 Yorkshire West,,MPEG-4/HD,2310,2311 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21050,ITV 3,,MPEG-4/HD,2314,2326 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21060,ITV 1 Border Scotland,,MPEG-4/HD,2329,2335 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21070,ITV 1 Anglia West,,MPEG-4/HD,2315,2316 Eng,,,11097 V,tp 66,0,,
11097 Vtp 66UK0,DVB-S28PSK230003/4,21080,ITV 1 Central East,,MPEG-4/HD,2320,2321 Eng,,,11097 V,tp 66,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50400,Arise News,,MPEG-2/SD,2605,2606 Eng,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50405,Geo News International,,MPEG-2/SD,2341,2340 Urd,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50426,India Today UK,,MPEG-2/SD,2308,2307 Eng,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50450,Faith UK,,MPEG-2/SD,2322,2323 Eng,,,11112 H,tp 67,0,,
11112 Htp 67Europe Ku0,DVB-S28PSK230002/3,50460,Brit Asia TV,,MPEG-2/SD,2320,2321 Eng,,,11112 H,tp 67,0,,
