Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
3905 Htp 6ANCSouth America0,DVB-S28PSK41665/6,49984,Inter TV Costa Branca,,?-?MPEG-4/HD,49,9.4  51 Por,Irdeto,Wilkherdasilva200905,3905 H,tp 6ANC,0,Irdeto,
3910 Vtp 5BNCSouth America0,DVB-S28PSK37503/4,,TV Thathi Campinas,,,,7.9,,Edinho fta230518,3910 V,tp 5BNC,0,,https://www.lyngsat.com/providers/br/TV-Thathi-Campinas.html
3910 Vtp 5BNCSouth America0,DVB-S28PSK37503/4,59680,TV Thathi Campinas,,MPEG-4/HD,273,274 Por,,,3910 V,tp 5BNC,0,,https://www.lyngsat.com/providers/br/TV-Thathi-Campinas.html
3910 Vtp 5BNCSouth America0,DVB-S28PSK37503/4,59704,TV Thathi Campinas,,MPEG-4/1seg,641,643 Por,,,3910 V,tp 5BNC,0,,https://www.lyngsat.com/providers/br/TV-Thathi-Campinas.html
3912 Htp 6ANCSouth America0,DVB-S28PSK29155/6,,Band Ceará,,MPEG-4/HD,49,9.4  51 Por,,Edinho fta230925,3912 H,tp 6ANC,0,,
4087 Htp 10ANCSouth America0,DVB-S28PSK29155/6,1,Band Ceará,,?-?MPEG-4/HD,49,9.4  51 Por,,Edinho fta230925,4087 H,tp 10ANC,0,,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,30112,TV Centro América Sinop,,MPEG-4/HD,404,400 Por,Irdeto,,3927 H,tp 6ANC,0,Irdeto,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,0,TV Centro América Sinop,,MPEG-4/1seg,501,502 Por,,,3927 H,tp 6ANC,0,,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,30113,TV Centro América Rondonópolis,,MPEG-4/HD,604,600 Por,Irdeto,,3927 H,tp 6ANC,0,Irdeto,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,0,TV Centro América Rondonópolis,,MPEG-4/1seg,701,702 Por,,,3927 H,tp 6ANC,0,,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,30304,TV Morena Ponta Porã,,MPEG-4/HD,201,203 Por,Irdeto,,3927 H,tp 6ANC,0,Irdeto,
3927 Htp 6ANCSouth America0,DVB-S28PSK175002/3,0,TV Morena Ponta Porã,,MPEG-4/1seg,301,302 Por,,,3927 H,tp 6ANC,0,,
3932 Vtp 6BNCSouth America0,DVB-S75003/4,1,SESC TV,,?-?MPEG-4/HD,1110,5.51120 Por,,Edinho fta221229,3932 V,tp 6BNC,0,,
3943 Vtp 6BNCSouth America0,DVB-S237503/4,,Aratu On,,/HD,33,37 Por,,Wilkherdasilva190404,3943 V,tp 6BNC,0,,
3949 Vtp 6BNCSouth America0,DVB-S237503/4,,Band Vale,,,,,,Wilkherdasilva190404,3949 V,tp 6BNC,0,,https://www.lyngsat.com/providers/br/Band-Vale.html
3949 Vtp 6BNCSouth America0,DVB-S237503/4,,Band Vale,,MPEG-4/HD,269,266 Por,Conax,,3949 V,tp 6BNC,0,Conax,https://www.lyngsat.com/providers/br/Band-Vale.html
3949 Vtp 6BNCSouth America0,DVB-S237503/4,,Band Vale,,,273,274 Por,,,3949 V,tp 6BNC,0,,https://www.lyngsat.com/providers/br/Band-Vale.html
3954 Vtp 6BNCSouth America0,DVB-S266663/4,,TV Aparecida,,,,,,Edinho fta210905,3954 V,tp 6BNC,0,,https://www.lyngsat.com/providers/br/TV-Aparecida.html
