Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9177,Jazz Radio,,,,1978 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9178,Radio Nova (France),,,,1966 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9179,FG,,,,1967 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9180,Radio Contact (France),,,,1969 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9181,Nostalgie,,,,1970 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9182,NRJ France,,,,1960 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9183,RFM (France),,,,1972 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9184,Europe 2,,,,1961 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9185,Chérie FM,,,,1973 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9186,RTL 2,,,,1962 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9187,Skyrock,,,,1963 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9194,Radio Notre Dame,,,,1942 Fre,,,12285 V,tp 94,0,,
12285 Vtp 94Pan Europe0,DVB-S28PSK297002/3,9198,Beur FM,,,,1945 Fre,,,12285 V,tp 94,0,,
12382 Htp 99Pan Europe0,DVB-S28PSK275003/4,125,CNBC Europe,,MPEG-4/HD,2303,2307 Eng,,,12382 H,tp 99,0,,
12441 Vtp 102Pan Europe0,DVB-S28PSK275005/6,,{},,,,9.4,,EnoSat240202,12441 V,tp 102,0,,
12522 Vtp 106Pan Europe0,DVB-S28PSK220002/3,,Globecast,,1-1106,,6.6,,D Shimoni210826,12522 V,tp 106,0,,https://www.lyngsat.com/providers/fr/Globecast.html
12522 Vtp 106Pan Europe0,DVB-S28PSK220002/3,6801,CGTN,,MPEG-4/HD,6811,6812 Eng,,,12522 V,tp 106,0,,
12522 Vtp 106Pan Europe0,DVB-S28PSK220002/3,6802,CGTN Documentary,,MPEG-4/HD,6821,6822 Eng,,,12522 V,tp 106,0,,
12522 Vtp 106Pan Europe0,DVB-S28PSK220002/3,6803,CGTN Français,,MPEG-4/HD,6831,6832 Fre,,,12522 V,tp 106,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,3394,QVC Zwei,,MPEG-2/SD,168,144 Ger,,,12552 V,tp 108,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,12100,QVC Deutschland,,MPEG-2/SD,165,166 Ger,,,12552 V,tp 108,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,12122,Bibel TV,,MPEG-2/SD,33,34 Ger,,,12552 V,tp 108,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,12137,Canal Algérie 2,,MPEG-2/SD,515,680 Ara,,,12552 V,tp 108,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,12138,Thalitha A3,,MPEG-2/SD,514,670 Ara,,,12552 V,tp 108,0,,
12552 Vtp 108Pan Europe0,DVB-S220005/6,12140,Chérie 25,,MPEG-4/HD,5301,5302 Fre5303 Qaa,NagravisionViaccess,,12552 V,tp 108,0,"Nagravision,Viaccess",
12552 Vtp 108Pan Europe0,DVB-S220005/6,12145,NRJ 12,,MPEG-4/HD,5501,5502 Fre5503 Qaa,NagravisionViaccess,,12552 V,tp 108,0,"Nagravision,Viaccess",
12552 Vtp 108Pan Europe0,DVB-S220005/6,12186,SBN International,,MPEG-2/SD,2001,3001 Eng4001 Spa,,,12552 V,tp 108,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,7200,Bloomberg TV Europe,,MPEG-2/SD,48,3622 Eng,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,7290,Sky News International,,MPEG-2/SD,1290,2290 Eng,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,28534,WDR Fernsehen Aachen,,MPEG-2/SD,3401,3402 Ger,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,28535,WDR Studio Wuppertal (Mon-Fri 19.30-20.00),,MPEG-2/SD,3501,3502 Ger,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,28536,WDR Studio Bonn (Mon-Fri 19.30-20.00),,MPEG-2/SD,3601,3602 Ger,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,28537,WDR Studio Duisburg (Mon-Fri 19.30-20.00),,MPEG-2/SD,3701,3702 Ger,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,7289,Radio Horeb,,,,1289 Ger,,,12604 H,tp 111,0,,
12604 Htp 111Pan Europe0,DVB-S220005/6,7931,RTL Radio,,,,7932 Ger,,,12604 H,tp 111,0,,
12633 Htp 113Pan Europe0,DVB-S220005/6,,Media Broadcast Satellite,,1-1113,,6.5,,T Viererbe240103,12633 H,tp 113,0,,https://www.lyngsat.com/providers/de/Media-Broadcast-Satellite.html
12633 Htp 113Pan Europe0,DVB-S220005/6,12600,Media Broadcast Satellite promo,,MPEG-4/SD,1113,1114 Ger,,,12633 H,tp 113,0,,
