Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL
11062 Vtp A3Malaysia0,DVB-S300007/8,145,Lite,,,,181 Eng,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,146,Classic Rock,,,,182,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,147,Gold,,,,183,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,148,Gegar,,,,184 May,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,149,India Beat,,,,185,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,150,Jazz,,,,1.6,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,152,Sinar,,,,188 May,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,153,Osai FM,,,,189 Tam,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,154,Melody,,,,190 Chi,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,156,Raaga,,,,192 Tam,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,157,Bayu Radio,,,,193,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,158,Kenyalang,,,,194,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10354,Zayan,,,,200 May,,,11062 V,tp A3,0,,
11062 Vtp A3Malaysia0,DVB-S300007/8,10355,Goxuan,,,,201 Chi,,,11062 V,tp A3,0,,
