Sattelite_Name,Provider,Provider/Channel,Channel,freq_alt,beam_alt,eirp_alt,FEC,SR,SYSTEM,encryption_alt,Languages,SID,Compression,Channel_Country,Provider_Country,VPID,Provider_URL,Channel_URL,is_Provider
Intelsat-18,Anuvu,France 24 Français,France 24 Français,11155 H,tp SP6K,,5/6/2024,30000,DVB-S2,,Fre,8551,MPEG-4/SD,fr,,342,,https://www.lyngsat.com/tvchannels/fr/France-24-Francais.html,FALSE
Intelsat-18,Anuvu,Mediaset Italia,Mediaset Italia,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Ita,132,MPEG-4/SD,it,,4417,,https://www.lyngsat.com/tvchannels/it/Mediaset-Italia.html,FALSE
Intelsat-18,Anuvu,Hunan TV,Hunan TV,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Chi,140,MPEG-4/SD,cn,,6465,,https://www.lyngsat.com/tvchannels/cn/Hunan-TV.html,FALSE
Intelsat-18,Anuvu,CCTV 6,CCTV 6,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Chi,143,MPEG-4/SD,cn,,6449,,https://www.lyngsat.com/tvchannels/cn/CCTV-6.html,FALSE
Intelsat-18,Anuvu,CCTV Entertainment,CCTV Entertainment,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Chi,144,MPEG-4/SD,cn,,6193,,https://www.lyngsat.com/tvchannels/cn/CCTV-Entertainment.html,FALSE
Intelsat-18,Anuvu,CCTV 4 America,CCTV 4 America,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Chi,145,MPEG-4/SD,cn,,7729,,https://www.lyngsat.com/tvchannels/cn/CCTV-4-America.html,FALSE
Intelsat-18,Anuvu,National Geographic UK,National Geographic UK,4095 R,tp G19C,,3/4/2024,30000,DVB-S2,PowerVu,Eng,161,MPEG-4/SD,us,,5649,,https://www.lyngsat.com/tvchannels/us/National-Geographic-UK.html,FALSE
Intelsat-18,Anuvu,LCP Assemblée Nationale,LCP Assemblée Nationale,11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,MPEG-4/SD,fr,,1146,,https://www.lyngsat.com/tvchannels/fr/LCP-Assemblee-Nationale.html,FALSE
Intelsat-18,Anuvu,Public Sénat,Public Sénat,11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,MPEG-4/SD,fr,,1146,,https://www.lyngsat.com/tvchannels/fr/Public-Senat.html,FALSE
Intelsat-18,Anuvu,Radio Maria no te Hau,Radio Maria no te Hau,11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,,pf,,,,https://www.lyngsat.com/radiochannels/pf/Radio-Maria-no-te-Hau.html,FALSE
Intelsat-18,Anuvu,Radio Te Reo O Tefana,Radio Te Reo O Tefana,11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,,pf,,,,https://www.lyngsat.com/radiochannels/pf/Radio-Te-Reo-O-Tefana.html,FALSE
Intelsat-18,Anuvu,Radio 1 (Tahiti),Radio 1 (Tahiti),11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,,pf,,,,https://www.lyngsat.com/radiochannels/pf/Radio-1.html,FALSE
Intelsat-18,Anuvu,Tiare FM,Tiare FM,11075 V,tp FP3K,0,3/4/2024,45000,DVB-S2,,Fre,,,pf,,,,https://www.lyngsat.com/radiochannels/pf/Tiare-FM.html,FALSE
Intelsat-18,Anuvu,Tahiti Nui TV,Tahiti Nui TV,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,8470,MPEG-4/SD,pf,,49,,https://www.lyngsat.com/tvchannels/pf/Tahiti-Nui-TV.html,FALSE
Intelsat-18,Anuvu,Franceinfo:,Franceinfo:,11155 V,tp FP5K,0,3/4/2024,28588,DVB-S2,,Fre,8548,MPEG-4/SD,fr,,341,,https://www.lyngsat.com/tvchannels/fr/Franceinfo.html,FALSE
