,SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country,Sattelite_Name,Pkg_Name,Pkg_URL,Freq/beam,SR/FEC,undef,Audio,Encryption,Src_Updated
7267,111.0,Nahal TV (14-19),MPEG-4/SD,1180.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Nahal TV (14-19),https://www.lyngsat.com/tvchannels/ir/Nahal-TV.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7268,112.0,Namayesh TV,MPEG-4/SD,1120.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Namayesh TV,https://www.lyngsat.com/tvchannels/ir/Namayesh-TV.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7269,113.0,Ofogh TV,MPEG-4/SD,1130.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Ofogh TV,https://www.lyngsat.com/tvchannels/ir/Ofogh-TV.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7270,114.0,IFilm Persian,MPEG-4/SD,1140.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,IFilm Persian,https://www.lyngsat.com/tvchannels/ir/IFilm-Persian.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7271,115.0,Tamasha,MPEG-4/SD,1150.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Tamasha,https://www.lyngsat.com/tvchannels/ir/Tamasha.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7273,116.0,IRINN 2,MPEG-4/SD,1160.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,IRINN 2,https://www.lyngsat.com/tvchannels/ir/IRINN-2.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7274,117.0,Varzesh TV,MPEG-4/SD,1170.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Varzesh TV,https://www.lyngsat.com/tvchannels/ir/Varzesh-TV.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7276,119.0,Salamat TV,MPEG-4/SD,1190.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Salamat TV,https://www.lyngsat.com/tvchannels/ir/Salamat-TV.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7277,120.0,IRIB 5,MPEG-4/SD,1200.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,IRIB 5,https://www.lyngsat.com/tvchannels/ir/IRIB-5.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7278,127.0,Sepehr,MPEG-4/HD,1270.0,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Sepehr,https://www.lyngsat.com/tvchannels/ir/Sepehr.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7279,241.0,Radio Iran,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Iran,https://www.lyngsat.com/radiochannels/ir/Radio-Iran.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7280,242.0,Radio Ava,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Ava,https://www.lyngsat.com/radiochannels/ir/Radio-Ava.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7281,243.0,Radio Javan,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Javan,https://www.lyngsat.com/radiochannels/ir/Radio-Javan.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7282,244.0,Radio Payam,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Payam,https://www.lyngsat.com/radiochannels/ir/Radio-Payam.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7283,245.0,Radio Varzesh,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Varzesh,https://www.lyngsat.com/radiochannels/ir/Radio-Varzesh.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7284,246.0,Radio Maaref,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Maaref,https://www.lyngsat.com/radiochannels/ir/Radio-Maaref.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7285,247.0,Radio Quran (Iran),,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Quran (Iran),https://www.lyngsat.com/radiochannels/ir/Radio-Quran.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7286,248.0,Radio Farhang,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Farhang,https://www.lyngsat.com/radiochannels/ir/Radio-Farhang.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7287,249.0,Radio Salamat,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Salamat,https://www.lyngsat.com/radiochannels/ir/Radio-Salamat.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7288,250.0,Radio Eghtesad,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Eghtesad,https://www.lyngsat.com/radiochannels/ir/Radio-Eghtesad.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7289,251.0,Radio Goftogoo,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Goftogoo,https://www.lyngsat.com/radiochannels/ir/Radio-Goftogoo.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7290,252.0,Radio Namayesh,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Namayesh,https://www.lyngsat.com/radiochannels/ir/Radio-Namayesh.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7291,253.0,Radio Tehran,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Tehran,https://www.lyngsat.com/radiochannels/ir/Radio-Tehran.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7292,254.0,Radio Saba,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Saba,https://www.lyngsat.com/radiochannels/ir/Radio-Saba.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7293,255.0,Radio Monasebati,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Monasebati,https://www.lyngsat.com/radiochannels/ir/Radio-Monasebati.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7294,256.0,Radio Telavat,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Telavat,https://www.lyngsat.com/radiochannels/ir/Radio-Telavat.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7295,257.0,Radio Tartil,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Tartil,https://www.lyngsat.com/radiochannels/ir/Radio-Tartil.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7296,258.0,IRIB World Service Radio 7,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,IRIB World Service Radio 7,https://www.lyngsat.com/radiochannels/ir/IRIB-World-Service-Radio-7.html,False,IRIB,Eng,ir,,Intelsat-39,,,,,,,,
7297,259.0,IRIB World Service Radio 3,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,IRIB World Service Radio 3,https://www.lyngsat.com/radiochannels/ir/IRIB-World-Service-Radio-3.html,False,IRIB,Ara,ir,,Intelsat-39,,,,,,,,
7298,261.0,Radio Broonmarzi Dari,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Broonmarzi Dari,https://www.lyngsat.com/radiochannels/ir/Radio-Broonmarzi-Dari.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7299,262.0,Radio Ziarat,,,DVB-S2,30000,3/4,11555 V,tp 65,46.3-48.3,,,Radio Ziarat,https://www.lyngsat.com/radiochannels/ir/Radio-Ziarat.html,False,IRIB,Per,ir,,Intelsat-39,,,,,,,,
7300,,Nigerian mux,1-2,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,,,False,,,,,Intelsat-33e,,,,,,,,
7301,201.0,Lagos TV,MPEG-4/SD,273.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Lagos TV,https://www.lyngsat.com/tvchannels/ng/Lagos-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7302,202.0,MITV,MPEG-4/SD,289.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,MITV,https://www.lyngsat.com/tvchannels/ng/MITV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7303,203.0,Silverbird TV,MPEG-4/SD,305.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Silverbird TV,https://www.lyngsat.com/tvchannels/ng/Silverbird-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7304,204.0,TVC News,MPEG-4/SD,321.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,TVC News,https://www.lyngsat.com/tvchannels/ng/TVC-News.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7305,205.0,TVC,MPEG-4/SD,337.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,TVC,https://www.lyngsat.com/tvchannels/ng/TVC.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7306,206.0,Sunna TV (Nigeria),MPEG-4/SD,353.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Sunna TV (Nigeria),https://www.lyngsat.com/tvchannels/ng/Sunna-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7307,207.0,Wazobia TV,MPEG-4/SD,369.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Wazobia TV,https://www.lyngsat.com/tvchannels/ng/Wazobia-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7308,208.0,Trybe TV,MPEG-4/SD,385.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Trybe TV,https://www.lyngsat.com/tvchannels/ng/Trybe-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7309,209.0,Spice,MPEG-4/SD,401.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Spice,https://www.lyngsat.com/tvchannels/ng/Spice.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7310,210.0,Televista,MPEG-4/SD,513.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Televista,https://www.lyngsat.com/tvchannels/ng/Televista.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7311,211.0,OnMax,MPEG-4/SD,529.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,OnMax,https://www.lyngsat.com/tvchannels/ng/OnMax.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7312,212.0,Soundcity TV,MPEG-4/SD,545.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Soundcity TV,https://www.lyngsat.com/tvchannels/ng/Soundcity-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7313,213.0,Wazobia Max TV Lagos,MPEG-4/SD,561.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Wazobia Max TV Lagos,https://www.lyngsat.com/tvchannels/ng/Wazobia-Max-TV-Lagos.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7314,214.0,Arewa 24,MPEG-4/SD,577.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Arewa 24,https://www.lyngsat.com/tvchannels/ng/Arewa-24.html,False,,Hau,ng,,Intelsat-33e,,,,,,,,
7315,215.0,Lumen Christi Catholic TV,MPEG-4/SD,593.0,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Lumen Christi Catholic TV,https://www.lyngsat.com/tvchannels/ng/Lumen-Christi-Catholic-TV.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7316,1.0,Rhythm,,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Rhythm,https://www.lyngsat.com/radiochannels/ng/Rhythm.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7317,8.0,Ray Power FM,,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Ray Power FM,https://www.lyngsat.com/radiochannels/ng/Ray-Power-FM.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7318,202.0,Naija FM Lagos,,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Naija FM Lagos,https://www.lyngsat.com/radiochannels/ng/Naija-FM-Lagos.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7319,207.0,Wazobia FM Lagos,,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Wazobia FM Lagos,https://www.lyngsat.com/radiochannels/ng/Wazobia-FM-Lagos.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7320,257.0,Star FM 101.5,,,DVB-S2,18315.0,5/6,3751 R,tp SZD11,0.0,,,Star FM 101.5,https://www.lyngsat.com/radiochannels/ng/Star-FM-1015.html,False,,Eng,ng,,Intelsat-33e,,,,,,,,
7321,,Uganda mux,0-1,,DVB-S2,2604.0,2/3,3764 R,tp SZD11,0.0,,,,,False,,,,,Intelsat-33e,,,,,,,,
7322,,Uganda mux,,,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,,,False,,,,,Intelsat-33e,,,,,,,,
7323,1.0,NTV Uganda,MPEG-4/SD,111.0,DVB-S2,2604.0,2/3,3764 R,tp SZD11,0.0,,,NTV Uganda,https://www.lyngsat.com/tvchannels/ke/NTV-Uganda.html,False,,Eng,ke,,Intelsat-33e,,,,,,,,
7324,2.0,Spark TV,MPEG-4/SD,121.0,DVB-S2,2604.0,2/3,3764 R,tp SZD11,0.0,,,Spark TV,https://www.lyngsat.com/tvchannels/ug/Spark-TV.html,False,,Eng,ug,,Intelsat-33e,,,,,,,,
7325,1.0,Eswatini TV,0-1MPEG-4/SD,111.0,DVB-S,2315.0,3/4,3767 R,tp SZD11,0.0,,,,,False,,Eng,,,Intelsat-33e,,,,,,,,
7327,1.0,ZNBC TV 2,MPEG-2/SD,39.0,DVB-S,5000.0,3/4,3771 R,tp SZD11,0.0,,,ZNBC TV 2,https://www.lyngsat.com/tvchannels/zm/ZNBC-TV-2.html,False,ZNBC,Eng,zm,,Intelsat-33e,,,,,,,,
7328,2.0,ZNBC TV 1,MPEG-2/SD,33.0,DVB-S,5000.0,3/4,3771 R,tp SZD11,0.0,,,ZNBC TV 1,https://www.lyngsat.com/tvchannels/zm/ZNBC-TV-1.html,False,ZNBC,Eng,zm,,Intelsat-33e,,,,,,,,
7329,1.0,Bukedde 1,MPEG-4/SD,611.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,Bukedde 1,https://www.lyngsat.com/tvchannels/ug/Bukedde-1.html,False,ZNBC,,ug,,Intelsat-33e,,,,,,,,
7330,2.0,Channel 44,MPEG-4/SD,711.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,Channel 44,https://www.lyngsat.com/tvchannels/ug/Channel-44.html,False,ZNBC,Eng,ug,,Intelsat-33e,,,,,,,,
7331,403.0,NBS TV,MPEG-4/SD,431.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,NBS TV,https://www.lyngsat.com/tvchannels/ug/NBS-TV.html,False,ZNBC,Swa,ug,,Intelsat-33e,,,,,,,,
7332,404.0,Urban TV (Uganda),MPEG-4/SD,441.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,Urban TV (Uganda),https://www.lyngsat.com/tvchannels/ug/Urban-TV.html,False,ZNBC,Eng,ug,,Intelsat-33e,,,,,,,,
7333,405.0,TV West (Uganda),MPEG-4/SD,151.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,TV West (Uganda),https://www.lyngsat.com/tvchannels/ug/TV-West.html,False,ZNBC,Eng,ug,,Intelsat-33e,,,,,,,,
7334,406.0,BBS TV,MPEG-4/SD,161.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,BBS TV,https://www.lyngsat.com/tvchannels/ug/BBS-TV.html,False,ZNBC,Swa,ug,,Intelsat-33e,,,,,,,,
7335,407.0,Bukedde 2,MPEG-4/SD,171.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,Bukedde 2,https://www.lyngsat.com/tvchannels/ug/Bukedde-2.html,False,ZNBC,,ug,,Intelsat-33e,,,,,,,,
7336,408.0,UBC TV,MPEG-4/SD,181.0,DVB-S2,5720.0,3/4,3778 R,tp SZD11,0.0,,,UBC TV,https://www.lyngsat.com/tvchannels/ug/UBC-TV.html,False,ZNBC,,ug,,Intelsat-33e,,,,,,,,
7337,,Kenyan mux,,,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,,,False,ZNBC,,,,Intelsat-33e,,,,,,,,
7338,1.0,NTV (Kenya),MPEG-4/SD,51.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7340,2.0,KTN Home,MPEG-4/SD,769.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,KTN Home,https://www.lyngsat.com/tvchannels/ke/KTN-Home.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7341,5.0,K24,MPEG-4/SD,33.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,K24,https://www.lyngsat.com/tvchannels/ke/K24.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7342,105.0,KTN News (Kenya),MPEG-4/SD,337.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,KTN News (Kenya),https://www.lyngsat.com/tvchannels/ke/KTN-News.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7343,107.0,Kass TV,MPEG-4/SD,370.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Kass TV,https://www.lyngsat.com/tvchannels/ke/Kass-TV.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7344,108.0,Akili Kids!,MPEG-4/SD,385.0,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Akili Kids!,https://www.lyngsat.com/tvchannels/ke/Akili-Kids.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7345,7.0,Capital FM (Kenya),,,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Capital FM (Kenya),https://www.lyngsat.com/radiochannels/ke/Capital-FM.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7346,9.0,Nation FM (Kenya),,,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Nation FM (Kenya),https://www.lyngsat.com/radiochannels/ke/Nation-FM.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7347,16.0,Classic FM (Kenya),,,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Classic FM (Kenya),https://www.lyngsat.com/radiochannels/ke/Classic-FM.html,False,ZNBC,Eng,ke,,Intelsat-33e,,,,,,,,
7348,162.0,Radio Maisha,,,DVB-S2,5757.0,8/9,3785 R,tp SZD11,0.0,,,Radio Maisha,https://www.lyngsat.com/radiochannels/ke/Radio-Maisha.html,False,ZNBC,,ke,,Intelsat-33e,,,,,,,,
7365,1.0,Telekanal 78,.-.MPEG-2/SD,4194.0,DVB-S,3330.0,3/4,11504 V,tp KUD3,,,,,,False,Alghad FM,Rus,,,Intelsat-33e,,,,,,,,
7366,1.0,Nika TV,8192-4096MPEG-2/SD,512.0,DVB-S,3700.0,3/4,11522 V,tp KUD3,,,,,,False,Alghad FM,Rus,,,Intelsat-33e,,,,,,,,
7367,1.0,Nika FM,,,DVB-S,3700.0,3/4,11522 V,tp KUD3,,,,Nika FM,https://www.lyngsat.com/radiochannels/ru/Nika-FM.html,False,Alghad FM,Rus,ru,,Intelsat-33e,,,,,,,,
7371,122.0,Otau TV promo,MPEG-4/SD,,DVB-S2,30000,3/4,10762 H,tp B4,,,,,,False,,Kaz,,,KazSat-3,,,,,,,,
7374,30102.0,Alma TV Info,HEVC,1021.0,DVB-S2,45000,3/4,12594 V,tp K2,,,,Alma TV Info,https://www.lyngsat.com/tvchannels/kz/Alma-TV-Info.html,False,,Kaz,kz,,KazSat-3,,,,,,,,
7377,8305.0,Sky Sports Main Event UK,MPEG-4/SD,105.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,Sky Sports Main Event UK,https://www.lyngsat.com/tvchannels/uk/Sky-Sports-Main-Event-UK.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7378,8105.0,Sky Sports Main Event UK,MPEG-4/SD,105.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,Sky Sports Main Event UK,https://www.lyngsat.com/tvchannels/uk/Sky-Sports-Main-Event-UK.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7379,8306.0,TNT Sports 1,MPEG-4/SD,106.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,TNT Sports 1,https://www.lyngsat.com/tvchannels/us/TNT-Sports-1.html,False,BFBS,Eng,us,,NSS-12,,,,,,,,
7380,8106.0,TNT Sports 1,MPEG-4/SD,106.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,TNT Sports 1,https://www.lyngsat.com/tvchannels/us/TNT-Sports-1.html,False,BFBS,Eng,us,,NSS-12,,,,,,,,
7381,8307.0,BFBS Sport,MPEG-4/SD,107.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BFBS Sport,https://www.lyngsat.com/tvchannels/uk/BFBS-Sport.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7382,8107.0,BFBS Sport,MPEG-4/SD,107.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,BFBS Sport,https://www.lyngsat.com/tvchannels/uk/BFBS-Sport.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7383,8308.0,Sky News UK,MPEG-4/SD,108.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,Sky News UK,https://www.lyngsat.com/tvchannels/uk/Sky-News-UK.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7384,8108.0,Sky News UK,MPEG-4/SD,108.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,Sky News UK,https://www.lyngsat.com/tvchannels/uk/Sky-News-UK.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7385,8311.0,BBC One Delay,MPEG-4/SD,111.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BBC One Delay,https://www.lyngsat.com/tvchannels/uk/BBC-One-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7386,8312.0,BBC Two Delay,MPEG-4/SD,112.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BBC Two Delay,https://www.lyngsat.com/tvchannels/uk/BBC-Two-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7387,8313.0,ITV 1 Delay,MPEG-4/SD,113.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,ITV 1 Delay,https://www.lyngsat.com/tvchannels/uk/ITV-1-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7388,8314.0,BFBS Extra Delay,MPEG-4/SD,114.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BFBS Extra Delay,https://www.lyngsat.com/tvchannels/uk/BFBS-Extra-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7389,8317.0,Sky Cinema Delay,MPEG-4/SD,117.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,Sky Cinema Delay,https://www.lyngsat.com/tvchannels/uk/Sky-Cinema-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7390,8117.0,Sky Cinema Delay,MPEG-4/SD,117.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,Sky Cinema Delay,https://www.lyngsat.com/tvchannels/uk/Sky-Cinema-Delay.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7391,8318.0,NTV National,MPEG-4/SD,118.0,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,NTV National,https://www.lyngsat.com/tvchannels/np/NTV-National.html,False,BFBS,Nep,np,,NSS-12,,,,,,,,
7392,8118.0,NTV National,MPEG-4/SD,118.0,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,NTV National,https://www.lyngsat.com/tvchannels/np/NTV-National.html,False,BFBS,Nep,np,,NSS-12,,,,,,,,
7393,8321.0,BFBS Ops,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,,,BFBS Ops,https://www.lyngsat.com/radiochannels/uk/BFBS-Ops.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7395,8121.0,BFBS Ops,MPEG-4,,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,,,BFBS Ops,https://www.lyngsat.com/radiochannels/uk/BFBS-Ops.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7396,8324.0,BFBS Radio 2,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BFBS Radio 2,https://www.lyngsat.com/radiochannels/uk/BFBS-Radio-2.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7397,8124.0,BFBS Radio 2,,,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,Irdeto,,BFBS Radio 2,https://www.lyngsat.com/radiochannels/uk/BFBS-Radio-2.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7398,8326.0,BFBS Best of British,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,,,BFBS Best of British,https://www.lyngsat.com/radiochannels/uk/BFBS-Best-of-British.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7399,8126.0,BFBS Best of British,,,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,,,BFBS Best of British,https://www.lyngsat.com/radiochannels/uk/BFBS-Best-of-British.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7400,8327.0,BFBS UK National,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,,,BFBS UK National,https://www.lyngsat.com/radiochannels/uk/BFBS-UK-National.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7401,8127.0,BFBS UK National,,,DVB-S2,19167.0,3/5,3798 R,tp WHR3,39-40,,,BFBS UK National,https://www.lyngsat.com/radiochannels/uk/BFBS-UK-National.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7402,8329.0,BFBS Germany,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,Irdeto,,BFBS Germany,https://www.lyngsat.com/radiochannels/uk/BFBS-Germany.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
7403,8332.0,BFBS Beats,,,DVB-S2,9583.0,2/3,3775 L,tp EHL2,,,,BFBS Beats,https://www.lyngsat.com/radiochannels/uk/BFBS-Beats.html,False,BFBS,Eng,uk,,NSS-12,,,,,,,,
