Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
Radio Australia English for Asia,Intelsat-18,4070 R,
MTN Special Events,Intelsat-18,4095 R,PowerVu
MTN Special Events,Intelsat-18,4095 R,PowerVu
MSNBC International,Intelsat-18,4095 R,PowerVu
Fox News Channel,Intelsat-18,4095 R,PowerVu
CNBC US,Intelsat-18,4095 R,PowerVu
Sky News International,Intelsat-18,4095 R,PowerVu
BBC News,Intelsat-18,4095 R,PowerVu
Prime Journey,Intelsat-18,4095 R,PowerVu
Sky Sports News UK,Intelsat-18,4095 R,PowerVu
Sport 24,Intelsat-18,4095 R,PowerVu
Prime One,Intelsat-18,4095 R,PowerVu
Sport 24 Extra,Intelsat-18,4095 R,PowerVu
RTL Deutschland,Intelsat-18,4095 R,PowerVu
Sky News Australia,Intelsat-18,4095 R,PowerVu
TFC Middle East,Intelsat-18,4095 R,PowerVu
Prime Favorites,Intelsat-18,4095 R,PowerVu
BBC HD,Intelsat-18,4095 R,PowerVu
TVE Internacional Europa,Intelsat-18,4095 R,PowerVu
Canal 24 Horas,Intelsat-18,4095 R,PowerVu
Australian Comedy & Drama Channel,Intelsat-18,4095 R,PowerVu
ABC News (Australia),Intelsat-18,4095 R,PowerVu
Food Network East,Intelsat-18,4095 R,PowerVu
HGTV East,Intelsat-18,4095 R,PowerVu
Travel Channel East,Intelsat-18,4095 R,PowerVu
France 24 Français,Intelsat-18,4095 R,PowerVu
France 24 Français,Intelsat-18,11155 H,
Mediaset Italia,Intelsat-18,4095 R,PowerVu
Hunan TV,Intelsat-18,4095 R,PowerVu
CCTV 6,Intelsat-18,4095 R,PowerVu
CCTV Entertainment,Intelsat-18,4095 R,PowerVu
CCTV 4 America,Intelsat-18,4095 R,PowerVu
National Geographic UK,Intelsat-18,4095 R,PowerVu
LCP Assemblée Nationale,Intelsat-18,11075 V,
Public Sénat,Intelsat-18,11075 V,
Radio Maria no te Hau,Intelsat-18,11075 V,
Radio Te Reo O Tefana,Intelsat-18,11075 V,
Radio 1 (Tahiti),Intelsat-18,11075 V,
Tiare FM,Intelsat-18,11075 V,
Tahiti Nui TV,Intelsat-18,11155 V,
Franceinfo:,Intelsat-18,11155 V,
Franceinfo:,Intelsat-18,11155 V,
Franceinfo:,Intelsat-18,11155 V,
Franceinfo:,Intelsat-18,11155 V,
Franceinfo:,Intelsat-18,11155 H,
Franceinfo:,Intelsat-18,11155 H,
Franceinfo:,Intelsat-18,11155 H,
Franceinfo:,Intelsat-18,11155 H,
France Inter,Intelsat-18,11155 V,
France Inter,Intelsat-18,11155 H,Mediaguard
France Inter,Intelsat-18,11155 H,Viaccess
Mouv',Intelsat-18,11155 V,
Radio France Internationale,Intelsat-18,11155 V,
France Culture,Intelsat-18,11155 V,
Polynésie 1ère,Intelsat-18,11155 H,Mediaguard
Polynésie 1ère,Intelsat-18,11155 H,Viaccess
Nouvelle Calédonie 1ère,Intelsat-18,11155 H,Mediaguard
Nouvelle Calédonie 1ère,Intelsat-18,11155 H,Viaccess
Wallis & Futuna 1ère,Intelsat-18,11155 H,Mediaguard
Wallis & Futuna 1ère,Intelsat-18,11155 H,Viaccess
France 2,Intelsat-18,11155 H,Mediaguard
France 2,Intelsat-18,11155 H,Viaccess
France 2,Intelsat-18,11155 H,Mediaguard
France 2,Intelsat-18,11155 H,Viaccess
France 3,Intelsat-18,11155 H,Mediaguard
France 3,Intelsat-18,11155 H,Viaccess
France 3,Intelsat-18,11155 H,Mediaguard
France 3,Intelsat-18,11155 H,Viaccess
France 4,Intelsat-18,11155 H,Mediaguard
France 4,Intelsat-18,11155 H,Viaccess
France 4,Intelsat-18,11155 H,Mediaguard
France 4,Intelsat-18,11155 H,Viaccess
France 4,Intelsat-18,11155 H,Mediaguard
France 4,Intelsat-18,11155 H,Viaccess
France 5,Intelsat-18,11155 H,Mediaguard
France 5,Intelsat-18,11155 H,Viaccess
France 5,Intelsat-18,11155 H,Mediaguard
France 5,Intelsat-18,11155 H,Viaccess
ARTE Français,Intelsat-18,11155 H,Mediaguard
ARTE Français,Intelsat-18,11155 H,Viaccess
ARTE Français,Intelsat-18,11155 H,Mediaguard
ARTE Français,Intelsat-18,11155 H,Viaccess
Polynésie 1ère Radio,Intelsat-18,11155 H,Mediaguard
Polynésie 1ère Radio,Intelsat-18,11155 H,Viaccess
Nouvelle Calédonie 1ère Radio,Intelsat-18,11155 H,Mediaguard
Nouvelle Calédonie 1ère Radio,Intelsat-18,11155 H,Viaccess
Wallis et Futuna 1ère Radio,Intelsat-18,11155 H,Mediaguard
Wallis et Futuna 1ère Radio,Intelsat-18,11155 H,Viaccess
Outre-mer 1ère,Intelsat-18,11155 H,Mediaguard
Outre-mer 1ère,Intelsat-18,11155 H,Viaccess
Caledonia,Intelsat-18,11513 H,
NBC TV (Papua New Guinea),Eutelsat-172B,3888 H,
NBC TV (Papua New Guinea),Eutelsat-172B,3888 H,
NBC TV (Papua New Guinea),Eutelsat-172B,3888 H,
NBC TV (Papua New Guinea),Eutelsat-172B,3888 H,
EM TV (Papua New Guinea),Eutelsat-172B,3888 H,
CGTN,Eutelsat-172B,3888 H,
Pasifika TV,Eutelsat-172B,3888 H,
CGTN Arabic,Eutelsat-172B,3888 H,
NBC National Radio,Eutelsat-172B,3888 H,
Tribe 92 FM,Eutelsat-172B,3888 H,
Lalokau FM,Eutelsat-172B,3888 H,
Hope Channel Australia,Eutelsat-172B,3916 H,
LifeTalk Radio,Eutelsat-172B,3916 H,
Hope FM 88.1,Eutelsat-172B,3916 H,
Hope FM 107.5,Eutelsat-172B,3916 H,
Radio Nuevo Tiempo (Brazil),Eutelsat-172B,3916 H,
FBC TV,Eutelsat-172B,3947 H,Verimatrix
FBC Sports,Eutelsat-172B,3947 H,Verimatrix
FBC 2,Eutelsat-172B,3947 H,Verimatrix
Parliament of Fiji,Eutelsat-172B,3947 H,Verimatrix
Fiji One,Eutelsat-172B,3947 H,Verimatrix
Channel 2 (Fiji),Eutelsat-172B,3947 H,Verimatrix
Mai TV,Eutelsat-172B,3947 H,Verimatrix
Hope Channel Fiji,Eutelsat-172B,3947 H,Verimatrix
Education Channel,Eutelsat-172B,3947 H,
Radio Fiji Two,Eutelsat-172B,3947 H,
Bula FM,Eutelsat-172B,3947 H,
Gold FM,Eutelsat-172B,3947 H,
Mirchi FM,Eutelsat-172B,3947 H,
2day FM,Eutelsat-172B,3947 H,
Radio Fiji One,Eutelsat-172B,3947 H,
NBC TV,Eutelsat-172B,4196 H,
K-Love,Eutelsat-172B,4198 H,
Air 1 Radio,Eutelsat-172B,4198 H,
ABC News (Australia),Eutelsat-172B,11044 V,
ABC News (Australia),Eutelsat-172B,11044 V,
ABC News (Australia),Eutelsat-172B,11044 V,
ABC TV NT,Eutelsat-172B,11044 V,
ABC TV NT,Eutelsat-172B,11044 V,
ABC Kids NT (05.00-19.30),Eutelsat-172B,11044 V,
ABC TV Plus NT (19.30-05.00),Eutelsat-172B,11044 V,
ABC Me NT,Eutelsat-172B,11044 V,
ABC Double J,Eutelsat-172B,11044 V,
ABC Double J,Eutelsat-172B,11044 V,
ABC Double J,Eutelsat-172B,11044 V,
ABC Jazz,Eutelsat-172B,11044 V,
ABC Jazz,Eutelsat-172B,11044 V,
ABC Jazz,Eutelsat-172B,11044 V,
ABC Kids listen,Eutelsat-172B,11044 V,
ABC Kids listen,Eutelsat-172B,11044 V,
ABC Kids listen,Eutelsat-172B,11044 V,
ABC Triple J,Eutelsat-172B,11044 V,
ABC Triple J,Eutelsat-172B,11044 V,
ABC Triple J,Eutelsat-172B,11044 V,
ABC Triple J Unearthed,Eutelsat-172B,11044 V,
ABC Triple J Unearthed,Eutelsat-172B,11044 V,
ABC Triple J Unearthed,Eutelsat-172B,11044 V,
ABC Classic,Eutelsat-172B,11044 V,
ABC Classic,Eutelsat-172B,11044 V,
ABC Classic,Eutelsat-172B,11044 V,
ABC Country,Eutelsat-172B,11044 V,
ABC Country,Eutelsat-172B,11044 V,
ABC Country,Eutelsat-172B,11044 V,
ABC Radio Darwin,Eutelsat-172B,11044 V,
ABC Radio National NSW,Eutelsat-172B,11044 V,
ABC Radio National NSW,Eutelsat-172B,11044 V,
ABC Radio National NSW,Eutelsat-172B,11044 V,
ABC NewsRadio,Eutelsat-172B,11044 V,
ABC NewsRadio,Eutelsat-172B,11044 V,
ABC NewsRadio,Eutelsat-172B,11044 V,
ABC TV WA,Eutelsat-172B,11044 V,
ABC TV WA,Eutelsat-172B,11044 V,
ABC Kids WA (05.00-19.30),Eutelsat-172B,11044 V,
ABC TV Plus WA (19.30-05.00),Eutelsat-172B,11044 V,
ABC Me WA,Eutelsat-172B,11044 V,
ABC Radio Perth,Eutelsat-172B,11044 V,
ABC TV Queensland,Eutelsat-172B,11044 V,
