SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country
,Canal 3 Waama,MPEG-4/SD,1161.0,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,Canal 3 Waama,https://www.lyngsat.com/tvchannels/--/Canal-3-Waama.html,False,ViewMedia,,--
,Dounia TV,MPEG-4/SD,1171.0,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,Dounia TV,https://www.lyngsat.com/tvchannels/ne/Dounia-TV.html,False,ViewMedia,Fre,ne
,RTS 1,MPEG-4/SD,1181.0,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,RTS 1,https://www.lyngsat.com/tvchannels/sn/RTS-1.html,False,ViewMedia,Fre,sn
,RTS 1,MPEG-4/SD,1181.0,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,RTS 1,https://www.lyngsat.com/tvchannels/sn/RTS-1.html,False,ViewMedia,Fre,sn
,Albaniy TV,MPEG-4/SD,1191.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Albaniy TV,https://www.lyngsat.com/tvchannels/ng/Albaniy-TV.html,False,ViewMedia,,ng
,Manara TV,MPEG-4/SD,1201.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Manara TV,https://www.lyngsat.com/tvchannels/ng/Manara-TV.html,False,ViewMedia,Hau,ng
,Sunna TV,MPEG-4/SD,1211.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Sunna TV,https://www.lyngsat.com/tvchannels/ng/Sunna-TV.html,False,ViewMedia,,ng
,Sunna TV 2,MPEG-4/SD,1221.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Sunna TV 2,https://www.lyngsat.com/tvchannels/ng/Sunna-TV-2.html,False,ViewMedia,,ng
,Sunna TV Kano,MPEG-4/SD,1231.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Sunna TV Kano,https://www.lyngsat.com/tvchannels/ng/Sunna-TV-Kano.html,False,ViewMedia,,ng
,Sunna TV IKS Niger,MPEG-4/SD,1241.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Sunna TV IKS Niger,https://www.lyngsat.com/tvchannels/ng/Sunna-TV-IKS-Niger.html,False,ViewMedia,,ng
,Tauraruwa TV,MPEG-4/SD,1261.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Tauraruwa TV,https://www.lyngsat.com/tvchannels/ne/Tauraruwa-TV.html,False,ViewMedia,,ne
,Sunna TV Savana,MPEG-4/SD,1271.0,DVB-S2,28190.0,4/5,11754 V,,0.0,,,Sunna TV Savana,https://www.lyngsat.com/tvchannels/ng/Sunna-TV-Savana.html,False,ViewMedia,Hau,ng
,Alminhaj TV,MPEG-4/SD,1281.0,DVB-S2,28190.0,4/5,11754 V,,0.0,Videoguard,,Alminhaj TV,https://www.lyngsat.com/tvchannels/ng/Alminhaj-TV.html,False,ViewMedia,Eng,ng
