Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6227,JPS TV,,MPEG-4/SD,92,93 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6228,Somali Region TV,,MPEG-4/HD,2015,3015,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6236,Marsil TV,,MPEG-4/HD,2005,3005 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6237,LJ TV Channel Worldwide,,MPEG-4/SD,100,104 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6242,CGM TV,,MPEG-4/SD,115,116,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6243,Africa TV 1 (Sudan),,MPEG-4/SD,106,107 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6245,Ye Ethiopia Lijoch TV,,MPEG-4/SD,73,74 Amh,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6246,Christ Jesus TV,,MPEG-4/SD,112,113 Eng,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6249,Holy Spirit TV Channel,,MPEG-4/SD,120,121,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6254,Christian TV,,MPEG-4/SD,124,125,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6240,Radio Zara FM,,,,422 Tir,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6241,Dimtsi Hafash,,,,423,,,,,11585 H,tp CAH7,Central Asia0
11605 Htp EAH7East Africa0-50,DVB-S2QPSK450005/6,6256,EBC FM 97.1,,,,119,,,,,11585 H,tp CAH7,Central Asia0
11610 Htp CAH7Central Asia0,DVB-S28PSK202003/4,,RRTM,,,,7.9,,N Stanislav230701,https://www.lyngsat.com/providers/uz/RRTM.html,RRTM,11610 H,tp CAH7,Central Asia0
