Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
4,Scream Flix,,MPEG-4/SD,710,700 Eng,VisionCrypt,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
96,GMA TV,,MPEG-4/SD,463,465 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
97,GTV (Philippines),,MPEG-4/SD,479,481 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
98,Heart of Asia,,MPEG-4/SD,1744,1746 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
101,Hallypop,,MPEG-4/SD,1760,1762 Eng,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
102,I Heart Movies,,MPEG-4/SD,1776,1778 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
103,Pinoy Hits,,MPEG-4/SD,1792,1794 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
402,Solar Sports,,MPEG-4/SD,1410,1411 Eng,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
405,Front Row Channel,,MPEG-4/SD,1110,1111 Eng,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
417,Solar Flix,,MPEG-4/SD,1810,1811 Eng,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,Light TV,,MPEG-4/SD,257,258 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,A2Z Channel 11,,MPEG-4/SD,513,514 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,Pinoy Box Office,,MPEG-4/SD,110,111 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,Viva Cinema,,MPEG-4/SD,210,211 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
4,Tagalized Movie Channnel,,MPEG-4/SD,410,411 Tgl,PowerVu,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
1,People's TV,,MPEG-4/SD,200,414 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2,Congress TV,,MPEG-4/SD,513,514 Tgl,,new,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2380,TV 5 (Philippines),,MPEG-4/SD,2382,2383 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2430,RPTV,,MPEG-4/SD,2432,2433 Tgl,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
2720,One Sports,,MPEG-4/SD,2722,2723 Eng,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
201,CCTV 13,,MPEG-4/SD,2001,2002 Chi,,,,,,,3847 H,tp 6A,Asia & Australia & Pacific0
