Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
10985 Htp 17Russia0,DVB-S28PSK350073/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,13.0,Mosfilm,,MPEG-4/HD,1022.0,1122 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,13.0,Mosfilm,,MPEG-4/HD,1022.0,1122 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,13.0,Mosfilm,,MPEG-4/HD,1022.0,1122 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,13.0,Mosfilm,,MPEG-4/HD,1022.0,1122 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
12527 HRussia0,DVB-S28PSK350003/4,17.0,Mosfilm,,MPEG-4/SD,1026.0,1126 Rus,Irdeto,,DVB-S2,35000.0,3/4,12527 H,,0.0,Irdeto,,Mosfilm,https://www.lyngsat.com/tvchannels/ru/Mosfilm.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,15.0,Pes i Ko,,MPEG-4/SD,1024.0,483 Rus,,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,,,Pes i Ko,https://www.lyngsat.com/tvchannels/ru/Pes-i-Ko.html,,,False,STV
10985 Htp 17Russia0,DVB-S28PSK350073/4,15.0,Pes i Ko,,MPEG-4/SD,1024.0,483 Rus,,,DVB-S2,35007.0,3/4,10985 H,tp 17,0.0,,,Pes i Ko,https://www.lyngsat.com/tvchannels/ru/Pes-i-Ko.html,,,False,STV
