Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,81.0,NHK World Japan,,HEVC/HD,2081.0,3081 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,NHK World Japan,https://www.lyngsat.com/tvchannels/jp/NHK-World-Japan.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,82.0,Aljazeera English,,HEVC/HD,2082.0,3082 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Aljazeera English,https://www.lyngsat.com/tvchannels/qa/Aljazeera-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,82.0,Aljazeera English,,HEVC/HD,2082.0,3082 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Aljazeera English,https://www.lyngsat.com/tvchannels/qa/Aljazeera-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,83.0,DW English,,HEVC/SD,2083.0,3083 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,DW English,https://www.lyngsat.com/tvchannels/de/DW-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,83.0,DW English,,HEVC/SD,2083.0,3083 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,DW English,https://www.lyngsat.com/tvchannels/de/DW-English.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,84.0,ABC Australia Asia,,HEVC/HD,2084.0,3084 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,ABC Australia Asia,https://www.lyngsat.com/tvchannels/au/ABC-Australia-Asia.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,85.0,Arirang World,,HEVC/SD,2085.0,3085 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Arirang World,https://www.lyngsat.com/tvchannels/kr/Arirang-World.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,85.0,Arirang World,,HEVC/SD,2085.0,3085 Eng,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Arirang World,https://www.lyngsat.com/tvchannels/kr/Arirang-World.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,86.0,Zee News,,HEVC/SD,2086.0,3086 Hin,,new,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Zee News,https://www.lyngsat.com/tvchannels/in/Zee-News.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,86.0,Zee News,,HEVC/SD,2086.0,3086 Hin,,new,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Zee News,https://www.lyngsat.com/tvchannels/in/Zee-News.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,87.0,9XM,,HEVC/SD,2087.0,3087 Hin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,9XM,https://www.lyngsat.com/tvchannels/in/9XM.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,87.0,9XM,,HEVC/SD,2087.0,3087 Hin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,9XM,https://www.lyngsat.com/tvchannels/in/9XM.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,88.0,B4U Movies India,,HEVC/SD,2088.0,.088 Hin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,B4U Movies India,https://www.lyngsat.com/tvchannels/in/B4U-Movies-India.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,89.0,Chithiram,,HEVC/SD,2089.0,3089 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Chithiram,https://www.lyngsat.com/tvchannels/in/Chithiram.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,90.0,Polimer,,HEVC/SD,2090.0,3090 Tam,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,Polimer,https://www.lyngsat.com/tvchannels/in/Polimer.html,False,Freesat
12224 Htp SAHG21South Asia0,DVB-S28PSK400002/3,91.0,DD Sports,,HEVC/SD,2091.0,3091 Hin,,,DVB-S2,40000.0,2/3,12224 H,tp SAHG21,0.0,,,DD Sports,https://www.lyngsat.com/tvchannels/in/DD-Sports.html,False,Freesat
