Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
3885 VC,DVB-S28PSK300003/4,10.0,DD News,,MPEG-4/HD,521.0,650 Hin 651 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,10.0,DD News,,MPEG-4/HD,521.0,650 Hin 651 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,10.0,DD News,,MPEG-4/HD,521.0,650 Hin 651 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,10.0,DD News,,MPEG-4/HD,521.0,650 Hin 651 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD News,https://www.lyngsat.com/tvchannels/in/DD-News.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,3.0,DD Bharati,,MPEG-4/SD,514.0,642 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Bharati,https://www.lyngsat.com/tvchannels/in/DD-Bharati.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,4.0,DD Kisan,,MPEG-4/SD,515.0,643,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Kisan,https://www.lyngsat.com/tvchannels/in/DD-Kisan.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,4.0,DD Kisan,,MPEG-4/SD,515.0,643,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Kisan,https://www.lyngsat.com/tvchannels/in/DD-Kisan.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,5.0,DD Urdu,,MPEG-4/SD,516.0,644 Urd,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Urdu,https://www.lyngsat.com/tvchannels/in/DD-Urdu.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,6.0,DD Sports,,MPEG-4/SD,517.0,645 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Sports,https://www.lyngsat.com/tvchannels/in/DD-Sports.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,6.0,DD Sports,,MPEG-4/SD,517.0,645 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Sports,https://www.lyngsat.com/tvchannels/in/DD-Sports.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,14.0,DD Sports,,MPEG-4/HD,525.0,664 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Sports,https://www.lyngsat.com/tvchannels/in/DD-Sports.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,14.0,DD Sports,,MPEG-4/HD,525.0,664 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD Sports,https://www.lyngsat.com/tvchannels/in/DD-Sports.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,7.0,Sansad TV,,MPEG-4/SD,518.0,646 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,7.0,Sansad TV,,MPEG-4/SD,518.0,646 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,7.0,Sansad TV,,MPEG-4/SD,518.0,646 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,7.0,Sansad TV,,MPEG-4/SD,518.0,646 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,15.0,Sansad TV,,MPEG-4/HD,526.0,665 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,15.0,Sansad TV,,MPEG-4/HD,526.0,665 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,15.0,Sansad TV,,MPEG-4/HD,526.0,665 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,15.0,Sansad TV,,MPEG-4/HD,526.0,665 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,Sansad TV,https://www.lyngsat.com/tvchannels/in/Sansad-TV.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,8.0,Prasar Bharati News Services,,MPEG-4/SD,519.0,647,,,DVB-S2,30000.0,3/4,3885 V,,,,,Prasar Bharati News Services,https://www.lyngsat.com/tvchannels/in/Prasar-Bharati-News-Services.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,11.0,DD India,,MPEG-4/HD,522.0,661 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,11.0,DD India,,MPEG-4/HD,522.0,661 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,11.0,DD India,,MPEG-4/HD,522.0,661 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,11.0,DD India,,MPEG-4/HD,522.0,661 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,16.0,DD India,,MPEG-4/SD,527.0,666 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,16.0,DD India,,MPEG-4/SD,527.0,666 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,16.0,DD India,,MPEG-4/SD,527.0,666 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
3885 VC,DVB-S28PSK300003/4,16.0,DD India,,MPEG-4/SD,527.0,666 Hin,,,DVB-S2,30000.0,3/4,3885 V,,,,,DD India,https://www.lyngsat.com/tvchannels/in/DD-India.html,False,Doordarshan
