Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider
11127 Vtp 44Europe0,DVB-S220005/6,,Movistar+,,1-1044,,6.5,MediaguardNagravision,M Al-TaieDXAndy240125,DVB-S,22000.0,5/6,11127 V,tp 44,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11127 Vtp 44Europe0,DVB-S220005/6,,Movistar+,,1-1044,,6.5,MediaguardNagravision,M Al-TaieDXAndy240125,DVB-S,22000.0,5/6,11127 V,tp 44,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11127 Vtp 44Europe0,DVB-S220005/6,,Movistar+,,1-1044,,6.5,MediaguardNagravision,M Al-TaieDXAndy240125,DVB-S,22000.0,5/6,11127 V,tp 44,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11156 Vtp 46Europe0,DVB-S220005/6,,Movistar+,,1-1046,,6.5,MediaguardNagravision,DXAndy231026,DVB-S,22000.0,5/6,11156 V,tp 46,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11259 Vtp 4Europe0,DVB-S28PSK220002/3,,Movistar+,,1-1004,,6.6,Nagravision,DXAndy231219,DVB-S2,22000.0,2/3,11259 V,tp 4,0.0,Nagravision,,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11318 Vtp 8Europe0,DVB-S220005/6,,Movistar+,,1-1008,,6.5,MediaguardNagravision,T Viererbe230802,DVB-S,22000.0,5/6,11318 V,tp 8,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
11318 Vtp 8Europe0,DVB-S220005/6,,Movistar+,,1-1008,,6.5,MediaguardNagravision,T Viererbe230802,DVB-S,22000.0,5/6,11318 V,tp 8,0.0,"Mediaguard,Nagravision",,,,Movistar+,https://www.lyngsat.com/packages/Movistar-.html,False,SES
