Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider
4150 Vtp 11BNCSouth America,DVB-S28PSK25003/4,,Rede Brasil,,MPEG-2/SD,473.0,7.9 474 Por,,Edinho fta230705,DVB-S2,2500.0,3/4,4150 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473.0,474 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473.0,474 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473.0,474 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/HD,473.0,474 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573.0,574 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573.0,574 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573.0,574 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,Rede Brasil,,MPEG-4/1seg,573.0,574 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,Rede Brasil,https://www.lyngsat.com/tvchannels/br/Rede-Brasil.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,,,,,9.4,,Edinho fta230705,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,,,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/HD,273.0,274 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/HD,273.0,274 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/1seg,373.0,374 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html,False,Transamérica
4156 Vtp 11BNCSouth America,DVB-S28PSK50005/6,,RBTV,,MPEG-4/1seg,373.0,374 Por,,,DVB-S2,5000.0,5/6,4156 V,tp 11BNC,,,,RBTV,https://www.lyngsat.com/tvchannels/br/RBTV.html,False,Transamérica
,,,,,,,,,,,,,,,,,,DVB-S28PSK25003/4,,False,Transamérica
,,,,,,,,,,,,,,,,,,DVB-S28PSK25003/4,,False,Transamérica
