Name,Region,Position_Longitude,Position_Direction,L_Rocket,L_Date
EchoStar 14,america,119.0,W,Proton,2010-03-20
Galaxy 31,america,121.0,W,Falcon 9,2022-11-12
Galaxy 18,america,123.0,W,Zenit 3/Sea Launch,2008-05-21
Galaxy 30,america,125.0,W,Ariane 5 - VA253,2020-08-15
Galaxy 37/Horizons 4,america,127.0,W,Falcon 9,2023-08-03
SES 15,america,129.0,W,Soyuz - VS17,2017-05-18
Galaxy 34,america,129.0,W,Falcon 9,2022-10-08
SES 21,america,131.0,W,Atlas,2022-10-04
Galaxy 33,america,133.0,W,Falcon 9,2022-10-08
SES 22,america,135.0,W,Falcon 9,2022-06-29
SES 19,america,135.0,W,Falcon 9,2023-03-17
AMC 6,america,139.0,W,Proton,2000-10-21
Galaxy 13/Horizons 1,america,150.0,W,Zenit 3,2003-10-01
