Provider/Channel,Sattelite_Name,freq_alt,Languages
Myx Philippines,Intelsat-19,4180 H,Eng
Knowledge Channel,Intelsat-19,3949 H,Tgl
Knowledge Channel,Intelsat-19,4180 H,Tgl
TeleRadyo Serbisyo,Intelsat-19,3949 H,Tgl
TeleRadyo Serbisyo,Intelsat-19,4180 H,Tgl
Cine Mo!,Intelsat-19,3949 H,Tgl
Cine Mo!,Intelsat-19,4180 H,Tgl
Kapamilya Channel Luzon,Intelsat-19,3949 H,Tgl
Kapamilya Channel Luzon,Intelsat-19,4180 H,Tgl
Kapamilya Channel Mindanao,Intelsat-19,3949 H,Tgl
Kapamilya Channel Mindanao,Intelsat-19,4180 H,Tgl
China Plus Radio,Intelsat-19,3956 V,Eng
CRI Newsradio,Intelsat-19,3956 V,Chi
PacificAus TV,Intelsat-19,3976 V,Eng
Animal Planet Australia,Intelsat-19,3980 H,Eng
Animal Planet New Zealand,Intelsat-19,3980 H,Eng
Discovery Channel New Zealand,Intelsat-19,3980 H,Eng
TLC Australia,Intelsat-19,3980 H,Eng
Eurosport Asia,Intelsat-19,3980 H,Eng
Investigation Discovery Australia,Intelsat-19,3980 H,Eng
Discovery Channel Australia,Intelsat-19,3980 H,Eng
Discovery Turbo Australia,Intelsat-19,3980 H,Eng
Eve,Intelsat-19,4040 V,Eng
Eve,Intelsat-19,4040 V,Tha
Eve,Intelsat-19,4040 V,Eng
Discovery Science Southeast Asia,Intelsat-19,4040 V,Eng
Discovery Science Southeast Asia,Intelsat-19,4040 V,Tha
Discovery Science Southeast Asia,Intelsat-19,4040 V,Eng
DMAX Southeast Asia,Intelsat-19,4040 V,Eng
DMAX Southeast Asia,Intelsat-19,4040 V,Tha
DMAX Southeast Asia,Intelsat-19,4040 V,Eng
Animal Planet Southeast Asia,Intelsat-19,4040 V,Eng
Animal Planet Southeast Asia,Intelsat-19,4040 V,Tha
Animal Planet Southeast Asia,Intelsat-19,4040 V,Vie
Animal Planet Southeast Asia,Intelsat-19,4040 V,Chi
Discovery Channel Southeast Asia,Intelsat-19,4040 V,Eng
Discovery Channel Southeast Asia,Intelsat-19,4040 V,Tha
Discovery Channel Southeast Asia,Intelsat-19,4040 V,Ind
Discovery Channel Southeast Asia,Intelsat-19,4040 V,Vie
TLC Southeast Asia,Intelsat-19,4040 V,Eng
TLC Southeast Asia,Intelsat-19,4040 V,Tha
TLC Southeast Asia,Intelsat-19,4040 V,Ind
TLC Southeast Asia,Intelsat-19,4040 V,May
Discovery Channel China Hotels,Intelsat-19,4040 V,Eng
Discovery Asia,Intelsat-19,4040 V,Eng
Discovery Asia,Intelsat-19,4040 V,Tha
Discovery Asia,Intelsat-19,4040 V,Vie
Discovery Asia,Intelsat-19,4040 V,Eng
VoA TV Global,Intelsat-19,4060 H,Eng
VoA/RFA News,Intelsat-19,4060 H,Bur
VoA TV China,Intelsat-19,4060 H,Chi
VoA TV Africa,Intelsat-19,4060 H,Eng
BBC News Asia Pacific,Intelsat-19,4060 H,Eng
BBC News Asia Pacific,Intelsat-19,4060 H,Jpn
BBC News Asia Pacific,Intelsat-19,4060 H,Eng
EWTN Asia - Pacific,Intelsat-19,4060 H,Eng
EWTN Asia - Pacific,Intelsat-19,12606 H,Eng
ESPN Pacific Rim,Intelsat-19,4060 H,Eng
CNBC Asia-Pacific,Intelsat-19,4060 H,Eng
CNBC Asia-Pacific,Intelsat-19,4060 H,Eng
CNBC Australia,Intelsat-19,4060 H,Eng
Dog TV,Intelsat-19,4060 H,Eng
Dog TV,Intelsat-19,4060 H,Eng
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
Voice of America,Intelsat-19,4060 H,
VoA Djibouti MW,Intelsat-19,4060 H,
VoA Urdu,Intelsat-19,4060 H,Urd
VoA 1,Intelsat-19,4060 H,
VoA East Timor,Intelsat-19,4060 H,
EWTN Radio,Intelsat-19,4060 H,Eng
Radio Free Asia,Intelsat-19,4060 H,
Radio Free Asia,Intelsat-19,4060 H,
VoA Tibetan,Intelsat-19,4060 H,
VoA Madagascar,Intelsat-19,4060 H,
VoA Mongolia,Intelsat-19,4060 H,
Angel 5,Intelsat-19,4060 H,Eng
Palau FM,Intelsat-19,4060 H,Eng
VoA Djibouti FM,Intelsat-19,4060 H,
Deewa Radio,Intelsat-19,4060 H,
Deewa Radio,Intelsat-19,4060 H,
Radio Farda,Intelsat-19,4060 H,Per
Radio Free Ashna,Intelsat-19,4060 H,
Discovery Channel Japan,Intelsat-19,4080 V,Jpn
Discovery Channel Japan,Intelsat-19,4080 V,Eng
Animal Planet Japan,Intelsat-19,4080 V,Jpn
Animal Planet Japan,Intelsat-19,4080 V,Eng
Asian Food Network,Intelsat-19,4080 V,Eng
Food Network Asia,Intelsat-19,4080 V,Eng
Travel Channel Asia,Intelsat-19,4080 V,Eng
HGTV Asia,Intelsat-19,4080 V,Eng
Investigation Discovery New Zealand,Intelsat-19,4080 V,Eng
KBS World,Intelsat-19,4128 V,Kor
YTN World,Intelsat-19,4133 V,Kor
NHK World Japan,Intelsat-19,4146 H,Eng
NHK World Premium,Intelsat-19,4146 H,Eng
NHK World Premium,Intelsat-19,4146 H,Jpn
NHK World Japan Radio,Intelsat-19,4146 H,
