Provider/Channel,Sattelite_Name,freq_alt,Languages
ATG Radio,Eutelsat-7B,10887 H,
Kigooco FM,Eutelsat-7B,10887 H,
One Love Radio FM,Eutelsat-7B,10887 H,Eng
Radio Christian Voice,Eutelsat-7B,10887 H,Eng
(EBU feeds),Eutelsat-7B,11043 H,
(EBU feeds),Eutelsat-7B,11049 H,
(EBU feeds),Eutelsat-7B,11055 H,
WGB Lucky Balls,Eutelsat-7B,11152 H,Eng
WGB Dog Racing,Eutelsat-7B,11152 H,Eng
WGB LaLiga,Eutelsat-7B,11152 H,Eng
Elbet Lucky Greek,Eutelsat-7B,11152 H,Eng
WGB Champions League,Eutelsat-7B,11152 H,Eng
WGB Global Football,Eutelsat-7B,11152 H,Eng
Elbet Video Roulette,Eutelsat-7B,11152 H,Eng
Elbet Lucky Color,Eutelsat-7B,11152 H,Eng
Erfan Halgheh TV,Eutelsat-7B,11262 H,
Sun Music TV,Eutelsat-7B,11262 H,Per
PMC,Eutelsat-7B,11262 H,Per
Tapesh 2,Eutelsat-7B,11262 H,Per
Oxir TV,Eutelsat-7B,11262 H,
YourTime TV,Eutelsat-7B,11262 H,Per
Classic TV,Eutelsat-7B,11262 H,Per
Persiana Cinema,Eutelsat-7B,11262 H,Per
Persiana Junior,Eutelsat-7B,11262 H,Per
Persiana Korea,Eutelsat-7B,11262 H,Per
4 Music,Eutelsat-7B,11262 H,
Toronto Farsi Network promo,Eutelsat-7B,11262 H,Per
4U TV,Eutelsat-7B,11262 H,Per
4U TV,Eutelsat-7B,11387 H,Per
AVA Family,Eutelsat-7B,11304 H,Per
DXB One,Eutelsat-7B,11304 H,Per
Radio Javan TV,Eutelsat-7B,11304 H,Per
Persiana HD,Eutelsat-7B,11304 H,Per
Today TV,Eutelsat-7B,11304 H,Per
PBC Tapesh,Eutelsat-7B,11304 H,Per
FX 1,Eutelsat-7B,11304 H,Per
Eenak Farsi,Eutelsat-7B,11304 H,Per
TM TV (USA),Eutelsat-7B,11324 V,Per
Avang TV,Eutelsat-7B,11324 V,Per
Navahang TV,Eutelsat-7B,11345 H,Per
ZBC TV (Zimbabwe),Eutelsat-7B,11356 H,Eng
ZBC News,Eutelsat-7B,11356 H,Eng
Jive TV,Eutelsat-7B,11356 H,Eng
Zimbabwe National TV,Eutelsat-7B,11356 H,Eng
KeYona TV,Eutelsat-7B,11356 H,Eng
3K TV,Eutelsat-7B,11356 H,
Nkululeko Rusununguko TV,Eutelsat-7B,11356 H,
ZTN Prime,Eutelsat-7B,11356 H,Eng
National FM (Zimbabwe),Eutelsat-7B,11356 H,
Radio Zimbabwe,Eutelsat-7B,11356 H,Eng
Classic 263,Eutelsat-7B,11356 H,
Power FM (Zimbabwe),Eutelsat-7B,11356 H,Eng
Star FM (Zimbabwe),Eutelsat-7B,11356 H,Eng
Zi FM,Eutelsat-7B,11356 H,Eng
MBC Persia,Eutelsat-7B,11387 H,Per
Kanal Jadid,Eutelsat-7B,11387 H,Per
Iran TV Network,Eutelsat-7B,11387 H,Per
News of the World,Eutelsat-7B,11387 H,Per
ICC+,Eutelsat-7B,11387 H,Per
MBC 1,Eutelsat-7B,11444 H,Fre
MBC 2 (Mauritius),Eutelsat-7B,11444 H,
Radio Maurice,Eutelsat-7B,11444 H,
Kool FM,Eutelsat-7B,11444 H,
Or Hachaim (20-23),Eutelsat-7B,12530 H,Eng
Peace TV English,Eutelsat-7B,12604 H,Eng
Quran TV (Saudi Arabia),Eutelsat-7B,12604 H,Ara
Sunna TV (Saudi Arabia),Eutelsat-7B,12604 H,Ara
Emmanuel TV,Eutelsat-7B,12604 H,Eng
Africa TV 2,Eutelsat-7B,12604 H,Swa
Eagle TV (Ghana),Eutelsat-7B,12604 H,Eng
IBN TV Africa,Eutelsat-7B,12604 H,Eng
JW Broadcasting,Eutelsat-7B,12604 H,Eng
JW Broadcasting,Eutelsat-7B,12604 H,Fre
JW Broadcasting,Eutelsat-7B,12604 H,Por
JW Broadcasting,Eutelsat-7B,12604 H,Swa
JW Broadcasting,Eutelsat-7B,12604 H,Nya
JW Broadcasting,Eutelsat-7B,12604 H,Zul
JW Broadcasting,Eutelsat-7B,12604 H,Bem
JW Broadcasting,Eutelsat-7B,12604 H,Amh
JW Broadcasting,Eutelsat-7B,12604 H,Ibo
JW Broadcasting,Eutelsat-7B,12604 H,Kin
JW Broadcasting,Eutelsat-7B,12604 H,Rum
JW Broadcasting,Eutelsat-7B,12604 H,Lin
JW Broadcasting,Eutelsat-7B,12604 H,Mlg
JW Broadcasting,Eutelsat-7B,12604 H,Sna
JW Broadcasting,Eutelsat-7B,12604 H,Twi
JW Broadcasting,Eutelsat-7B,12604 H,Nya
JW Broadcasting,Eutelsat-7B,12604 H,Efi
JW Broadcasting,Eutelsat-7B,12604 H,Ewe
JW Broadcasting,Eutelsat-7B,12604 H,Gaa
JW Broadcasting,Eutelsat-7B,12604 H,Lub
JW Broadcasting,Eutelsat-7B,12604 H,Kon
JW Broadcasting,Eutelsat-7B,12604 H,Orm
JW Broadcasting,Eutelsat-7B,12604 H,Sot
JW Broadcasting,Eutelsat-7B,12604 H,Swa
JW Broadcasting,Eutelsat-7B,12604 H,Lua
JW Broadcasting,Eutelsat-7B,12604 H,Tso
JW Broadcasting,Eutelsat-7B,12604 H,Umb
JW Broadcasting,Eutelsat-7B,12604 H,Xho
JW Broadcasting,Eutelsat-7B,12604 H,Yor
Haleluya TV,Eutelsat-7B,12604 H,Eng
Bloomberg TV Africa,Eutelsat-7B,12604 H,Eng
Universal TV (UK),Eutelsat-7B,12604 H,Som
Revival TV (USA),Eutelsat-7B,12604 H,Eng
ORTC TV,Eutelsat-7B,12604 H,Fre
Efatha TV,Eutelsat-7B,12604 H,Eng
2M Monde,Eutelsat-7B,12604 H,Ara
Joy Gospel TV,Eutelsat-7B,12604 H,Swa
Jehova Jire TV,Eutelsat-7B,12604 H,Eng
Top Plus,Eutelsat-7B,12604 H,
NTR TV,Eutelsat-7B,12604 H,Eng
Mzee Wa Upako TV,Eutelsat-7B,12604 H,
Urejesho TV,Eutelsat-7B,12604 H,Swa
Rabbi 1 TV,Eutelsat-7B,12604 H,Eng
Holiness TV,Eutelsat-7B,12604 H,Eng
Thunder TV,Eutelsat-7B,12604 H,Eng
Abood TV,Eutelsat-7B,12604 H,
JN Power TV,Eutelsat-7B,12604 H,Eng
ROC TV,Eutelsat-7B,12604 H,Eng
Habari Maalum TV,Eutelsat-7B,12604 H,Swa
Christ Mandate TV,Eutelsat-7B,12604 H,Eng
World Evangelism TV,Eutelsat-7B,12604 H,Eng
Robert TV,Eutelsat-7B,12604 H,Eng
Radio Maarifa,Eutelsat-7B,12604 H,Eng
Raga FM,Eutelsat-7B,12604 H,
Radio Vaovao Mahasoa,Eutelsat-7B,12604 H,
Radio 2M,Eutelsat-7B,12604 H,Ara
Radio Tumaini,Eutelsat-7B,12604 H,Eng
(APTN feeds),Eutelsat-7B,12614 V,
(APTN feeds),Eutelsat-7B,12620 V,
(APTN feeds),Eutelsat-7B,12626 V,
(APTN feeds),Eutelsat-7B,12632 V,
Alforat TV,Eutelsat-7B,12657 H,Ara
URHC TV,Eutelsat-7B,21595 H,Fre
2S TV,Eutelsat-7B,21620 H,Fre
Bantamba TV,Eutelsat-7B,21638 H,Eng
QTV (Gambia),Eutelsat-7B,21640 H,Eng
Iranefarda TV,Eutelsat-7C,10721 V,Per
News of the World,Eutelsat-7C,10721 V,Eng
BBC World Service English Europe,Eutelsat-7C,10721 V,Eng
BBC World Service English Australasia,Eutelsat-7C,10721 V,Eng
BBC World Service English News,Eutelsat-7C,10721 V,Eng
BBC World Service Arabic,Eutelsat-7C,10721 V,Ara
BBC World Service Afghanistan,Eutelsat-7C,10721 V,
La Radio Plus,Eutelsat-7C,10721 V,
(Telstra feeds),Eutelsat-7C,10762 V,
Africa TV 2,Eutelsat-7C,10981 V,Swa
Capital FM,Eutelsat-7C,10981 V,Eng
88.8 CBS FM,Eutelsat-7C,10981 V,Eng
93.3 KFM,Eutelsat-7C,10981 V,Eng
Radio West,Eutelsat-7C,10981 V,Eng
Radio Simba,Eutelsat-7C,10981 V,Lug
Azam Xtra,Eutelsat-7C,11044 V,Swa
TV Imaan,Eutelsat-7C,11044 V,
Clouds FM,Eutelsat-7C,11044 V,Eng
EFM,Eutelsat-7C,11044 V,Swa
Times FM,Eutelsat-7C,11044 V,Swa
TBC FM,Eutelsat-7C,11044 V,Swa
Uhuru FM,Eutelsat-7C,11044 V,Swa
Magic FM (Tanzania),Eutelsat-7C,11044 V,Eng
Radio Free Africa,Eutelsat-7C,11044 V,
Kiss FM (Tanzania),Eutelsat-7C,11044 V,
Radio One,Eutelsat-7C,11044 V,Eng
East Africa Radio,Eutelsat-7C,11044 V,Eng
BBC World Service Swahili,Eutelsat-7C,11044 V,Swa
Capital Radio (Tanzania),Eutelsat-7C,11044 V,Eng
Radio Imaan FM,Eutelsat-7C,11044 V,Eng
National FM (Zimbabwe),Eutelsat-7C,11044 V,Eng
Radio Zimbabwe,Eutelsat-7C,11044 V,Eng
U FM Radio,Eutelsat-7C,11106 V,Eng
Wasafi FM,Eutelsat-7C,11106 V,
MBC Radio 1,Eutelsat-7C,11106 V,Eng
MBC Radio 2,Eutelsat-7C,11106 V,Eng
Canal + Novela 1,Eutelsat-7C,11471 H,
Canal + Novela 2,Eutelsat-7C,11471 H,
Agnus Dei TV,Eutelsat-7C,11481 V,Eng
Top Sports TV,Eutelsat-7C,11481 V,Eng
Moreplex Music,Eutelsat-7C,11481 V,Eng
Afro Centric Showcase,Eutelsat-7C,11481 V,Eng
Afro Centric Royalty,Eutelsat-7C,11481 V,Eng
Afro Centric Epic,Eutelsat-7C,11481 V,Eng
Afro Centric Junior,Eutelsat-7C,11481 V,Eng
Afro Centric Igbo,Eutelsat-7C,11481 V,Ibo
Afro Centric Yoruba,Eutelsat-7C,11481 V,Yor
Afro Centric Hausa,Eutelsat-7C,11481 V,Hau
Afro Centric Urban,Eutelsat-7C,11481 V,Eng
Afro Centric Series,Eutelsat-7C,11481 V,Eng
Afro Centric Pidgin,Eutelsat-7C,11481 V,Eng
M-Dish TV,Eutelsat-7C,11481 V,Eng
MBC Action,Eutelsat-7C,11481 V,Eng
France 24 English,Eutelsat-7C,11481 V,Eng
Outdoor Sport Channel,Eutelsat-7C,11481 V,Eng
Dove TV (Nigeria),Eutelsat-7C,11481 V,Eng
Tanzania Safari Channel,Eutelsat-7C,11481 V,Eng
MBC 2 (Saudi Arabia),Eutelsat-7C,11481 V,Ara
Liberty TV (Nigeria),Eutelsat-7C,11481 V,Eng
Pet & Pal,Eutelsat-7C,11481 V,Eng
Channels TV,Eutelsat-7C,11481 V,Eng
Series Zone,Eutelsat-7C,11481 V,Eng
Nina TV English,Eutelsat-7C,11481 V,Eng
British Muslim TV,Eutelsat-7C,11481 V,Eng
Football TV,Eutelsat-7C,11481 V,Eng
Karaoke TV Kids,Eutelsat-7C,11481 V,Eng
Stingray Naturescape,Eutelsat-7C,11481 V,Eng
Cartoon TV (1),Eutelsat-7C,11481 V,Eng
Kids Zone (2),Eutelsat-7C,11481 V,Eng
Ethio FM 107.8,Eutelsat-7C,11513 H,Amh
EBS (USA),Eutelsat-7C,11554 H,Amh
Fana TV,Eutelsat-7C,11554 H,Amh
ETV News,Eutelsat-7C,11554 H,Amh
ETV Entertainment,Eutelsat-7C,11554 H,Amh
ETV Languages,Eutelsat-7C,11554 H,Amh
Nesiha TV,Eutelsat-7C,11554 H,Amh
Nahoo TV,Eutelsat-7C,11554 H,Amh
Addis Media Network,Eutelsat-7C,11554 H,Amh
Ahadu TV,Eutelsat-7C,11554 H,Amh
Asham TV,Eutelsat-7C,11554 H,Amh
Dire TV,Eutelsat-7C,11554 H,Amh
TV 9 Ethio,Eutelsat-7C,11595 H,Amh
Amhara TV,Eutelsat-7C,11595 H,Amh
Walta TV,Eutelsat-7C,11595 H,Amh
Oromia Broadcasting Service,Eutelsat-7C,11595 H,Orm
Sidaama Media Network,Eutelsat-7C,11595 H,Amh
Ethiopia Orthodox TV,Eutelsat-7C,11595 H,Amh
Elshaddai TV Network,Eutelsat-7C,11595 H,Amh
Balageru TV,Eutelsat-7C,11595 H,Amh
Radio Ethiopia National Radio,Eutelsat-7C,11595 H,Amh
Ahadu Radio,Eutelsat-7C,11595 H,Amh
Fana FM,Eutelsat-7C,11595 H,Amh
Addis FM 96.3,Eutelsat-7C,11595 H,Amh
EBC Radio 104.7,Eutelsat-7C,11595 H,
FM Bahir Dar 96.9,Eutelsat-7C,11595 H,Amh
Debub FM,Eutelsat-7C,11595 H,
Zagros TV,Eutelsat-7C,11667 V,Kur
Zagros Radio,Eutelsat-7C,11667 V,Kur
Kurdistan TV,Eutelsat-7C,11672 V,Kur
Kurdistan 24,Eutelsat-7C,11677 V,Kur
Kurdistan 24 Radio,Eutelsat-7C,11677 V,Kur
Ava Entertainment,Eutelsat-7C,11689 V,Kur
Ava Radio,Eutelsat-7C,11689 V,Kur
Resurrection TV,SES-5,3845 R,Eng
Resurrection TV,SES-5,11919 H,Eng
TVGE Internacional,SES-5,3853 R,Spa
TVGE Radio,SES-5,3853 R,Spa
Dove TV (Nigeria),SES-5,3906 L,Eng
Wedding Channel Africa,SES-5,3922 L,Eng
Hip TV,SES-5,3924 L,Eng
Liberty TV (Nigeria),SES-5,3926 L,Eng
Fufa TV,SES-5,3928 L,Eng
TVC News,SES-5,3934 L,Eng
TVC (Nigeria),SES-5,3934 L,Eng
(BBC Africa feeds),SES-5,4000 R,
(BBC Africa feeds),SES-5,4000 R,
(BBC Africa feeds),SES-5,4000 R,
(BBC Africa feeds),SES-5,4000 R,
BBC World Service English East Africa,SES-5,4000 R,Eng
BBC World Service English East Africa,SES-5,4087 L,Eng
BBC World Service English West Africa,SES-5,4000 R,Eng
BBC World Service English West Africa,SES-5,4087 L,Eng
BBC World Service English Europe,SES-5,4000 R,Eng
BBC World Service English Middle East,SES-5,4000 R,Eng
BBC World Service English News,SES-5,4000 R,Eng
BBC World Service English News,SES-5,4087 L,Eng
BBC World Service Arabic,SES-5,4000 R,Ara
BBC World Service Arabic,SES-5,4087 L,Ara
BBC World Service Dari,SES-5,4000 R,Prs
BBC World Service Persian,SES-5,4000 R,Per
BBC World Service Afrique,SES-5,4000 R,Fre
BBC World Service Afrique,SES-5,4087 L,Fre
BBC Gahuza,SES-5,4000 R,
BBC Gahuza,SES-5,4087 L,
BBC Hausa Rediyo,SES-5,4000 R,Hau
BBC Hausa Rediyo,SES-5,4087 L,Hau
BBC World Service Pashto,SES-5,4000 R,Pus
BBC World Service Somali,SES-5,4000 R,Som
BBC World Service Somali,SES-5,4087 L,Som
BBC World Service Swahili,SES-5,4000 R,Swa
VoA Rwanda,SES-5,4014 R,
VoA Rwanda,SES-5,11919 H,
VoA 1,SES-5,4014 R,Eng
VoA 1,SES-5,11919 H,Eng
VoA Congo-Brazzaville,SES-5,4014 R,
VoA Congo-Brazzaville,SES-5,11919 H,
Radio Sawa Mauritania,SES-5,4014 R,Ara
Radio Sawa Mauritania,SES-5,11919 H,Ara
VoA Bambara,SES-5,4014 R,
VoA Bambara,SES-5,11919 H,
VoA Somali,SES-5,4014 R,
VoA Somali,SES-5,11919 H,
VoA Burundi,SES-5,4014 R,
VoA Burundi,SES-5,11919 H,
VoA South Sudan,SES-5,4014 R,
VoA South Sudan,SES-5,11919 H,
VoA Ghana,SES-5,4014 R,
VoA Ghana,SES-5,11919 H,
VoA Togo,SES-5,4014 R,
VoA Togo,SES-5,11919 H,
Khartoum FM,SES-5,4014 R,Ara
Khartoum FM,SES-5,11919 H,Ara
VoA Chad,SES-5,4014 R,
VoA Chad,SES-5,11919 H,
VoA Central Africa,SES-5,4014 R,
VoA Central Africa,SES-5,11919 H,
VoA Kenya,SES-5,4014 R,
VoA Kenya,SES-5,11919 H,
VoA Sierra Leone,SES-5,4014 R,
VoA Sierra Leone,SES-5,11919 H,
VoA Burkina Faso,SES-5,4014 R,
VoA Burkina Faso,SES-5,11919 H,
VoA Senegal,SES-5,4014 R,
VoA Senegal,SES-5,11919 H,
VoA Niger,SES-5,4014 R,
VoA Niger,SES-5,11919 H,
VoA Congo DRC,SES-5,4014 R,
VoA Congo DRC,SES-5,11919 H,
VoA Madagascar,SES-5,4014 R,
VoA Madagascar,SES-5,11919 H,
VoA Zambia,SES-5,4014 R,
VoA Zambia,SES-5,11919 H,
VoA Zimbabwe,SES-5,4014 R,
VoA Zimbabwe,SES-5,11919 H,
VoA Swahili,SES-5,4014 R,
VoA Swahili,SES-5,11919 H,Swa
VoA Accra,SES-5,4014 R,
VoA Accra,SES-5,11919 H,
VoA Ethiopia,SES-5,4014 R,
VoA Ethiopia,SES-5,11919 H,
Channels TV,SES-5,4089 L,Eng
Wap TV,SES-5,4094 L,Eng
NTA International,SES-5,4097 L,Eng
ITT FM,SES-5,11727 H,Eng
Dodoma FM,SES-5,11727 H,Swa
Salt FM,SES-5,11727 H,Eng
Radio Simba,SES-5,11727 H,Lug
Wasafi FM,SES-5,11727 H,
Nation FM (Kenya),SES-5,11727 H,Eng
Sibuka FM,SES-5,11727 H,
Clouds FM,SES-5,11727 H,Eng
DW-Radio FM 1,SES-5,11727 H,
Radio Icengelo,SES-5,11727 H,Eng
Hope FM,SES-5,11727 H,Eng
Super FM (Mozambique),SES-5,11785 V,Por
Radio Indico,SES-5,11785 V,Por
Radio Haq,SES-5,11785 V,Por
Zuku Zone,SES-5,11804 H,Eng
Mazingira FM,SES-5,11804 H,Swa
Capital FM (Kenya),SES-5,11804 H,Eng
HomeBoyz Radio,SES-5,11804 H,Eng
East FM (Kenya),SES-5,11804 H,
Eiraka Radio,SES-5,11804 H,Eng
East Africa Radio,SES-5,11804 H,Eng
Zodiak Radio,SES-5,11881 H,Eng
Kass FM,SES-5,11881 H,Eng
Q FM (Zambia),SES-5,11881 H,Eng
Radio Waumini,SES-5,11881 H,Eng
Radio Maisha,SES-5,11881 H,
MBC Radio 1,SES-5,11881 H,Eng
MBC Radio 2,SES-5,11881 H,Eng
Uvinza FM,SES-5,11881 H,Eng
Radio One (Tanzania),SES-5,11881 H,Eng
Hope Channel Africa,SES-5,11919 H,Eng
Bet 9JA Virtual Game 2,SES-5,11919 H,Eng
Bet 9JA Virtual Game,SES-5,11919 H,Eng
VoA TV Africa,SES-5,11919 H,Eng
VoA TV Global,SES-5,11919 H,Eng
Kiron UK Numbers,SES-5,11919 H,Eng
SBN International,SES-5,11919 H,Eng
SBN International,SES-5,11919 H,Som
Kiron Fast League,SES-5,11919 H,Eng
Kiron SoccerBet,SES-5,11919 H,Eng
Kiron Champions,SES-5,11919 H,Eng
Kiron Spin & Win,SES-5,11919 H,Eng
Kiron Tournament,SES-5,11919 H,Eng
Highlight Games Soccerbet,SES-5,11919 H,Eng
The Word Network,SES-5,11919 H,Eng
The Liberty Radio Network,SES-5,11919 H,Eng
TWR Africa 2,SES-5,11919 H,Eng
StarTimes TV Guide promo,SES-5,11996 H,Eng
BYU TV Global,SES-5,12015 V,Spa
BYU TV Global,SES-5,12015 V,Por
BYU TV Global,SES-5,12015 V,Ibo
BYU TV Global,SES-5,12015 V,Swa
BYU TV Global,SES-5,12015 V,Ara
BYU TV Global,SES-5,12015 V,Yor
BYU TV Global,SES-5,12015 V,Eng
BYU TV Global,SES-5,12015 V,Fre
France 24 Français,SES-5,12015 V,Fre
Tele Congo,SES-5,12015 V,Fre
Vatican Media,SES-5,12015 V,Ita
France 24 English,SES-5,12015 V,Eng
TRT World,SES-5,12015 V,Eng
Africanews,SES-5,12015 V,Eng
Africanews,SES-5,12015 V,Fre
RFI Langues 2,SES-5,12015 V,
RFI Français,SES-5,12015 V,Fre
RFI Português,SES-5,12015 V,Por
RFI Português,SES-5,12015 V,Por
RFI Kiswahili,SES-5,12015 V,Swa
RFI Hausa,SES-5,12015 V,Hau
RFI Mandenkan,SES-5,12015 V,Man
RFI Fulfulde,SES-5,12015 V,Ful
West Africa Democracy Radio,SES-5,12015 V,Eng
Radio Congo,SES-5,12015 V,Fre
Radio Vaticana Europa,SES-5,12015 V,
Gabriele TV Africa,SES-5,12034 H,
DW English,SES-5,12034 H,Eng
DW English,SES-5,12054 V,Eng
CCTV 4 Europe,SES-5,12034 H,Chi
CGTN Documentary,SES-5,12034 H,Eng
CGTN Français,SES-5,12034 H,Fre
CGTN,SES-5,12034 H,Eng
MTA 4 Africa,SES-5,12034 H,Eng
MTA 4 Africa,SES-5,12034 H,Fre
MTA 4 Africa,SES-5,12034 H,Urd
MTA 4 Africa,SES-5,12034 H,Swa
Bet 9JA Stadium LaLiga,SES-5,12034 H,Eng
Bet 9JA Stadium Serie A,SES-5,12034 H,Eng
DW-Radio FM 2,SES-5,12034 H,Hau
DW-Radio FM 3,SES-5,12034 H,Swa
DW-Radio FM 4,SES-5,12034 H,Fre
DW-Radio FM 5,SES-5,12034 H,Por
DW-Radio 8,SES-5,12034 H,
DW-Radio 9,SES-5,12034 H,
Bet 9JA League 2,SES-5,12054 V,Eng
Bet 9JA Football,SES-5,12054 V,Eng
Bet 9JA Dog Racing,SES-5,12054 V,Eng
Bet 9JA Gold,SES-5,12054 V,Eng
Tivi5Monde,SES-5,12054 V,Fre
TV5Monde Style,SES-5,12054 V,Fre
TV5Monde Afrique,SES-5,12054 V,Fre
Bet 9JA Serie A,SES-5,12054 V,Eng
Bet 9JA Spin and Win,SES-5,12054 V,Eng
Bet 9JA Stadium Premier,SES-5,12054 V,Eng
Reuters Live,SES-5,12054 V,Eng
TBC FM,SES-5,12265 H,Swa
TBC Taifa,SES-5,12265 H,Swa
StarTimes TV Guide Français,SES-5,12303 H,Fre
Ladbrokes 1,Astra-4A,11727 H,Eng
Racing TVi,Astra-4A,11727 H,Eng
SIS Two,Astra-4A,11727 H,Eng
Betfred TV 1,Astra-4A,11727 H,Eng
Betfred TV 2,Astra-4A,11727 H,Eng
Betfred TV 3,Astra-4A,11727 H,Eng
DW English,Astra-4A,11747 V,Eng
5 Kanal (Ukraine),Astra-4A,11747 V,Ukr
Radio Svoboda TV,Astra-4A,11747 V,Ukr
VoA TV Holos Ameryky,Astra-4A,11747 V,Ukr
Galychyna TV,Astra-4A,11747 V,Ukr
Rozpakuy TV,Astra-4A,11747 V,Ukr
Rozpakuy TV,Astra-4A,12284 V,Ukr
European Racing Channel,Astra-4A,11747 V,Eng
Novyy Khristianskiy,Astra-4A,11747 V,Rus
Novyy Khristianskiy,Astra-4A,12284 V,Rus
Televsesvit,Astra-4A,11747 V,Ukr
English Club TV,Astra-4A,11747 V,Rus
English Club TV,Astra-4A,11747 V,Eng
English Club TV,Astra-4A,12380 H,Eng
Nastoyashcheye Vremya,Astra-4A,11747 V,
1+1 Marafon,Astra-4A,11766 H,Ukr
1+1 Ukraïna,Astra-4A,11766 H,Ukr
1+1 Ukraïna,Astra-4A,12130 V,Ukr
TET,Astra-4A,11766 H,Ukr
Plus Plus,Astra-4A,11766 H,Ukr
Bigudi,Astra-4A,11766 H,Ukr
2+2,Astra-4A,11766 H,Ukr
2+2,Astra-4A,12130 V,Ukr
2+2 Marafon,Astra-4A,11766 H,Ukr
24 Kanal,Astra-4A,11766 H,Ukr
Beauty Trust Quality,Astra-4A,11766 H,Ukr
Tuso,Astra-4A,11766 H,Ukr
Unian TV,Astra-4A,11766 H,Ukr
ATR,Astra-4A,11766 H,
LRT Lituanica,Astra-4A,11938 V,Lit
Rada,Astra-4A,11938 V,Ukr
Rada,Astra-4A,12073 H,Ukr
TV Chile,Astra-4A,11996 H,Spa
God TV Scandinavia,Astra-4A,11996 H,Eng
TV Vision Sverige,Astra-4A,11996 H,Swe
Telekanal STB,Astra-4A,12073 H,Ukr
ICTV (Ukraine),Astra-4A,12073 H,Ukr
Novy Kanal,Astra-4A,12073 H,Ukr
M1 (Ukraine),Astra-4A,12073 H,Ukr
M2 (Ukraine),Astra-4A,12073 H,Ukr
Oce,Astra-4A,12073 H,
ICTV 2,Astra-4A,12073 H,Ukr
Tviy Serial,Astra-4A,12073 H,Ukr
Armiya TV,Astra-4A,12073 H,Ukr
Armiya TV,Astra-4A,12130 V,Ukr
Sonce,Astra-4A,12073 H,Ukr
Sonce,Astra-4A,12284 V,Ukr
My-Ukraina,Astra-4A,12073 H,Ukr
Svitlo,Astra-4A,12073 H,Ukr
Suspilne Kultura,Astra-4A,12073 H,Ukr
Suspilne Kultura,Astra-4A,12437 V,Ukr
Pershiy,Astra-4A,12073 H,Ukr
Pershiy,Astra-4A,12130 V,Ukr
Pershiy,Astra-4A,12437 V,Ukr
Dim,Astra-4A,12130 V,Ukr
Ukrayinske Radio,Astra-4A,12130 V,Ukr
Radio Promin,Astra-4A,12130 V,Ukr
Radio Kultura,Astra-4A,12130 V,Ukr
Radio Tochka,Astra-4A,12130 V,Ukr
Holos Donbasu,Astra-4A,12130 V,Ukr
Radio Tysa FM,Astra-4A,12130 V,Ukr
MTN Special Events,Astra-4A,12226 H,Eng
MTN Special Events,Astra-4A,12226 H,Eng
MSNBC International,Astra-4A,12226 H,Eng
Fox News Channel,Astra-4A,12226 H,Eng
CNBC US,Astra-4A,12226 H,Eng
Sky News International,Astra-4A,12226 H,Eng
BBC News,Astra-4A,12226 H,Eng
Prime Journey,Astra-4A,12226 H,Eng
Sky Sports News UK,Astra-4A,12226 H,Eng
Sport 24,Astra-4A,12226 H,Eng
Prime One,Astra-4A,12226 H,Eng
Sport 24 Extra,Astra-4A,12226 H,
RTL Deutschland,Astra-4A,12226 H,Ger
Sky News Australia,Astra-4A,12226 H,Eng
TFC Asia-Pacific,Astra-4A,12226 H,
Prime Favorites,Astra-4A,12226 H,
BBC HD,Astra-4A,12226 H,Eng
TVE Internacional Asia,Astra-4A,12226 H,Eng
Canal 24 Horas,Astra-4A,12226 H,Eng
Australian Comedy & Drama Channel,Astra-4A,12226 H,Eng
ABC News,Astra-4A,12226 H,Eng
Food Network East,Astra-4A,12226 H,Eng
HGTV East,Astra-4A,12226 H,Eng
Travel Channel East,Astra-4A,12226 H,Eng
France 24 Français,Astra-4A,12226 H,Fre
Mediaset Italia,Astra-4A,12226 H,Ita
Hunan TV,Astra-4A,12226 H,Chi
CCTV 6,Astra-4A,12226 H,Chi
CCTV Entertainment,Astra-4A,12226 H,Chi
CCTV 4 Europe,Astra-4A,12226 H,Chi
National Geographic UK,Astra-4A,12226 H,Eng
Telekanal Nadiya,Astra-4A,12284 V,Ukr
Telekanal Nadiya,Astra-4A,12284 V,Qaa
Sonata TV,Astra-4A,12284 V,Ukr
Pryamyy,Astra-4A,12284 V,Ukr
Apostrof TV,Astra-4A,12284 V,Ukr
My-Ukraina+,Astra-4A,12284 V,Ukr
Espreso TV,Astra-4A,12284 V,Ukr
Kyïv TV,Astra-4A,12284 V,Ukr
Armiya FM,Astra-4A,12284 V,Ukr
Emmanuel svitle radio,Astra-4A,12284 V,Ukr
Radio NV,Astra-4A,12284 V,Ukr
Holos Kyyeva,Astra-4A,12284 V,Ukr
Radio Holos Nadiyi,Astra-4A,12284 V,Ukr
Radio Holos Nadiyi,Astra-4A,12284 V,Ukr
The Word Network,Astra-4A,12380 H,Eng
TVGE Internacional,Astra-4A,12380 H,Spa
TBN Ukraïna,Astra-4A,12380 H,Ukr
TV Rain,Astra-4A,12380 H,Rus
SBN International,Astra-4A,12380 H,Eng
TV Vision Heaven,Astra-4A,12380 H,Eng
Belsat TV,Astra-4A,12380 H,Bel
TVGE Radio,Astra-4A,12380 H,Spa
Euroradio FM,Astra-4A,12380 H,Bel
Radio Marija Latvija,Astra-4A,12380 H,Lav
Echo,Astra-4A,12380 H,Rus
SIS Racing Service,Astra-4A,12418 H,Eng
Ladbrokes 3,Astra-4A,12418 H,Eng
