Provider/Channel,Sattelite_Name,freq_alt,beam_alt,sr_alt,fec_alt,Compression,eirp_alt
National Geographic UK,Intelsat-18,4095 R,tp G19C,30000.0,3/4,MPEG-4/SD,
LCP Assemblée Nationale,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,MPEG-4/SD,0.0
Public Sénat,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,MPEG-4/SD,0.0
Radio Maria no te Hau,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,,0.0
Radio Te Reo O Tefana,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,,0.0
Radio 1 ,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,,0.0
Tiare FM,Intelsat-18,11075 V,tp FP3K,45000.0,3/4,,0.0
Tahiti Nui TV,Intelsat-18,11155 V,tp FP5K,28588.0,3/4,MPEG-4/SD,0.0
Franceinfo:,Intelsat-18,11155 V,tp FP5K,28588.0,3/4,MPEG-4/SD,0.0
Franceinfo:,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
France Inter,Intelsat-18,11155 V,tp FP5K,28588.0,3/4,,0.0
France Inter,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,,
Mouv',Intelsat-18,11155 V,tp FP5K,28588.0,3/4,,0.0
Radio France Internationale,Intelsat-18,11155 V,tp FP5K,28588.0,3/4,,0.0
France Culture,Intelsat-18,11155 V,tp FP5K,28588.0,3/4,,0.0
Polynésie 1ère,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
Nouvelle Calédonie 1ère,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
Wallis & Futuna 1ère,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
France 2,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
France 3,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
France 4,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
France 5,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
ARTE Français,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,MPEG-4/SD,
Polynésie 1ère Radio,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,,
Nouvelle Calédonie 1ère Radio,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,,
Wallis et Futuna 1ère Radio,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,,
Outre-mer 1ère,Intelsat-18,11155 H,tp SP6K,30000.0,5/6,,
Caledonia,Intelsat-18,11513 H,tp SP8K,3750.0,3/5,42842-1MPEG-4/SD,
NBC TV ,Eutelsat-172B,3888 H,tp 8,,,HEVC/HD,0.0
EM TV ,Eutelsat-172B,3888 H,tp 8,,,HEVC/HD,0.0
CGTN,Eutelsat-172B,3888 H,tp 8,,,HEVC/SD,0.0
Pasifika TV,Eutelsat-172B,3888 H,tp 8,,,HEVC/SD,0.0
CGTN Arabic,Eutelsat-172B,3888 H,tp 8,,,HEVC/SD,0.0
NBC National Radio,Eutelsat-172B,3888 H,tp 8,,,,0.0
Tribe 92 FM,Eutelsat-172B,3888 H,tp 8,,,,0.0
Lalokau FM,Eutelsat-172B,3888 H,tp 8,,,,0.0
Hope Channel Australia,Eutelsat-172B,3916 H,tp 8,3330.0,3/4,0-1MPEG-2/SD,0.0
LifeTalk Radio,Eutelsat-172B,3916 H,tp 8,3330.0,3/4,,0.0
Hope FM 88.1,Eutelsat-172B,3916 H,tp 8,3330.0,3/4,,0.0
Hope FM 107.5,Eutelsat-172B,3916 H,tp 8,3330.0,3/4,,0.0
Radio Nuevo Tiempo ,Eutelsat-172B,3916 H,tp 8,3330.0,3/4,,0.0
FBC TV,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
FBC Sports,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/HD,0.0
FBC 2,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Parliament of Fiji,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Fiji One,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Channel 2 ,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Mai TV,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Hope Channel Fiji,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Education Channel,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,MPEG-4/SD,0.0
Radio Fiji Two,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
Bula FM,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
Gold FM,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
Mirchi FM,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
2day FM,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
Radio Fiji One,Eutelsat-172B,3947 H,tp 8,15000.0,3/5,,0.0
NBC TV,Eutelsat-172B,4196 H,tp 14,1415.0,3/4,?-?MPEG-4/SD,0.0
K-Love,Eutelsat-172B,4198 H,tp 14,520.0,5/6,,0.0
Air 1 Radio,Eutelsat-172B,4198 H,tp 14,520.0,5/6,,0.0
ABC News ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC TV NT,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Kids NT ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC TV Plus NT ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Me NT,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Double J,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Jazz,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Kids listen,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Triple J,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Triple J Unearthed,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Classic,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Country,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Radio Darwin,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC Radio National NSW,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC NewsRadio,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC TV WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Kids WA ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC TV Plus WA ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Me WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Radio Perth,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
ABC TV Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Kids Queensland ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC TV Plus Queensland ,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Me Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-2/SD,
ABC Radio Brisbane,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Viceland WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,/HD,
SBS Food WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
NITV,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS WorldWatch,Eutelsat-172B,11044 V,tp B4,520.0,5/6,MPEG-4/SD,
SBS Radio 1 WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Radio 2 WA,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Radio 3,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Viceland Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,/HD,
SBS Food Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Radio 1 Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
SBS Radio 2 Queensland,Eutelsat-172B,11044 V,tp B4,520.0,5/6,,
IBC 13,Eutelsat-172B,12720 H,tp F5,3000.0,1/2,?-?MPEG-4/SD,
Rai Italia Australia,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Mediaset Italia,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Alpha Sat,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
ERT World,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Ant1 Pacific,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Greek Cinema,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
SportPlus ,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Al Jadeed,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
LBC International,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
NourSat,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
MBC Maser,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
MTV ,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
Aljazeera Channel,Horizons-3e,11003 H,,28800,2/3,MPEG-4/SD,
(ABS-CBN feeds),Intelsat-19,3723 H,tp WH2C,3000.0,7/8,,
(ABS-CBN feeds),Intelsat-19,3729 H,tp WH2C,3260.0,3/4,,
(ABS-CBN feeds),Intelsat-19,3733 H,tp WH2C,3000.0,7/8,,
(ABS-CBN feeds),Intelsat-19,3737 H,tp WH2C,3000.0,7/8,,
(EM TV feeds),Intelsat-19,3810 V,tp WH5C,3333.0,5/6,,
Animal Planet Taiwan,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/HD,0.0
TLC Taiwan,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Channel Taiwan,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/HD,0.0
TLC New Zealand,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/SD,0.0
Discovery Channel Philippines,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/HD,0.0
TLC Philippines,Intelsat-19,3840 V,tp WH7C,30000.0,3/4,MPEG-4/HD,0.0
EM TV ,Intelsat-19,3882 V,tp WH9C,3960.0,3/4,0-0MPEG-2/SD,0.0
Nickelodeon South East Asia,Intelsat-19,3931 H,tp WH12C,15000.0,3/4,MPEG-4/HD,0.0
MTV 90s,Intelsat-19,3931 H,tp WH12C,15000.0,3/4,MPEG-4/HD,0.0
MTV Live Australia,Intelsat-19,3931 H,tp WH12C,15000.0,3/4,MPEG-4/HD,0.0
Nick Jr Asia,Intelsat-19,3931 H,tp WH12C,15000.0,3/4,MPEG-4/HD,0.0
Kapamilya Channel,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Kapamilya Channel,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Jeepney TV,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Jeepney TV,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
ANC,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
ANC,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Metro Channel,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Metro Channel,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Cinema 1 Philippines,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Cinema 1 Philippines,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Myx Philippines,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Myx Philippines,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Knowledge Channel,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Knowledge Channel,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
TeleRadyo Serbisyo,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
TeleRadyo Serbisyo,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Cine Mo!,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Cine Mo!,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Kapamilya Channel Luzon,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Kapamilya Channel Luzon,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
Kapamilya Channel Mindanao,Intelsat-19,3949 H,tp WH12C,15000.0,2/3,MPEG-4/SD,0.0
Kapamilya Channel Mindanao,Intelsat-19,4180 H,tp WH24C,30000.0,2/3,MPEG-4/SD,0.0
China Plus Radio,Intelsat-19,3956 V,tp WH13C,3555.0,3/4,,0.0
CRI Newsradio,Intelsat-19,3956 V,tp WH13C,3555.0,3/4,,0.0
PacificAus TV,Intelsat-19,3976 V,tp WH13C,3600.0,2/3,4124-1MPEG-4/SD,0.0
Animal Planet Australia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
Animal Planet New Zealand,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
Discovery Channel New Zealand,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
TLC Australia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
Eurosport Asia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/HD,0.0
Investigation Discovery Australia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
Discovery Channel Australia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Turbo Australia,Intelsat-19,3980 H,tp WH14C,30000.0,3/4,MPEG-4/SD,0.0
Eve,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Science Southeast Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
DMAX Southeast Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
Animal Planet Southeast Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Channel Southeast Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
TLC Southeast Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Channel China Hotels,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
Discovery Asia,Intelsat-19,4040 V,tp WH17C,30000.0,3/4,MPEG-4/HD,0.0
VoA TV Global,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/HD,0.0
VoA/RFA News,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/HD,0.0
VoA TV China,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/HD,0.0
VoA TV Africa,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-4/HD,0.0
BBC News Asia Pacific,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-2/SD,0.0
EWTN Asia - Pacific,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-2/SD,0.0
EWTN Asia - Pacific,Intelsat-19,12606 H,tp 18K,30000.0,5/6,MPEG-2/SD,0.0
ESPN Pacific Rim,Intelsat-19,4060 H,tp WH18C,30000.0,3/4,MPEG-2/SD,0.0
