Provider/Channel,Sattelite_Name,freq_alt,beam_alt,sr_alt,fec_alt,Compression,eirp_alt
TV Luna,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Irpinia TV 75,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Kiss Kiss Napoli TV,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Teleclubitalia,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Canale 58,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
TDS,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
Telecapri Sport,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Videonola,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
105 TV,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
NapoFlix,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
GT Channel,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Telenostra,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
Radio Marte TV,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/HD,0
Partenope TV,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
Tele Dehon,Eutelsat-9B,12303 V,tp IT6,27500,2/3,MPEG-4/SD,0
Tele Dehon,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
K1,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
K2 ,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Zoom ,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Rada,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
X Sport,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Enter Film,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Piksel TV,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Suspilne Kyïv,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/HD,0
Tak TV,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Tviy Serial,Eutelsat-9B,12303 V,tp NB6,27500,2/3,MPEG-4/SD,0
Giallo,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Food Network Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
RTL 102.5 RadioVisione,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Warner TV Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
GM 24,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Centro Serena,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Real Time Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
DMAX Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Radio Zeta Radiovisione,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Radio Freccia TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
RTL 102.5,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio Liberta',Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio 24 ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Super Tennis,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Super!,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Radio Italia TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
TV 8 ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Cielo,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Sky TG 24 Canale 50,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
TV 2000,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Kiss Kiss TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Frisbee,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
K2,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Radio Italia ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio Vaticana 5,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Nove,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Motor Trend,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
HGTV Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Deejay TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Casa Italia 53,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Travel TV ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Sportitalia Plus,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Gold TV Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
La 4 Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Channel 24 ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Rete Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Luxury Channel 137,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Fire TV ,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
StarMarket,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
Cusano Italia TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Italia Channel 123,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/SD,0
RDS Social TV,Eutelsat-9B,12341 V,tp IT7,27500,2/3,MPEG-4/HD,0
Radio Deejay,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio Capital,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
M2o,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio Maria Italia,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Radio Serie A,Eutelsat-9B,12341 V,tp IT7,27500,2/3,,0
Primocanale,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Telenord,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Teleradiopace 1,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Telegenova,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Tele Liguria Sud,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Primopiano,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Telecolor ,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Telecolor ,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Teleradiopace 2,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Luna TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Rete 8,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Telemolise,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Laq TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
TV Sei,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Telemax ,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Info Media News,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Super J,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
TeleRegione Molise,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Diciotto,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Antenna 10,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Rete 8 Sport,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
TeleSirio,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
TLT Molise,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Le Cronache,Eutelsat-9B,12380 V,tp IT8,27500,2/3,HEVC/HD,0
Vera TV Canale 79,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
TRSP,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Radio Parsifal Radio Visione,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Video Calabria,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
La C TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Ten TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Calabria TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
RTI Canale 14,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Esperia TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Telespazio TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Matrix TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Tele A1,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
L'altro Corriere TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Tele Mia,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/HD,0
Reggio TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
RTC Telecalabria,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Telemormanno,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Jonica Radio TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Wedding TV,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Video Touring,Eutelsat-9B,12380 V,tp IT8,27500,2/3,MPEG-4/SD,0
Peiraiki Ekklisia 91.2 FM,Eutelsat-9B,12399 H,tp GC8,27500,2/3,,51
La Valle d'Aosta in TV,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
France 24 Français,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
RTS 1 ,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TV5Monde Europe,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Trentino TV,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
RTTR,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
Telepace Trento,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
7 Gold Telepadova,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Telenuovo,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
A3,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Tele Chiara,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
VB 33,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TV 7 Triveneta,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
TRC Modena,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TRC Bologna,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TeleReggio,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
12 TV Parma,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TV Qui,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
Teleromagna,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TR 24,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
Telestense,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
Icaro TV,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
VideoRegione,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
ÈTV Rete 7,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Radio Studio Delta,Eutelsat-9B,12466 V,tp IT10,27500,2/3,,0
TV Centro Marche,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Vera TV,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
ÈTV Marche,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
TVRS,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
7 Gold Marche,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Fano TV 19,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Info 2000,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
Rossini TV,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
FM TV 75,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
Telemarche,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
RTM,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/SD,0
ÈTV +,Eutelsat-9B,12466 V,tp IT10,27500,2/3,MPEG-4/HD,0
BBC Persian,Eutelsat-7B,10721 H,tp A1,22000,3/4,MPEG-2/SD,52
Simay-Azadi Iran National TV,Eutelsat-7B,10721 H,tp A1,22000,3/4,MPEG-2/SD,52
Simay-Azadi Iran National TV,Eutelsat-7B,12633 H,tp F3,3750,3/4,0-0MPEG-4/HD,47-48
Channel One TV,Eutelsat-7B,10721 H,tp A1,22000,3/4,MPEG-4/HD,52
Pars TV,Eutelsat-7B,10721 H,tp A1,22000,3/4,MPEG-4/SD,52
ENTV,Eutelsat-7B,10721 H,tp K1,30000,2/3,MPEG-4/SD,0
Chinese mux,Eutelsat-7B,10762 H,tp K3,30000,2/3,126-10300,0
CCTV 1,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 2,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 3,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 4 Asia,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 5,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 5+,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 8,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 7,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
CCTV 13,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Beijing TV Kaku,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Beijing TV,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Dragon TV International,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Hunan TV International,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Jiangsu Satellite TV,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Zhejiang Satellite TV,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Anhui Satellite TV,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Liaoning TV,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
Phoenix Chinese Channel,Eutelsat-7B,10762 H,tp K3,30000,2/3,HEVC/HD,0
True African,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Afriwood Series,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Pulse,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Kingdom Citizens TV,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Life TV,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Fresh,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
LOL Africa,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Kiddiwinks,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Sports Connect,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Cinema Yoruba,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Romanza+ Africa,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Limelight,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Afriwood Blockbuster,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Cinema Hausa,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Bongo TV ,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Diva,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Mindset Liberty Learn,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-2/SD,0
RPM,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Crime & Evidence,Eutelsat-7B,10845 H,tp K7,30000,2/3,MPEG-4/SD,0
Nyota TV ,Eutelsat-7B,10887 H,tp K9,30000,2/3,MPEG-4/SD,0
GEB,Eutelsat-7B,10887 H,tp K9,30000,2/3,MPEG-4/SD,0
Hope FM,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Radio Miraya,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Biblia Husema Broadcasting,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Capital FM ,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Nam Lolwe FM,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Radio Ashe,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
ATG Radio,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Kigooco FM,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
One Love Radio FM,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
Radio Christian Voice,Eutelsat-7B,10887 H,tp K9,30000,2/3,,0
(EBU feeds),Eutelsat-7B,11043 H,tp B3,4937,3/4,,
(EBU feeds),Eutelsat-7B,11049 H,tp B3,4937,3/4,,
(EBU feeds),Eutelsat-7B,11055 H,tp B3,4937,3/4,,
WGB Lucky Balls,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
WGB Dog Racing,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
WGB LaLiga,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
Elbet Lucky Greek,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
WGB Champions League,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
WGB Global Football,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
Elbet Video Roulette,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
Elbet Lucky Color,Eutelsat-7B,11152 H,tp G3,4165,2/3,MPEG-4/SD,0
Erfan Halgheh TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-2/SD,52
Sun Music TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
PMC,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Tapesh 2,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Oxir TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
YourTime TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Classic TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Persiana Cinema,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Persiana Junior,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Persiana Korea,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
4 Music,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
Toronto Farsi Network promo,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-4/HD,52
4U TV,Eutelsat-7B,11262 H,tp C3,27500,2/3,MPEG-2/SD,52
4U TV,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
AVA Family,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
DXB One,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
Radio Javan TV,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
Persiana HD,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
Today TV,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
PBC Tapesh,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
FX 1,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
Eenak Farsi,Eutelsat-7B,11304 H,tp C5,29700,2/3,MPEG-4/HD,52
TM TV ,Eutelsat-7B,11324 V,tp C6,29700,2/3,MPEG-4/HD,52
Avang TV,Eutelsat-7B,11324 V,tp C6,29700,2/3,MPEG-4/HD,52
Navahang TV,Eutelsat-7B,11345 H,tp C7,27500,5/6,MPEG-2/SD,52
ZBC TV ,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
ZBC News,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
Jive TV,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
Zimbabwe National TV,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
KeYona TV,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
3K TV,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
Nkululeko Rusununguko TV,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
ZTN Prime,Eutelsat-7B,11356 H,tp N3,35000,2/3,MPEG-4/HD,0
National FM ,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
Radio Zimbabwe,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
Classic 263,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
Power FM ,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
Star FM ,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
Zi FM,Eutelsat-7B,11356 H,tp N3,35000,2/3,,0
MBC Persia,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
Kanal Jadid,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
Iran TV Network,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
News of the World,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
ICC+,Eutelsat-7B,11387 H,tp C9,27500,5/6,MPEG-4/HD,52
MBC 1,Eutelsat-7B,11444 H,tp N4,3210,3/4,MPEG-2/SD,0
MBC 2 ,Eutelsat-7B,11444 H,tp N4,3210,3/4,MPEG-2/SD,0
Radio Maurice,Eutelsat-7B,11444 H,tp N4,3210,3/4,,0
Kool FM,Eutelsat-7B,11444 H,tp N4,3210,3/4,,0
Or Hachaim ,Eutelsat-7B,12530 H,tp F1,1480,1/2,8192-4096MPEG-4/HD,47-48
Peace TV English,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Quran TV ,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Sunna TV ,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Emmanuel TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Africa TV 2,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Eagle TV ,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
IBN TV Africa,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
JW Broadcasting,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Haleluya TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/HD,0
Bloomberg TV Africa,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-2/SD,0
Universal TV ,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-2/SD,0
Revival TV ,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-2/SD,0
ORTC TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Efatha TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
2M Monde,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Joy Gospel TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Jehova Jire TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Top Plus,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
NTR TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Mzee Wa Upako TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Urejesho TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Rabbi 1 TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Holiness TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Thunder TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Abood TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
JN Power TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
ROC TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
Habari Maalum TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/HD,0
Christ Mandate TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
World Evangelism TV,Eutelsat-7B,12604 H,tp H3,30000,2/3,MPEG-4/SD,0
