SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
0.0,Latin Jazz,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Latin Jazz,https://www.lyngsat.com/radiochannels/us/Latin-Jazz.html,False,NBC,,us,
0.0,Piano & Guitar,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Piano & Guitar,https://www.lyngsat.com/radiochannels/us/Piano-and-Guitar.html,False,NBC,,us,
0.0,The Cafe,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Cafe,https://www.lyngsat.com/radiochannels/us/The-Cafe.html,False,NBC,,us,
0.0,Mo Soul,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mo Soul,https://www.lyngsat.com/radiochannels/us/Mo-Soul.html,False,NBC,,us,
0.0,Reflections,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Reflections,https://www.lyngsat.com/radiochannels/us/Reflections.html,False,NBC,,us,
0.0,Kingston,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Kingston,https://www.lyngsat.com/radiochannels/us/Kingston.html,False,NBC,,us,
0.0,Kinetic,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Kinetic,https://www.lyngsat.com/radiochannels/us/Kinetic.html,False,NBC,,us,
0.0,Tropical Breezes,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Tropical Breezes,https://www.lyngsat.com/radiochannels/us/Tropical-Breezes.html,False,NBC,,us,
0.0,The Blvd,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The Blvd,https://www.lyngsat.com/radiochannels/us/The-Blvd.html,False,NBC,,us,
0.0,Concrete Beats,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Concrete Beats,https://www.lyngsat.com/radiochannels/us/Concrete-Beats.html,False,NBC,,us,
0.0,Viva Mariachi,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Viva Mariachi,https://www.lyngsat.com/radiochannels/us/Viva-Mariachi.html,False,NBC,,us,
0.0,NuLounge,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,NuLounge,https://www.lyngsat.com/radiochannels/us/NuLounge.html,False,NBC,,us,
0.0,Mood Overhead,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mood Overhead,https://www.lyngsat.com/radiochannels/us/Mood-Overhead.html,False,NBC,,us,
0.0,Chilltopia,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Chilltopia,https://www.lyngsat.com/radiochannels/us/Chilltopia.html,False,NBC,,us,
0.0,Quebecois,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Quebecois,https://www.lyngsat.com/radiochannels/us/Quebecois.html,False,NBC,,us,
0.0,Christmas Message,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Christmas Message,https://www.lyngsat.com/radiochannels/us/Christmas-Message.html,False,NBC,,us,
0.0,Toned,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Toned,https://www.lyngsat.com/radiochannels/us/Toned.html,False,NBC,,us,
0.0,Perimeter,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Perimeter,https://www.lyngsat.com/radiochannels/us/Perimeter.html,False,NBC,,us,
0.0,The New Wave,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,The New Wave,https://www.lyngsat.com/radiochannels/us/The-New-Wave.html,False,NBC,,us,
0.0,Varsity,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Varsity,https://www.lyngsat.com/radiochannels/us/Varsity.html,False,NBC,,us,
0.0,Stylus,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Stylus,https://www.lyngsat.com/radiochannels/us/Stylus.html,False,NBC,,us,
0.0,Food Lion,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Food Lion,https://www.lyngsat.com/radiochannels/us/Food-Lion.html,False,NBC,,us,
0.0,Mens Wearhouse,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Mens Wearhouse,https://www.lyngsat.com/radiochannels/us/Mens-Wearhouse.html,False,NBC,,us,
0.0,Holiday Favourites,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Holiday Favourites,https://www.lyngsat.com/radiochannels/us/Holiday-Favourites.html,False,NBC,,us,
0.0,FM Dos,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,FM Dos,https://www.lyngsat.com/radiochannels/us/FM-Dos.html,False,NBC,,us,
0.0,90s Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,90s Hits,https://www.lyngsat.com/radiochannels/us/90s-Hits.html,False,NBC,,us,
0.0,Sheetz,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Sheetz,https://www.lyngsat.com/radiochannels/us/Sheetz.html,False,NBC,,us,
0.0,Uptown,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Uptown,https://www.lyngsat.com/radiochannels/us/Uptown.html,False,NBC,,us,
0.0,Moes SW Grill,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Moes SW Grill,https://www.lyngsat.com/radiochannels/us/Moes-SW-Grill.html,False,NBC,,us,
0.0,McDonalds,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,McDonalds,https://www.lyngsat.com/radiochannels/us/McDonalds.html,False,NBC,,us,
0.0,Latin Hits,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Latin Hits,https://www.lyngsat.com/radiochannels/us/Latin-Hits.html,False,NBC,,us,
0.0,Bed Bath Beyond,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Bed Bath Beyond,https://www.lyngsat.com/radiochannels/us/Bed-Bath-Beyond.html,False,NBC,,us,
0.0,Ultra,,,DVB-S,20000.0,3/4,12145 V,tp 22,0.0,,,Ultra,https://www.lyngsat.com/radiochannels/us/Ultra.html,False,NBC,,us,
