SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
24.0,Family TV (Kenya),MPEG-4/SD,41.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Family TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Family-TV.html,False,StarTimes TV Kenya,Eng,ke,
102.0,NTV (Kenya),MPEG-4/SD,1021.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html,False,StarTimes TV Kenya,Eng,ke,
102.0,NTV (Kenya),MPEG-4/SD,1021.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,NTV (Kenya),https://www.lyngsat.com/tvchannels/ke/NTV.html,False,StarTimes TV Kenya,Eng,ke,
103.0,KTN Home,MPEG-4/SD,1031.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,KTN Home,https://www.lyngsat.com/tvchannels/ke/KTN-Home.html,False,StarTimes TV Kenya,Eng,ke,
104.0,K24,MPEG-4/SD,1041.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,K24,https://www.lyngsat.com/tvchannels/ke/K24.html,False,StarTimes TV Kenya,Eng,ke,
104.0,K24,MPEG-4/SD,1041.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,K24,https://www.lyngsat.com/tvchannels/ke/K24.html,False,StarTimes TV Kenya,Eng,ke,
105.0,Shifu TV,MPEG-4/SD,1105.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Shifu TV,https://www.lyngsat.com/tvchannels/ke/Shifu-TV.html,False,StarTimes TV Kenya,Eng,ke,
106.0,KBC Channel 1,MPEG-4/SD,1061.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,KBC Channel 1,https://www.lyngsat.com/tvchannels/ke/KBC-Channel-1.html,False,StarTimes TV Kenya,Eng,ke,
107.0,God TV Africa,MPEG-4/SD,1071.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,God TV Africa,https://www.lyngsat.com/tvchannels/uk/God-TV-Africa.html,False,StarTimes TV Kenya,Eng,uk,
107.0,God TV Africa,MPEG-4/SD,1071.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,God TV Africa,https://www.lyngsat.com/tvchannels/uk/God-TV-Africa.html,False,StarTimes TV Kenya,Eng,uk,
108.0,Bliss TV (Kenya),MPEG-4/SD,2098.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Bliss TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Bliss-TV.html,False,StarTimes TV Kenya,Eng,ke,
110.0,Aviation TV,MPEG-4/SD,1101.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Aviation TV,https://www.lyngsat.com/tvchannels/ke/Aviation-TV.html,False,StarTimes TV Kenya,Eng,ke,
112.0,Al Huda TV,MPEG-4/SD,1121.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Al Huda TV,https://www.lyngsat.com/tvchannels/ke/Al-Huda-TV.html,False,StarTimes TV Kenya,Ara,ke,
113.0,Faith TV,MPEG-4/SD,1131.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Faith TV,https://www.lyngsat.com/tvchannels/ke/Faith-TV.html,False,StarTimes TV Kenya,Eng,ke,
116.0,KTN Farmers TV,MPEG-4/SD,1161.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,KTN Farmers TV,https://www.lyngsat.com/tvchannels/ke/KTN-Farmers-TV.html,False,StarTimes TV Kenya,Eng,ke,
116.0,KTN Farmers TV,MPEG-4/SD,1161.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,KTN Farmers TV,https://www.lyngsat.com/tvchannels/ke/KTN-Farmers-TV.html,False,StarTimes TV Kenya,Eng,ke,
117.0,Citizen TV,MPEG-4/SD,1171.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html,False,StarTimes TV Kenya,Eng,ke,
117.0,Citizen TV,MPEG-4/SD,1171.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Citizen TV,https://www.lyngsat.com/tvchannels/ke/Citizen-TV.html,False,StarTimes TV Kenya,Eng,ke,
119.0,ST Rembo TV,MPEG-4/SD,1191.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,ST Rembo TV,https://www.lyngsat.com/tvchannels/cn/ST-Rembo-TV.html,False,StarTimes TV Kenya,Eng,cn,
120.0,PPP TV,MPEG-4/SD,1201.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,PPP TV,https://www.lyngsat.com/tvchannels/ke/PPP-TV.html,False,StarTimes TV Kenya,Eng,ke,
121.0,Heavens TV (Kenya),MPEG-4/SD,6118.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Heavens TV (Kenya),https://www.lyngsat.com/tvchannels/ke/Heavens-TV.html,False,StarTimes TV Kenya,Eng,ke,
122.0,Horizon TV,MPEG-4/SD,1220.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Horizon TV,https://www.lyngsat.com/tvchannels/ke/Horizon-TV.html,False,StarTimes TV Kenya,Eng,ke,
123.0,Akili Kids!,MPEG-4/SD,1181.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Akili Kids!,https://www.lyngsat.com/tvchannels/ke/Akili-Kids.html,False,StarTimes TV Kenya,Eng,ke,
132.0,Kameme TV,MPEG-4/SD,601.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,Kameme TV,https://www.lyngsat.com/tvchannels/ke/Kameme-TV.html,False,StarTimes TV Kenya,Eng,ke,
133.0,PPP+ TV,MPEG-4/SD,1501.0,DVB-S2,20150.0,5/6,3898 R,,42-43,,,PPP+ TV,https://www.lyngsat.com/tvchannels/ke/PPP--TV.html,False,StarTimes TV Kenya,Eng,ke,
