SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages,Channel_Country
1,City TV (Colombia),MPEG-4/HD,257.0,3962 R,tp 67,0.0,,https://www.lyngsat.com/providers/co/City-TV.html,City TV (Colombia),https://www.lyngsat.com/tvchannels/co/City-TV.html,True,City TV (Colombia),2/3,4332.0,DVB-S2,Spa,co
2,El Tiempo TV,MPEG-4/HD,513.0,3962 R,tp 67,0.0,BISS 1,,El Tiempo TV,https://www.lyngsat.com/tvchannels/co/El-Tiempo-TV.html,False,City TV (Colombia),2/3,4332.0,DVB-S2,Spa,co
,Canal Capital,.-.,,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,,co
,Canal Capital,.-.,,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,,co
,Canal Capital,.-.,,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,,co
,Canal Capital,.-.,,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,,co
6141,Canal Capital,MPEG-4/HD,1071.0,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,Spa,co
6141,Canal Capital,MPEG-4/HD,1071.0,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,Spa,co
6141,Canal Capital,MPEG-4/HD,1071.0,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,Spa,co
6141,Canal Capital,MPEG-4/HD,1071.0,3962 L,tp 68,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,102,,DVB-S2,Spa,co
5,Canal Capital,MPEG-4/SD,1051.0,4025 L,tp 70,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,3/4,12832.0,DVB-S2,Spa,co
5,Canal Capital,MPEG-4/SD,1051.0,4025 L,tp 70,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,3/4,12832.0,DVB-S2,Spa,co
5,Canal Capital,MPEG-4/SD,1051.0,4025 L,tp 70,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,3/4,12832.0,DVB-S2,Spa,co
5,Canal Capital,MPEG-4/SD,1051.0,4025 L,tp 70,0.0,,https://www.lyngsat.com/providers/co/Canal-Capital.html,Canal Capital,https://www.lyngsat.com/tvchannels/co/Canal-Capital.html,True,Canal Capital,3/4,12832.0,DVB-S2,Spa,co
6142,Canal Capital Eureka,MPEG-4/HD,3021.0,3962 L,tp 68,0.0,,,Canal Capital Eureka,https://www.lyngsat.com/tvchannels/co/Canal-Capital-Eureka.html,False,Canal Capital,102,,DVB-S2,Spa,co
1,Telemedellín,65535-1HEVC/HD,513.0,3974 R,tp 67,0.0,,,,,False,Canal Capital,2/3,1920.0,DVB-S2,Spa,
,ESPN Brasil,1-101,,3980 L,tp 68,0.0,PowerVu,https://www.lyngsat.com/providers/us/ESPN-Brasil.html,ESPN Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-Brasil.html,True,ESPN Brasil,3/4,21600.0,DVB-S2,,us
111,ESPN Brasil,MPEG-4/HD,100.0,3980 L,tp 68,0.0,PowerVu,https://www.lyngsat.com/providers/us/ESPN-Brasil.html,ESPN Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-Brasil.html,True,ESPN Brasil,3/4,21600.0,DVB-S2,Por Eng,us
112,ESPN 2 Brasil,MPEG-4/HD,200.0,3980 L,tp 68,0.0,PowerVu,,ESPN 2 Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-2-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Por Eng,us
113,ESPN 6 Brasil,MPEG-4/HD,400.0,3980 L,tp 68,0.0,PowerVu,,ESPN 6 Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-6-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Por Eng,us
114,ESPN 4 Brasil,MPEG-4/HD,500.0,3980 L,tp 68,0.0,PowerVu,,ESPN 4 Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-4-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Por Eng Por,us
115,ESPN 5 Brasil,MPEG-4/HD,600.0,3980 L,tp 68,0.0,PowerVu,,ESPN 5 Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-5-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Por Por,us
201,ESPN 3 Brasil,MPEG-4/HD,300.0,3980 L,tp 68,0.0,PowerVu,,ESPN 3 Brasil,https://www.lyngsat.com/tvchannels/us/ESPN-3-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Por Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
555,Rádio Disney Brasil,,,3980 L,tp 68,0.0,PowerVu,,Rádio Disney Brasil,https://www.lyngsat.com/radiochannels/us/Radio-Disney-Brasil.html,False,ESPN Brasil,3/4,21600.0,DVB-S2,Eng,us
